% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-2.029497027397156E-001,9.593760967254639E-002,1.468004733324051E-001,-9.065496325492859E-001,
2.517500000000000E+009,-1.747618317604065E-001,5.827715247869492E-002,8.602670580148697E-002,-9.179794192314148E-001,
2.535000000000000E+009,-2.081543207168579E-001,2.873456105589867E-002,2.733769081532955E-002,-9.109984636306763E-001,
2.552500000000000E+009,-2.543666660785675E-001,5.834810063242912E-002,-1.609827950596809E-002,-8.989626169204712E-001,
2.570000000000000E+009,-2.535497844219208E-001,1.216405853629112E-001,-5.180549621582031E-002,-8.962746262550354E-001,
2.587500000000000E+009,-2.045783102512360E-001,1.565109789371491E-001,-9.506808221340179E-002,-9.031149744987488E-001,
2.605000000000000E+009,-1.629756093025208E-001,1.353569030761719E-001,-1.520101130008698E-001,-9.044260382652283E-001,
2.622500000000000E+009,-1.758230179548264E-001,1.027860566973686E-001,-2.109557390213013E-001,-8.886799216270447E-001,
2.640000000000000E+009,-2.151936739683151E-001,1.182719767093658E-001,-2.559141814708710E-001,-8.639420270919800E-001,
2.657500000000000E+009,-2.191312164068222E-001,1.741756945848465E-001,-2.901311814785004E-001,-8.462663292884827E-001,
2.675000000000000E+009,-1.726359575986862E-001,2.136390060186386E-001,-3.282918035984039E-001,-8.393363952636719E-001,
2.692500000000000E+009,-1.213960126042366E-001,1.980389207601547E-001,-3.801369965076447E-001,-8.301212787628174E-001,
2.710000000000000E+009,-1.215094029903412E-001,1.561330556869507E-001,-4.363907575607300E-001,-8.049478530883789E-001,
2.727500000000000E+009,-1.634384840726852E-001,1.550152897834778E-001,-4.800843596458435E-001,-7.662996649742127E-001,
2.745000000000000E+009,-1.814534962177277E-001,2.074238061904907E-001,-5.082331895828247E-001,-7.323569655418396E-001,
2.762500000000000E+009,-1.411404162645340E-001,2.602009177207947E-001,-5.353220701217651E-001,-7.121469378471375E-001,
2.780000000000000E+009,-7.501066476106644E-002,2.601141929626465E-001,-5.755642056465149E-001,-6.960579156875610E-001,
2.797500000000000E+009,-4.834207519888878E-002,2.117542177438736E-001,-6.264705061912537E-001,-6.667085886001587E-001,
