% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,1.857057809829712E-001,1.307145804166794E-001,1.851511597633362E-001,-9.348058700561523E-001,
2.517500000000000E+009,2.210568487644196E-001,7.369252294301987E-002,1.451828181743622E-001,-9.377717971801758E-001,
2.535000000000000E+009,1.930255144834518E-001,1.808675564825535E-002,1.020301505923271E-001,-9.525998830795288E-001,
2.552500000000000E+009,1.398572176694870E-001,2.548473514616489E-002,4.497981071472168E-002,-9.667847752571106E-001,
2.570000000000000E+009,1.319301873445511E-001,8.023715764284134E-002,-1.855915598571301E-002,-9.652414321899414E-001,
2.587500000000000E+009,1.822546720504761E-001,1.046881377696991E-001,-7.216121256351471E-002,-9.523299336433411E-001,
2.605000000000000E+009,2.257480472326279E-001,6.591569632291794E-002,-1.135306730866432E-001,-9.412187933921814E-001,
2.622500000000000E+009,2.116627544164658E-001,9.324856102466583E-003,-1.557737737894058E-001,-9.402170181274414E-001,
2.640000000000000E+009,1.642926335334778E-001,1.022908953018487E-003,-2.090894877910614E-001,-9.395470023155212E-001,
2.657500000000000E+009,1.483795195817947E-001,4.615035653114319E-002,-2.697700560092926E-001,-9.260081648826599E-001,
2.675000000000000E+009,1.914748251438141E-001,7.832341641187668E-002,-3.214937746524811E-001,-8.988032341003418E-001,
2.692500000000000E+009,2.417390644550324E-001,4.776308313012123E-002,-3.595895469188690E-001,-8.741149306297302E-001,
2.710000000000000E+009,2.376406341791153E-001,-1.470484677702189E-002,-3.956595659255981E-001,-8.600127100944519E-001,
2.727500000000000E+009,1.840331703424454E-001,-4.145208746194840E-002,-4.435280859470367E-001,-8.487799763679504E-001,
2.745000000000000E+009,1.476136893033981E-001,-3.100002650171518E-003,-5.000758767127991E-001,-8.249046206474304E-001,
2.762500000000000E+009,1.777125895023346E-001,4.711195454001427E-002,-5.496696233749390E-001,-7.857581377029419E-001,
2.780000000000000E+009,2.408662140369415E-001,3.775299340486527E-002,-5.818983316421509E-001,-7.451846599578857E-001,
2.797500000000000E+009,2.612587809562683E-001,-2.677269838750362E-002,-6.090480089187622E-001,-7.174345850944519E-001,
2.815000000000000E+009,2.151388674974442E-001,-7.830341905355454E-002,-6.439946889877319E-001,-6.971070170402527E-001,
2.832500000000000E+009,1.548385769128799E-001,-6.297264993190765E-002,-6.924977302551270E-001,-6.680209636688232E-001,
2.850000000000000E+009,1.550260484218597E-001,-3.823362058028579E-003,-7.377260923385620E-001,-6.211206912994385E-001,
2.867500000000000E+009,2.171768397092819E-001,1.690144278109074E-002,-7.658160328865051E-001,-5.677021741867065E-001,
2.885000000000000E+009,2.643102109432221E-001,-3.269631788134575E-002,-7.809104323387146E-001,-5.252884626388550E-001,
2.902500000000000E+009,2.408100515604019E-001,-9.806608408689499E-002,-8.018706440925598E-001,-4.952571392059326E-001,
2.920000000000000E+009,1.740216165781021E-001,-1.087156832218170E-001,-8.364126682281494E-001,-4.618634581565857E-001,
2.937500000000000E+009,1.458162069320679E-001,-5.593125149607658E-002,-8.727284669876099E-001,-4.103831946849823E-001,
2.955000000000000E+009,1.947123259305954E-001,-1.602494157850742E-002,-8.920180797576904E-001,-3.479731380939484E-001,
2.972500000000000E+009,2.582058310508728E-001,-5.122571066021919E-002,-8.940501809120178E-001,-2.959734499454498E-001,
2.990000000000000E+009,2.550297379493713E-001,-1.280860155820847E-001,-8.991743922233582E-001,-2.609967589378357E-001,
3.007500000000000E+009,1.829641461372376E-001,-1.618886440992355E-001,-9.197777509689331E-001,-2.268529236316681E-001,
3.025000000000000E+009,1.221610754728317E-001,-1.144261956214905E-001,-9.471792578697205E-001,-1.750788688659668E-001,
