% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-9.225783497095108E-002,-8.132375776767731E-002,1.969561278820038E-001,-9.613783359527588E-001,
2.517500000000000E+009,-6.461562961339951E-002,-1.303255259990692E-001,1.351011693477631E-001,-9.690721631050110E-001,
2.535000000000000E+009,-1.066940650343895E-001,-1.762285083532333E-001,8.027190715074539E-002,-9.643740057945252E-001,
2.552500000000000E+009,-1.712403148412705E-001,-1.578384935855866E-001,3.687252104282379E-002,-9.611634016036987E-001,
2.570000000000000E+009,-1.881039142608643E-001,-9.439425915479660E-002,-5.991281941533089E-003,-9.664569497108460E-001,
2.587500000000000E+009,-1.463847011327744E-001,-5.700410529971123E-002,-5.927941203117371E-002,-9.742520451545715E-001,
2.605000000000000E+009,-1.079234331846237E-001,-8.408386260271072E-002,-1.207635030150414E-001,-9.712646603584290E-001,
2.622500000000000E+009,-1.302130222320557E-001,-1.289233118295670E-001,-1.775388419628143E-001,-9.548406600952148E-001,
2.640000000000000E+009,-1.878648102283478E-001,-1.229568198323250E-001,-2.218785881996155E-001,-9.367069602012634E-001,
2.657500000000000E+009,-2.117120176553726E-001,-6.607987731695175E-002,-2.629185020923615E-001,-9.267402291297913E-001,
2.675000000000000E+009,-1.756738722324371E-001,-2.068503573536873E-002,-3.121471405029297E-001,-9.210653901100159E-001,
2.692500000000000E+009,-1.283028125762940E-001,-3.770074248313904E-002,-3.709251880645752E-001,-9.060377478599548E-001,
2.710000000000000E+009,-1.375182271003723E-001,-8.873403817415237E-002,-4.255621731281281E-001,-8.767761588096619E-001,
2.727500000000000E+009,-1.980416029691696E-001,-9.803965687751770E-002,-4.666658639907837E-001,-8.426733613014221E-001,
2.745000000000000E+009,-2.392803579568863E-001,-4.385754093527794E-002,-4.999819099903107E-001,-8.170757889747620E-001,
2.762500000000000E+009,-2.142813056707382E-001,1.999182440340519E-002,-5.391389131546021E-001,-7.999356985092163E-001,
2.780000000000000E+009,-1.523994803428650E-001,2.630301378667355E-002,-5.900624394416809E-001,-7.776868343353272E-001,
2.797500000000000E+009,-1.318356990814209E-001,-2.649927884340286E-002,-6.419866085052490E-001,-7.394160628318787E-001,
2.815000000000000E+009,-1.827952116727829E-001,-6.241586431860924E-002,-6.794648766517639E-001,-6.908323168754578E-001,
2.832500000000000E+009,-2.439695447683334E-001,-2.670302987098694E-002,-7.032929658889771E-001,-6.492745280265808E-001,
2.850000000000000E+009,-2.447182238101959E-001,4.753701388835907E-002,-7.282003164291382E-001,-6.198042631149292E-001,
2.867500000000000E+009,-1.842366158962250E-001,8.456166833639145E-002,-7.653446793556213E-001,-5.920575857162476E-001,
2.885000000000000E+009,-1.335328966379166E-001,4.877869039773941E-002,-8.088017106056213E-001,-5.497347116470337E-001,
2.902500000000000E+009,-1.572819501161575E-001,-5.184679292142391E-003,-8.416578173637390E-001,-4.928325414657593E-001,
2.920000000000000E+009,-2.235632240772247E-001,4.039661493152380E-003,-8.565857410430908E-001,-4.379374980926514E-001,
2.937500000000000E+009,-2.467496246099472E-001,7.471291720867157E-002,-8.666552901268005E-001,-3.975623250007629E-001,
2.955000000000000E+009,-1.956856101751328E-001,1.310876905918121E-001,-8.874607086181641E-001,-3.643590509891510E-001,
2.972500000000000E+009,-1.264674067497253E-001,1.116037145256996E-001,-9.196092486381531E-001,-3.209047317504883E-001,
2.990000000000000E+009,-1.259554922580719E-001,4.428343102335930E-002,-9.449965953826904E-001,-2.587283253669739E-001,
3.007500000000000E+009,-1.978416591882706E-001,2.734630741178989E-002,-9.489993453025818E-001,-1.934042870998383E-001,
3.025000000000000E+009,-2.479666620492935E-001,9.577775001525879E-002,-9.408527016639710E-001,-1.452069133520126E-001,
3.042500000000000E+009,-2.114448845386505E-001,1.778582185506821E-001,-9.421806335449219E-001,-1.111813262104988E-001,
3.060000000000000E+009,-1.233558729290962E-001,1.863300651311874E-001,-9.605644345283508E-001,-7.172034680843353E-002,
3.077500000000000E+009,-8.391567319631577E-002,1.127695143222809E-001,-9.792331457138062E-001,-1.091659720987082E-002,
3.095000000000000E+009,-1.456641554832459E-001,5.699653178453445E-002,-9.750939607620239E-001,6.099991872906685E-002,
3.112500000000000E+009,-2.251587361097336E-001,1.048844531178474E-001,-9.504110217094421E-001,1.177181974053383E-001,
3.130000000000000E+009,-2.172850817441940E-001,2.059607356786728E-001,-9.300983548164368E-001,1.519392728805542E-001,
3.147500000000000E+009,-1.251959800720215E-001,2.519720494747162E-001,-9.301419258117676E-001,1.830326914787293E-001,
3.165000000000000E+009,-4.504464566707611E-002,1.949503272771835E-001,-9.400874972343445E-001,2.340516895055771E-001,
3.182500000000000E+009,-7.152056694030762E-002,1.066245734691620E-001,-9.328425526618958E-001,3.056280612945557E-001,
3.200000000000000E+009,-1.664521694183350E-001,1.126573905348778E-001,-8.964766860008240E-001,3.688575029373169E-001,
3.217500000000000E+009,-1.962814182043076E-001,2.126252651214600E-001,-8.555192947387695E-001,4.041066467761993E-001,
3.235000000000000E+009,-1.209401637315750E-001,2.895884215831757E-001,-8.354434967041016E-001,4.267282485961914E-001,
3.252500000000000E+009,-1.979777961969376E-002,2.633172869682312E-001,-8.329492807388306E-001,4.643827676773071E-001,
3.270000000000000E+009,-4.291759338229895E-003,1.674443483352661E-001,-8.209894299507141E-001,5.264217257499695E-001,
3.287500000000000E+009,-8.934774994850159E-002,1.322761327028275E-001,-7.786992192268372E-001,5.892495512962341E-001,
3.305000000000000E+009,-1.466567665338516E-001,2.137323617935181E-001,-7.225069999694824E-001,6.240698695182800E-001,
