% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
2.500000000000000E+009,-1.390799134969711E-001,1.335172355175018E-001,2.083379775285721E-001,-9.384087920188904E-001,
2.517500000000000E+009,-9.878583252429962E-002,9.165135771036148E-002,1.545943468809128E-001,-9.555681943893433E-001,
2.535000000000000E+009,-1.270755976438522E-001,4.910876974463463E-002,9.227411448955536E-002,-9.640634059906006E-001,
2.552500000000000E+009,-1.791342943906784E-001,7.061880826950073E-002,3.509831428527832E-002,-9.581011533737183E-001,
2.570000000000000E+009,-1.809116899967194E-001,1.369326412677765E-001,-9.791115298867226E-003,-9.507097005844116E-001,
2.587500000000000E+009,-1.313342452049255E-001,1.766080111265183E-001,-5.075864121317864E-002,-9.509257674217224E-001,
2.605000000000000E+009,-8.255548030138016E-002,1.530392765998840E-001,-1.006050407886505E-001,-9.558956027030945E-001,
2.622500000000000E+009,-8.918271213769913E-002,1.089430153369904E-001,-1.604169309139252E-001,-9.527310132980347E-001,
2.640000000000000E+009,-1.330488622188568E-001,1.142005696892738E-001,-2.175157070159912E-001,-9.358513951301575E-001,
2.657500000000000E+009,-1.412827819585800E-001,1.694068759679794E-001,-2.627191245555878E-001,-9.138601422309876E-001,
2.675000000000000E+009,-9.258053451776505E-002,2.131444513797760E-001,-3.012241125106812E-001,-8.989970088005066E-001,
2.692500000000000E+009,-3.641597554087639E-002,1.981044113636017E-001,-3.450534939765930E-001,-8.905302882194519E-001,
2.710000000000000E+009,-2.996098063886166E-002,1.451093107461929E-001,-4.002070426940918E-001,-8.777819275856018E-001,
2.727500000000000E+009,-7.583766430616379E-002,1.299818009138107E-001,-4.561102092266083E-001,-8.495002388954163E-001,
2.745000000000000E+009,-1.032840088009834E-001,1.788232326507568E-001,-5.000942349433899E-001,-8.122755885124207E-001,
2.762500000000000E+009,-6.312324851751328E-002,2.353848963975906E-001,-5.308788418769836E-001,-7.813656330108643E-001,
2.780000000000000E+009,7.549757137894630E-003,2.385428696870804E-001,-5.637999176979065E-001,-7.599200010299683E-001,
2.797500000000000E+009,4.048638418316841E-002,1.844980418682098E-001,-6.080958843231201E-001,-7.402933239936829E-001,
2.815000000000000E+009,5.367213860154152E-003,1.387414485216141E-001,-6.591811180114746E-001,-7.062140107154846E-001,
2.832500000000000E+009,-4.427723214030266E-002,1.636898517608643E-001,-7.008959650993347E-001,-6.585094332695007E-001,
2.850000000000000E+009,-3.184279799461365E-002,2.266191840171814E-001,-7.260122299194336E-001,-6.109496951103210E-001,
2.867500000000000E+009,4.066278785467148E-002,2.517920732498169E-001,-7.460481524467468E-001,-5.766315460205078E-001,
2.885000000000000E+009,9.975112974643707E-002,2.133474200963974E-001,-7.742722034454346E-001,-5.479913353919983E-001,
2.902500000000000E+009,9.043963253498077E-002,1.507903188467026E-001,-8.139829039573669E-001,-5.117722153663635E-001,
2.920000000000000E+009,3.494260087609291E-002,1.441206634044647E-001,-8.499299287796021E-001,-4.585949182510376E-001,
2.937500000000000E+009,1.932889223098755E-002,2.010992914438248E-001,-8.682771325111389E-001,-3.997342884540558E-001,
2.955000000000000E+009,7.932973653078079E-002,2.411338835954666E-001,-8.742292523384094E-001,-3.527389168739319E-001,
2.972500000000000E+009,1.553098261356354E-001,2.106976062059403E-001,-8.860467076301575E-001,-3.184539675712585E-001,
2.990000000000000E+009,1.675940454006195E-001,1.368613690137863E-001,-9.113360643386841E-001,-2.819797694683075E-001,
