% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,
6.900000000000000E+008,-8.014090359210968E-003,-2.408660389482975E-002,1.816961467266083E-001,-9.761272668838501E-001,
7.015500000000000E+008,-1.125346589833498E-002,-7.355350535362959E-003,1.561253666877747E-001,-9.777101874351502E-001,
7.131000000000000E+008,-2.507370430976152E-003,6.615081336349249E-003,1.361080110073090E-001,-9.829731583595276E-001,
7.246500000000000E+008,1.318107452243567E-002,1.075403485447168E-002,1.122407987713814E-001,-9.856689572334290E-001,
7.362000000000000E+008,2.729145064949989E-002,3.363362513482571E-003,8.913967013359070E-002,-9.874240159988403E-001,
7.477500000000000E+008,3.226441144943237E-002,-1.134180836379528E-002,6.667386740446091E-002,-9.894847869873047E-001,
7.593000000000000E+008,2.592845447361469E-002,-2.532787248492241E-002,4.399739578366280E-002,-9.902203679084778E-001,
7.708500000000000E+008,1.147770229727030E-002,-3.127215430140495E-002,2.099990472197533E-002,-9.913322329521179E-001,
7.824000000000000E+008,-3.429016796872020E-003,-2.621247246861458E-002,-2.423460828140378E-003,-9.918823838233948E-001,
7.939500000000000E+008,-1.123639475554228E-002,-1.281216833740473E-002,-2.574583142995834E-002,-9.914105534553528E-001,
8.055000000000000E+008,-8.106357418000698E-003,1.922086928971112E-003,-4.943617060780525E-002,-9.911584258079529E-001,
8.170500000000000E+008,4.351568873971701E-003,1.064256858080626E-002,-7.273472100496292E-002,-9.894724488258362E-001,
8.286000000000000E+008,1.972855441272259E-002,8.854074403643608E-003,-9.542261809110642E-002,-9.869668483734131E-001,
8.401500000000000E+008,3.047892078757286E-002,-2.467256272211671E-003,-1.188729181885719E-001,-9.842013120651245E-001,
8.517000000000000E+008,3.146036341786385E-002,-1.795947551727295E-002,-1.411243826150894E-001,-9.809081554412842E-001,
8.632500000000000E+008,2.223467826843262E-002,-3.038576245307922E-002,-1.638569235801697E-001,-9.783603549003601E-001,
8.748000000000000E+008,6.940932478755713E-003,-3.405550122261047E-002,-1.860180795192719E-001,-9.741486310958862E-001,
8.863500000000000E+008,-7.209705188870430E-003,-2.752856723964214E-002,-2.089976668357849E-001,-9.700406193733215E-001,
8.979000000000000E+008,-1.405419223010540E-002,-1.415401324629784E-002,-2.313504368066788E-001,-9.649050235748291E-001,
9.094500000000000E+008,-1.074060983955860E-002,-2.556575927883387E-004,-2.539714872837067E-001,-9.593301415443420E-001,
9.210000000000000E+008,7.652519270777702E-004,7.535483688116074E-003,-2.765535116195679E-001,-9.529396891593933E-001,
9.325500000000000E+008,1.460702624171972E-002,5.677266512066126E-003,-2.989722490310669E-001,-9.462871551513672E-001,
9.441000000000000E+008,2.394940331578255E-002,-4.887813236564398E-003,-3.204416632652283E-001,-9.386298060417175E-001,
9.556500000000000E+008,2.410708181560040E-002,-1.901564560830593E-002,-3.426298797130585E-001,-9.310490489006043E-001,
9.672000000000000E+008,1.459053810685873E-002,-2.968581393361092E-002,-3.637598752975464E-001,-9.224450588226318E-001,
9.787500000000000E+008,-1.087242635549046E-004,-3.157572820782661E-002,-3.856225907802582E-001,-9.140235781669617E-001,
9.903000000000000E+008,-1.284741424024105E-002,-2.340232394635677E-002,-4.069283008575440E-001,-9.046070575714111E-001,
1.001850000000000E+009,-1.735715940594673E-002,-8.984746411442757E-003,-4.277331829071045E-001,-8.945041298866272E-001,
1.013400000000000E+009,-1.110347919166088E-002,4.342704080045223E-003,-4.491312503814697E-001,-8.844535946846008E-001,
1.024950000000000E+009,2.929973183199763E-003,9.626348502933979E-003,-4.699858129024506E-001,-8.729840517044067E-001,
1.036500000000000E+009,1.727309636771679E-002,3.372170031070709E-003,-4.896997213363648E-001,-8.609083890914917E-001,
1.048050000000000E+009,2.385318093001843E-002,-1.162181328982115E-002,-5.090739130973816E-001,-8.492353558540344E-001,
