% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.000000000000000E+007,-3.114942553740767E+001,2.659601123342187E-001,-9.836285018505751E-002,-4.020933348893799E+001,
1.299500000000000E+008,-4.246720911008072E+001,-2.549530438238207E-002,3.171101902955731E-003,-4.208185450733020E+001,
2.499000000000000E+008,-4.042876870568193E+001,-4.356046448825668E-002,-4.450880644902805E-002,-3.955209392748836E+001,
3.698500000000000E+008,-3.974308343006366E+001,-5.795383110763474E-002,-5.162054365513489E-002,-3.865066255820080E+001,
4.898000000000000E+008,-3.919043546519976E+001,-7.554862765730028E-002,-6.585787024898532E-002,-3.812035241854653E+001,
6.097500000000000E+008,-4.052659919213013E+001,-9.446569102556474E-002,-9.152122183019806E-002,-3.958382200497385E+001,
7.297000000000000E+008,-4.090712486428402E+001,-1.063464261251908E-001,-1.060859195628724E-001,-4.122092211025823E+001,
8.496500000000000E+008,-4.013427359993622E+001,-1.106358165019897E-001,-1.191995697441946E-001,-4.311026316453410E+001,
9.696000000000000E+008,-3.851073267101137E+001,-1.127384048199999E-001,-1.166414747044610E-001,-4.172884180097474E+001,
1.089550000000000E+009,-3.770713945795085E+001,-1.252304174561152E-001,-1.300372701914595E-001,-3.890840840796847E+001,
1.209500000000000E+009,-3.740220859477883E+001,-1.282781395977953E-001,-1.362466843940328E-001,-3.627844028149254E+001,
1.329450000000000E+009,-3.707931168637803E+001,-1.360332421964758E-001,-1.404261650241688E-001,-3.448291826298154E+001,
1.449400000000000E+009,-3.844993362991524E+001,-1.454922903663813E-001,-1.416863128555511E-001,-3.367222844283194E+001,
1.569350000000000E+009,-4.004806410697250E+001,-1.409582234681764E-001,-1.382637670141641E-001,-3.330378306806528E+001,
1.689300000000000E+009,-4.584633329763769E+001,-1.397566970409475E-001,-1.331063226584336E-001,-3.327229155477070E+001,
1.809250000000000E+009,-6.331267892804145E+001,-1.370902529958799E-001,-1.425520057845030E-001,-3.422903781363327E+001,
1.929200000000000E+009,-4.660627486927569E+001,-1.435662459297928E-001,-1.359237180012759E-001,-3.523447207629038E+001,
2.049150000000000E+009,-4.130672300790716E+001,-1.354059910021599E-001,-1.342390078752635E-001,-3.790819138037234E+001,
2.169100000000000E+009,-3.895398502092609E+001,-1.331660258212405E-001,-1.363867698540194E-001,-4.104085604059283E+001,
2.289050000000000E+009,-3.833163159666689E+001,-1.452915695457006E-001,-1.425531070986529E-001,-4.249861579240287E+001,
2.409000000000000E+009,-3.945032182174066E+001,-1.439071059565925E-001,-1.296714069419550E-001,-4.236772239830902E+001,
2.528950000000000E+009,-4.221443023259711E+001,-1.396998107531277E-001,-1.382428851207179E-001,-3.878666458518030E+001,
2.648900000000000E+009,-4.258314860602871E+001,-1.348812750335343E-001,-1.383401330978292E-001,-3.640738382920383E+001,
2.768850000000000E+009,-4.157422818378765E+001,-1.434016935309279E-001,-1.526712378056489E-001,-3.478407334717787E+001,
2.888800000000000E+009,-3.936633625629202E+001,-1.430871279462809E-001,-1.542862938161149E-001,-3.442000231028383E+001,
3.008750000000000E+009,-3.778836666766402E+001,-1.439178753234195E-001,-1.556377837575091E-001,-3.406921921472058E+001,
3.128700000000000E+009,-3.595983910539113E+001,-1.535632430430165E-001,-1.571291807536643E-001,-3.462881278617296E+001,
3.248650000000000E+009,-3.398863213825846E+001,-1.624061786952633E-001,-1.600932860400991E-001,-3.552502870385694E+001,
3.368600000000000E+009,-3.244347056670036E+001,-1.518448657451899E-001,-1.570785613835105E-001,-3.735913461925347E+001,
3.488550000000000E+009,-3.177281278567845E+001,-1.523137308882754E-001,-1.549297704876951E-001,-3.923674750223661E+001,
3.608500000000000E+009,-3.167641946929332E+001,-1.476404320850991E-001,-1.462529621997930E-001,-4.245654597738719E+001,
3.728450000000000E+009,-3.235771923133447E+001,-1.431488692740883E-001,-1.463886195739551E-001,-4.600564196642638E+001,
3.848400000000000E+009,-3.343666555747983E+001,-1.365405834876479E-001,-1.465646797933085E-001,-4.944227225372781E+001,
3.968350000000000E+009,-3.444482997626106E+001,-1.464478910011003E-001,-1.440024207136453E-001,-4.546438145174821E+001,
