% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-1.707193404436112E-001,-4.679088667035103E-002,7.931486964225769E-001,-2.128999680280685E-003,7.978331446647644E-001,-3.090978972613812E-002,-1.780473440885544E-001,-2.907507121562958E-003,
1.299500000000000E+008,-2.189930379390717E-001,2.678012475371361E-002,7.261285781860352E-001,-3.048644065856934E-001,7.254526615142822E-001,-3.025397062301636E-001,-2.201841622591019E-001,1.089403871446848E-002,
2.499000000000000E+008,-2.341532111167908E-001,8.752804994583130E-002,5.681908726692200E-001,-5.096750855445862E-001,5.654993057250977E-001,-5.117488503456116E-001,-2.389522492885590E-001,5.905973166227341E-002,
3.698500000000000E+008,-2.208015769720078E-001,1.652479171752930E-001,3.642304539680481E-001,-6.489606499671936E-001,3.632822036743164E-001,-6.477220058441162E-001,-2.437150329351425E-001,1.212680339813232E-001,
4.898000000000000E+008,-1.761635839939117E-001,2.418093085289002E-001,1.366603076457977E-001,-7.141528725624085E-001,1.365863829851151E-001,-7.134298682212830E-001,-2.241700142621994E-001,1.903323382139206E-001,
6.097500000000000E+008,-1.000875160098076E-001,3.057247698307037E-001,-9.031602740287781E-002,-7.056274414062500E-001,-9.066692739725113E-002,-7.040679454803467E-001,-1.819186210632324E-001,2.562955319881439E-001,
7.297000000000000E+008,-1.775147393345833E-004,3.416126966476440E-001,-2.981504797935486E-001,-6.308445334434509E-001,-2.981350719928742E-001,-6.285855174064636E-001,-1.175737082958221E-001,3.112129271030426E-001,
8.496500000000000E+008,1.121512949466705E-001,3.405462205410004E-001,-4.684997200965881E-001,-4.982577264308929E-001,-4.676293134689331E-001,-4.972350299358368E-001,-3.526066616177559E-002,3.476509749889374E-001,
9.696000000000000E+008,2.241320610046387E-001,3.015415966510773E-001,-5.884308218955994E-001,-3.253398239612579E-001,-5.872387290000916E-001,-3.255630433559418E-001,5.854953080415726E-002,3.606957793235779E-001,
1.089550000000000E+009,3.205517828464508E-001,2.238233983516693E-001,-6.490898728370667E-001,-1.273314058780670E-001,-6.482641696929932E-001,-1.296403855085373E-001,1.565438210964203E-001,3.460606038570404E-001,
1.209500000000000E+009,3.880944848060608E-001,1.161058098077774E-001,-6.476927399635315E-001,7.265461981296539E-002,-6.473513841629028E-001,7.292709499597549E-002,2.506086826324463E-001,3.028469383716583E-001,
1.329450000000000E+009,4.184644222259522E-001,-1.382329501211643E-002,-5.873761177062988E-001,2.614881694316864E-001,-5.868201255798340E-001,2.611015737056732E-001,3.302877247333527E-001,2.340497970581055E-001,
1.449400000000000E+009,4.028979539871216E-001,-1.501330435276032E-001,-4.741382896900177E-001,4.213694334030151E-001,-4.745882749557495E-001,4.205362200737000E-001,3.903670608997345E-001,1.420352011919022E-001,
1.569350000000000E+009,3.419506847858429E-001,-2.767148911952972E-001,-3.226931691169739E-001,5.374314785003662E-001,-3.229582905769348E-001,5.367376804351807E-001,4.224215745925903E-001,3.640329465270042E-002,
1.689300000000000E+009,2.406183779239655E-001,-3.787765204906464E-001,-1.448392122983933E-001,6.035307645797730E-001,-1.448463201522827E-001,6.024368405342102E-001,4.250958263874054E-001,-7.808756083250046E-002,
1.809250000000000E+009,1.081946790218353E-001,-4.438398182392120E-001,4.358457028865814E-002,6.132101416587830E-001,4.204017668962479E-002,6.118693947792053E-001,3.957960605621338E-001,-1.906089186668396E-001,
1.929200000000000E+009,-3.994437307119370E-002,-4.619594514369965E-001,2.228744626045227E-001,5.662901401519775E-001,2.224849760532379E-001,5.658288002014160E-001,3.363324999809265E-001,-2.917561531066895E-001,
2.049150000000000E+009,-1.895028203725815E-001,-4.314541816711426E-001,3.786031603813171E-001,4.683163166046143E-001,3.794761300086975E-001,4.684796929359436E-001,2.495668083429337E-001,-3.747855722904205E-001,
2.169100000000000E+009,-3.203592598438263E-001,-3.525490760803223E-001,4.944182932376862E-001,3.323051333427429E-001,4.957644939422607E-001,3.312250077724457E-001,1.451565325260162E-001,-4.297186732292175E-001,
2.289050000000000E+009,-4.254036843776703E-001,-2.318135797977448E-001,5.677836537361145E-001,1.669702231884003E-001,5.695143342018127E-001,1.645081043243408E-001,2.544460259377956E-002,-4.575936496257782E-001,
2.409000000000000E+009,-4.839974939823151E-001,-8.018636703491211E-002,5.878946781158447E-001,-1.132760010659695E-002,5.882311463356018E-001,-1.464993506669998E-002,-9.895802289247513E-002,-4.517055749893189E-001,
2.528950000000000E+009,-4.877347052097321E-001,8.171328157186508E-002,5.536578297615051E-001,-1.833140105009079E-001,5.526258945465088E-001,-1.859368383884430E-001,-2.130647003650665E-001,-4.118450582027435E-001,
2.648900000000000E+009,-4.371278285980225E-001,2.402736991643906E-001,4.691051840782166E-001,-3.396104276180267E-001,4.675161838531494E-001,-3.404149711132050E-001,-3.164983391761780E-001,-3.415269851684570E-001,
2.768850000000000E+009,-3.362606763839722E-001,3.735065758228302E-001,3.416636586189270E-001,-4.620729982852936E-001,3.403598666191101E-001,-4.609453082084656E-001,-3.971845805644989E-001,-2.455355226993561E-001,
2.888800000000000E+009,-1.973565369844437E-001,4.668729007244110E-001,1.852762401103973E-001,-5.381869673728943E-001,1.855782717466354E-001,-5.381847620010376E-001,-4.497792422771454E-001,-1.320711523294449E-001,
3.008750000000000E+009,-3.521726280450821E-002,5.102664828300476E-001,1.413529738783836E-002,-5.638610720634460E-001,1.548460498452187E-002,-5.642145276069641E-001,-4.697061181068420E-001,-7.137631997466087E-003,
3.128700000000000E+009,1.334812790155411E-001,4.984505474567413E-001,-1.541712880134583E-001,-5.371792316436768E-001,-1.532737463712692E-001,-5.376639366149902E-001,-4.559480249881744E-001,1.186267361044884E-001,
3.248650000000000E+009,2.908561825752258E-001,4.328069686889648E-001,-3.046635389328003E-001,-4.649438261985779E-001,-3.048603534698486E-001,-4.638992249965668E-001,-4.096878767013550E-001,2.359920293092728E-001,
3.368600000000000E+009,4.180207252502441E-001,3.181383609771729E-001,-4.271643757820129E-001,-3.502732515335083E-001,-4.252317845821381E-001,-3.497828245162964E-001,-3.352804481983185E-001,3.362618684768677E-001,
3.488550000000000E+009,5.009551644325256E-001,1.693453490734100E-001,-5.091428756713867E-001,-2.073639184236527E-001,-5.067679882049561E-001,-2.064063251018524E-001,-2.362383455038071E-001,4.142008423805237E-001,
3.608500000000000E+009,5.312042236328125E-001,2.210553735494614E-003,-5.452308654785156E-001,-4.543099552392960E-002,-5.423998236656189E-001,-4.632876068353653E-002,-1.196841523051262E-001,4.646970927715302E-001,
3.728450000000000E+009,5.075139403343201E-001,-1.651653647422791E-001,-5.312040448188782E-001,1.172586157917976E-001,-5.288267135620117E-001,1.155700683593750E-001,6.575746461749077E-003,4.811772108078003E-001,
3.848400000000000E+009,4.326767027378082E-001,-3.169896006584168E-001,-4.684394896030426E-001,2.689979672431946E-001,-4.673073291778565E-001,2.657048702239990E-001,1.342140734195709E-001,4.644561409950256E-001,
3.968350000000000E+009,3.134106397628784E-001,-4.388507306575775E-001,-3.663759231567383E-001,3.922423422336578E-001,-3.660006225109100E-001,3.911491334438324E-001,2.526205778121948E-001,4.137286245822907E-001,
4.088300000000000E+009,1.608965098857880E-001,-5.182036161422730E-001,-2.324768751859665E-001,4.806452095508575E-001,-2.329397350549698E-001,4.803227782249451E-001,3.543162345886231E-001,3.350140154361725E-001,
4.208250000000000E+009,-1.138001773506403E-002,-5.449737906455994E-001,-8.066534250974655E-002,5.268845558166504E-001,-7.831865549087524E-002,5.259717702865601E-001,4.307220876216888E-001,2.309451401233673E-001,
4.328200000000000E+009,-1.859822422266007E-001,-5.144219994544983E-001,7.845573872327805E-002,5.257967114448547E-001,8.075858652591705E-002,5.252099633216858E-001,4.770998358726502E-001,1.107215508818626E-001,
4.448150000000000E+009,-3.423128128051758E-001,-4.268356263637543E-001,2.321386933326721E-001,4.775057733058929E-001,2.330950647592545E-001,4.751612544059753E-001,4.890830218791962E-001,-1.732306554913521E-002,
4.568100000000000E+009,-4.619199633598328E-001,-2.923773229122162E-001,3.632919788360596E-001,3.842574059963226E-001,3.634814918041229E-001,3.836525678634644E-001,4.667589068412781E-001,-1.437977850437164E-001,
4.688050000000000E+009,-5.311219096183777E-001,-1.259232312440872E-001,4.601550996303558E-001,2.573390305042267E-001,4.598940908908844E-001,2.560318708419800E-001,4.114606976509094E-001,-2.589612901210785E-001,
4.808000000000000E+009,-5.420529246330261E-001,5.494231358170509E-002,5.127866268157959E-001,1.078621223568916E-001,5.140983462333679E-001,1.062639728188515E-001,3.281090855598450E-001,-3.551689982414246E-001,
4.927950000000000E+009,-4.936283528804779E-001,2.308774292469025E-001,5.194387435913086E-001,-5.120372772216797E-002,5.206297636032105E-001,-5.164778232574463E-002,2.240738719701767E-001,-4.256168305873871E-001,
5.047900000000000E+009,-3.884569704532623E-001,3.814855515956879E-001,4.794350862503052E-001,-2.027889341115952E-001,4.803513884544373E-001,-2.042977362871170E-001,1.050393357872963E-001,-4.663296043872833E-001,
5.167850000000000E+009,-2.384138852357864E-001,4.891898334026337E-001,3.959673643112183E-001,-3.363780379295349E-001,3.957464098930359E-001,-3.379301130771637E-001,-1.878824830055237E-002,-4.737419784069061E-001,
5.287800000000000E+009,-6.042914465069771E-002,5.390664339065552E-001,2.762511074542999E-001,-4.393192529678345E-001,2.758019268512726E-001,-4.390444457530975E-001,-1.391830891370773E-001,-4.485923051834106E-001,
5.407750000000000E+009,1.214796677231789E-001,5.272399187088013E-001,1.311770677566528E-001,-5.020961165428162E-001,1.309050023555756E-001,-5.000829696655273E-001,-2.476927191019058E-001,-3.947699069976807E-001,
5.527700000000000E+009,2.878453135490418E-001,4.565849304199219E-001,-2.811184152960777E-002,-5.176240801811218E-001,-2.475064620375633E-002,-5.150925517082214E-001,-3.382335603237152E-001,-3.132757544517517E-001,
5.647650000000000E+009,4.206423461437225E-001,3.394547104835510E-001,-1.804880350828171E-001,-4.835340380668640E-001,-1.771581918001175E-001,-4.814101755619049E-001,-4.041734635829926E-001,-2.135185450315476E-001,
