% Version 1.00
%
%freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S12[dB],Trc4_S22[dB],
1.000000000000000E+007,-4.740585752330748E+001,1.255263419954003E-001,-1.080235640791548E-001,-3.879075271617661E+001,
1.299500000000000E+008,-4.214245978591459E+001,1.703759130447237E-002,3.601053319555882E-002,-4.423334189068063E+001,
2.499000000000000E+008,-4.365997128308389E+001,-1.311522170033361E-002,-5.215047641952796E-003,-4.166706913140001E+001,
3.698500000000000E+008,-4.458634633765316E+001,-1.369446940273704E-002,-9.191782925504252E-003,-3.928685551657012E+001,
4.898000000000000E+008,-4.648714098670629E+001,-2.636663252535161E-002,-1.277995606418541E-002,-3.873505269142586E+001,
6.097500000000000E+008,-4.732459504327514E+001,-4.486844112268733E-002,-4.251844646841330E-002,-3.987745896369672E+001,
7.297000000000000E+008,-4.057356973664238E+001,-5.936789522796016E-002,-6.389742445277004E-002,-4.229280171481285E+001,
8.496500000000000E+008,-3.631417985056854E+001,-6.608458589926237E-002,-7.240740101014900E-002,-5.191061220018753E+001,
9.696000000000000E+008,-3.423042412500125E+001,-6.305828278859223E-002,-7.228032526825219E-002,-5.035300245328995E+001,
1.089550000000000E+009,-3.287426108666936E+001,-8.189317367595984E-002,-8.750942518083976E-002,-4.039255952610632E+001,
1.209500000000000E+009,-3.298285036190657E+001,-8.475388563077224E-002,-8.716028845948588E-002,-3.685695270720993E+001,
1.329450000000000E+009,-3.374348434382171E+001,-9.483761940901964E-002,-9.518172359289778E-002,-3.379788280601691E+001,
1.449400000000000E+009,-3.672822460971165E+001,-1.039598846920188E-001,-9.956203131266538E-002,-3.270727653302665E+001,
1.569350000000000E+009,-4.117956556414746E+001,-1.037057725817784E-001,-9.766037206356193E-002,-3.210632254894087E+001,
1.689300000000000E+009,-5.685410642404386E+001,-9.794425207612827E-002,-9.018635223317303E-002,-3.224284628195599E+001,
1.809250000000000E+009,-4.091028432156314E+001,-1.030634320537644E-001,-9.556912594230052E-002,-3.331465913037677E+001,
1.929200000000000E+009,-3.485842834246402E+001,-1.027110321473279E-001,-9.063843055292931E-002,-3.495304526014282E+001,
2.049150000000000E+009,-3.265581141842272E+001,-9.431083628002684E-002,-8.437831984674453E-002,-3.912815303825428E+001,
2.169100000000000E+009,-3.128543017550937E+001,-9.208349813062881E-002,-9.088836967709504E-002,-4.422862731266991E+001,
2.289050000000000E+009,-3.123273083837852E+001,-9.823636709076040E-002,-1.032900630514271E-001,-4.267052036769871E+001,
2.409000000000000E+009,-3.192330046289915E+001,-1.119028943706462E-001,-9.182313913042475E-002,-3.701837026015983E+001,
2.528950000000000E+009,-3.405231440584322E+001,-9.657233087532981E-002,-9.408236029589438E-002,-3.373805376880169E+001,
2.648900000000000E+009,-3.776895260951194E+001,-9.308862772663215E-002,-1.028701857741743E-001,-3.211099897801638E+001,
2.768850000000000E+009,-4.298187142484002E+001,-9.830563569891068E-002,-1.053184227917610E-001,-3.129655745091548E+001,
2.888800000000000E+009,-4.134235269639229E+001,-9.664321285947775E-002,-1.008617058187826E-001,-3.128799259112229E+001,
3.008750000000000E+009,-3.672505391870676E+001,-9.375210969926023E-002,-1.009123725395890E-001,-3.185974881733482E+001,
3.128700000000000E+009,-3.349412275077690E+001,-1.036574198156501E-001,-1.030290122954768E-001,-3.299939253626868E+001,
3.248650000000000E+009,-3.172519004669735E+001,-1.107899467563347E-001,-1.006322404683739E-001,-3.574161506463539E+001,
3.368600000000000E+009,-3.086550600121520E+001,-9.943737437553982E-002,-9.624160438643853E-002,-3.945186181197695E+001,
3.488550000000000E+009,-3.140915394105468E+001,-1.003021415116601E-001,-9.713878850004935E-002,-4.122305179482670E+001,
3.608500000000000E+009,-3.263854439505546E+001,-9.589331019626785E-002,-9.991389577908671E-002,-3.857789968075052E+001,
3.728450000000000E+009,-3.550414199182053E+001,-9.475233671604527E-002,-9.216551643148517E-002,-3.504399942297083E+001,
3.848400000000000E+009,-3.889993474844307E+001,-9.270607677148904E-002,-1.027315837558879E-001,-3.277447327367646E+001,
3.968350000000000E+009,-3.985002527285748E+001,-1.013050695674558E-001,-1.051425908793123E-001,-3.140963686448023E+001,
4.088300000000000E+009,-3.586532000449179E+001,-1.052256242630283E-001,-1.084989272181542E-001,-3.090155045573711E+001,
4.208250000000000E+009,-3.322382501441079E+001,-9.686570947156405E-002,-1.096615217389683E-001,-3.097072153289114E+001,
4.328200000000000E+009,-3.165130473576607E+001,-9.792727030054710E-002,-1.001590786334485E-001,-3.182660555002070E+001,
4.448150000000000E+009,-3.113249619233185E+001,-1.027984428302250E-001,-1.051233791011565E-001,-3.372907291031298E+001,
4.568100000000000E+009,-3.145534063904795E+001,-9.594703987381492E-002,-9.561401406810975E-002,-3.641299233424991E+001,
4.688050000000000E+009,-3.272893329988208E+001,-8.538969371455156E-002,-8.922276396449889E-002,-3.913470522943941E+001,
4.808000000000000E+009,-3.476733720795750E+001,-7.995513203579607E-002,-9.105197629857770E-002,-3.905526417739920E+001,
4.927950000000000E+009,-3.861287700886015E+001,-8.628814325121037E-002,-9.468994472110547E-002,-3.686446259377939E+001,
5.047900000000000E+009,-4.000905371775789E+001,-9.116415305359769E-002,-8.828220865789790E-002,-3.460224774436707E+001,
5.167850000000000E+009,-3.774425364772111E+001,-9.098093337892030E-002,-9.467274737407784E-002,-3.304545902472993E+001,
5.287800000000000E+009,-3.489301546317785E+001,-9.145340738050341E-002,-8.612052331345779E-002,-3.226471299519424E+001,
5.407750000000000E+009,-3.270509248357141E+001,-8.517192579739766E-002,-8.359682054357022E-002,-3.198676419043960E+001,
5.527700000000000E+009,-3.213753183348752E+001,-7.979421137041312E-002,-8.011914533381073E-002,-3.309935108338458E+001,
5.647650000000000E+009,-3.176993758804008E+001,-7.047357432720661E-002,-7.583015940462022E-002,-3.440633596105696E+001,
5.767600000000000E+009,-3.312772228469760E+001,-6.697125373671826E-002,-8.771960976363365E-002,-3.732165241617623E+001,
5.887550000000000E+009,-3.471310162865023E+001,-5.580282956660376E-002,-7.387504740052245E-002,-3.987886801675412E+001,
