Legend:

1-P =,Untitled... Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °F
0,4/5/2017,3:52:55 PM,78
1,4/5/2017,3:52:56 PM,78
2,4/5/2017,3:52:57 PM,78
3,4/5/2017,3:52:58 PM,78
4,4/5/2017,3:52:59 PM,78
5,4/5/2017,3:53:00 PM,78
6,4/5/2017,3:53:01 PM,78
7,4/5/2017,3:53:02 PM,78
8,4/5/2017,3:53:03 PM,78
9,4/5/2017,3:53:04 PM,78
10,4/5/2017,3:53:05 PM,78
11,4/5/2017,3:53:06 PM,78
12,4/5/2017,3:53:07 PM,78
13,4/5/2017,3:53:08 PM,78
14,4/5/2017,3:53:09 PM,78
15,4/5/2017,3:53:10 PM,78
16,4/5/2017,3:53:11 PM,78
17,4/5/2017,3:53:12 PM,78
18,4/5/2017,3:53:13 PM,78
19,4/5/2017,3:53:14 PM,78
20,4/5/2017,3:53:15 PM,78
21,4/5/2017,3:53:16 PM,78
22,4/5/2017,3:53:17 PM,78
23,4/5/2017,3:53:18 PM,78
24,4/5/2017,3:53:19 PM,78
25,4/5/2017,3:53:20 PM,78
26,4/5/2017,3:53:21 PM,78
27,4/5/2017,3:53:22 PM,78
28,4/5/2017,3:53:23 PM,78
29,4/5/2017,3:53:24 PM,78
30,4/5/2017,3:53:25 PM,78
31,4/5/2017,3:53:26 PM,78
32,4/5/2017,3:53:27 PM,78
33,4/5/2017,3:53:28 PM,78
34,4/5/2017,3:53:29 PM,78
35,4/5/2017,3:53:30 PM,78
36,4/5/2017,3:53:31 PM,78
37,4/5/2017,3:53:32 PM,78
38,4/5/2017,3:53:33 PM,78
39,4/5/2017,3:53:34 PM,78
40,4/5/2017,3:53:35 PM,78
41,4/5/2017,3:53:36 PM,78
42,4/5/2017,3:53:37 PM,78
43,4/5/2017,3:53:38 PM,78
44,4/5/2017,3:53:39 PM,78
45,4/5/2017,3:53:40 PM,78
46,4/5/2017,3:53:41 PM,78
47,4/5/2017,3:53:42 PM,78
48,4/5/2017,3:53:43 PM,78
49,4/5/2017,3:53:44 PM,78
50,4/5/2017,3:53:45 PM,78
51,4/5/2017,3:53:46 PM,78
52,4/5/2017,3:53:48 PM,78
53,4/5/2017,3:53:49 PM,78
54,4/5/2017,3:53:50 PM,78
55,4/5/2017,3:53:51 PM,78
56,4/5/2017,3:53:52 PM,78
57,4/5/2017,3:53:53 PM,78
58,4/5/2017,3:53:54 PM,78
59,4/5/2017,3:53:55 PM,78
60,4/5/2017,3:53:56 PM,78
61,4/5/2017,3:53:57 PM,78
62,4/5/2017,3:53:58 PM,78
63,4/5/2017,3:53:59 PM,78
64,4/5/2017,3:54:00 PM,78
65,4/5/2017,3:54:01 PM,78
66,4/5/2017,3:54:02 PM,78
67,4/5/2017,3:54:03 PM,78
68,4/5/2017,3:54:04 PM,78
69,4/5/2017,3:54:05 PM,78
70,4/5/2017,3:54:06 PM,78
71,4/5/2017,3:54:07 PM,78
72,4/5/2017,3:54:08 PM,78
73,4/5/2017,3:54:09 PM,78
74,4/5/2017,3:54:10 PM,78
75,4/5/2017,3:54:11 PM,78
76,4/5/2017,3:54:12 PM,78
77,4/5/2017,3:54:13 PM,78
78,4/5/2017,3:54:14 PM,78
79,4/5/2017,3:54:15 PM,78
80,4/5/2017,3:54:16 PM,78
81,4/5/2017,3:54:17 PM,78
82,4/5/2017,3:54:18 PM,78
83,4/5/2017,3:54:19 PM,78
84,4/5/2017,3:54:20 PM,78
85,4/5/2017,3:54:21 PM,78
86,4/5/2017,3:54:22 PM,78
87,4/5/2017,3:54:23 PM,78
88,4/5/2017,3:54:24 PM,78
89,4/5/2017,3:54:25 PM,78
90,4/5/2017,3:54:26 PM,78
91,4/5/2017,3:54:27 PM,78
92,4/5/2017,3:54:28 PM,78
93,4/5/2017,3:54:29 PM,78
94,4/5/2017,3:54:30 PM,78
95,4/5/2017,3:54:31 PM,78
96,4/5/2017,3:54:32 PM,78
97,4/5/2017,3:54:33 PM,78
98,4/5/2017,3:54:34 PM,78
99,4/5/2017,3:54:35 PM,78
100,4/5/2017,3:54:36 PM,78
101,4/5/2017,3:54:37 PM,78
102,4/5/2017,3:54:38 PM,78
103,4/5/2017,3:54:39 PM,78
104,4/5/2017,3:54:40 PM,78
105,4/5/2017,3:54:41 PM,78
106,4/5/2017,3:54:42 PM,78
107,4/5/2017,3:54:43 PM,78
108,4/5/2017,3:54:44 PM,78
109,4/5/2017,3:54:45 PM,78
110,4/5/2017,3:54:46 PM,78
111,4/5/2017,3:54:47 PM,78
112,4/5/2017,3:54:48 PM,78
113,4/5/2017,3:54:49 PM,78
114,4/5/2017,3:54:50 PM,78
115,4/5/2017,3:54:51 PM,78
116,4/5/2017,3:54:52 PM,78
117,4/5/2017,3:54:53 PM,78
118,4/5/2017,3:54:54 PM,78
119,4/5/2017,3:54:55 PM,78
120,4/5/2017,3:54:56 PM,78
121,4/5/2017,3:54:57 PM,78
122,4/5/2017,3:54:58 PM,78
123,4/5/2017,3:54:59 PM,78
124,4/5/2017,3:55:01 PM,78
125,4/5/2017,3:55:02 PM,78
126,4/5/2017,3:55:03 PM,78
127,4/5/2017,3:55:04 PM,78
128,4/5/2017,3:55:05 PM,78
129,4/5/2017,3:55:06 PM,78
130,4/5/2017,3:55:07 PM,78
131,4/5/2017,3:55:08 PM,78
132,4/5/2017,3:55:09 PM,78
133,4/5/2017,3:55:10 PM,78
134,4/5/2017,3:55:11 PM,78
135,4/5/2017,3:55:12 PM,78
136,4/5/2017,3:55:13 PM,78
137,4/5/2017,3:55:14 PM,78
138,4/5/2017,3:55:15 PM,78
139,4/5/2017,3:55:16 PM,78
140,4/5/2017,3:55:17 PM,78
141,4/5/2017,3:55:18 PM,78
142,4/5/2017,3:55:19 PM,78
143,4/5/2017,3:55:20 PM,78
144,4/5/2017,3:55:21 PM,78
145,4/5/2017,3:55:22 PM,78
146,4/5/2017,3:55:23 PM,78
147,4/5/2017,3:55:24 PM,78
148,4/5/2017,3:55:25 PM,78
149,4/5/2017,3:55:26 PM,78
150,4/5/2017,3:55:27 PM,78
151,4/5/2017,3:55:28 PM,78
152,4/5/2017,3:55:29 PM,78
153,4/5/2017,3:55:30 PM,78
154,4/5/2017,3:55:31 PM,78
155,4/5/2017,3:55:32 PM,78
156,4/5/2017,3:55:33 PM,78
157,4/5/2017,3:55:34 PM,78
158,4/5/2017,3:55:35 PM,78
159,4/5/2017,3:55:36 PM,78
160,4/5/2017,3:55:37 PM,78
161,4/5/2017,3:55:38 PM,78
162,4/5/2017,3:55:39 PM,78
163,4/5/2017,3:55:40 PM,78
---------------------------------------------------------------------------------

