% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.157372608780861E-002,-4.461714066565037E-003,9.655171036720276E-001,-5.329568684101105E-002,9.668651819229126E-001,-1.689619570970535E-002,1.328434143215418E-002,9.419722482562065E-003,
1.299500000000000E+008,9.089016821235418E-004,-6.615549791604281E-003,9.423043131828308E-001,-3.209990262985230E-001,9.439356923103333E-001,-3.238663971424103E-001,-2.274101279908791E-004,-5.657662171870470E-003,
2.499000000000000E+008,-7.719182409346104E-003,-1.198435388505459E-002,8.008490800857544E-001,-5.914606451988220E-001,8.007556796073914E-001,-5.930451154708862E-001,-3.567592240869999E-003,-1.340488158166409E-002,
3.698500000000000E+008,-1.944193989038467E-002,-1.072934363037348E-002,5.845521688461304E-001,-8.052753806114197E-001,5.860043764114380E-001,-8.052796721458435E-001,-1.168916560709477E-002,-2.039484493434429E-002,
4.898000000000000E+008,-3.041087277233601E-002,-3.271051915362477E-003,3.151830732822418E-001,-9.426393508911133E-001,3.165641129016876E-001,-9.435551762580872E-001,-2.252211421728134E-002,-2.196776680648327E-002,
6.097500000000000E+008,-3.691053763031960E-002,1.319718733429909E-002,1.726561039686203E-002,-9.927043318748474E-001,1.886085048317909E-002,-9.917448759078980E-001,-3.660914301872253E-002,-1.990449987351894E-002,
7.297000000000000E+008,-3.553667291998863E-002,3.271799534559250E-002,-2.802726924419403E-001,-9.518405795097351E-001,-2.795791625976563E-001,-9.512974023818970E-001,-5.002920702099800E-002,-1.116470061242580E-002,
8.496500000000000E+008,-2.513998001813889E-002,5.076294764876366E-002,-5.517418384552002E-001,-8.241090178489685E-001,-5.509008765220642E-001,-8.231639266014099E-001,-6.050139665603638E-002,3.637111280113459E-003,
9.696000000000000E+008,-5.619195289909840E-003,6.707640737295151E-002,-7.724683880805969E-001,-6.196947693824768E-001,-7.715483903884888E-001,-6.195655465126038E-001,-6.571500748395920E-002,2.183251269161701E-002,
1.089550000000000E+009,2.090518735349178E-002,7.435002177953720E-002,-9.215912818908691E-001,-3.592920601367950E-001,-9.209471940994263E-001,-3.592021465301514E-001,-6.500395387411118E-002,4.308760166168213E-002,
1.209500000000000E+009,5.251843854784966E-002,7.054169476032257E-002,-9.860971570014954E-001,-6.671735644340515E-002,-9.854246377944946E-001,-6.751426309347153E-002,-5.743193253874779E-002,6.407946348190308E-002,
1.329450000000000E+009,8.337458223104477E-002,5.262948945164681E-002,-9.591788053512573E-001,2.310932129621506E-001,-9.592344760894775E-001,2.311994731426239E-001,-4.397862032055855E-002,8.319969475269318E-002,
1.449400000000000E+009,1.068155243992806E-001,1.991255953907967E-002,-8.451822996139526E-001,5.071103572845459E-001,-8.453941345214844E-001,5.070719718933106E-001,-2.487375214695931E-002,9.805498272180557E-002,
1.569350000000000E+009,1.146242767572403E-001,-2.260863222181797E-002,-6.539043784141541E-001,7.361990809440613E-001,-6.539723277091980E-001,7.361382246017456E-001,-2.010552212595940E-003,1.082111820578575E-001,
1.689300000000000E+009,1.036959066987038E-001,-6.704071909189224E-002,-4.036584794521332E-001,8.973161578178406E-001,-4.025972485542297E-001,8.970273137092590E-001,2.374248765408993E-002,1.122115552425385E-001,
1.809250000000000E+009,7.504180073738098E-002,-1.052933707833290E-001,-1.158541887998581E-001,9.764329791069031E-001,-1.161292344331741E-001,9.751107096672058E-001,4.965657368302345E-002,1.101967990398407E-001,
1.929200000000000E+009,3.277917951345444E-002,-1.306293457746506E-001,1.813740134239197E-001,9.650542140007019E-001,1.808273345232010E-001,9.645001292228699E-001,7.568954676389694E-002,1.022940054535866E-001,
2.049150000000000E+009,-1.779217086732388E-002,-1.398525089025497E-001,4.610008001327515E-001,8.647242784500122E-001,4.609515368938446E-001,8.656381368637085E-001,1.004438400268555E-001,8.859379589557648E-002,
2.169100000000000E+009,-7.192340493202210E-002,-1.291859894990921E-001,6.992560029029846E-001,6.864982247352600E-001,6.981201767921448E-001,6.868456602096558E-001,1.225160583853722E-001,6.949228793382645E-002,
2.289050000000000E+009,-1.224521920084953E-001,-9.603489190340042E-002,8.700911998748779E-001,4.447525143623352E-001,8.709737062454224E-001,4.453675150871277E-001,1.414822787046433E-001,4.481128230690956E-002,
2.409000000000000E+009,-1.577095240354538E-001,-4.142443463206291E-002,9.622880220413208E-001,1.633995324373245E-001,9.634644985198975E-001,1.647537499666214E-001,1.553513109683991E-001,1.551738940179348E-002,
2.528950000000000E+009,-1.669048368930817E-001,2.642288804054260E-002,9.649628996849060E-001,-1.325704008340836E-001,9.660986065864563E-001,-1.320131123065949E-001,1.637110412120819E-001,-1.811653375625610E-002,
2.648900000000000E+009,-1.473616957664490E-001,9.365893900394440E-002,8.812749385833740E-001,-4.141610562801361E-001,8.811191916465759E-001,-4.149309992790222E-001,1.646639704704285E-001,-5.531924962997437E-002,
2.768850000000000E+009,-1.021563708782196E-001,1.480047255754471E-001,7.152948379516602E-001,-6.579021215438843E-001,7.151582241058350E-001,-6.572559475898743E-001,1.564912647008896E-001,-9.408308565616608E-002,
2.888800000000000E+009,-4.046824574470520E-002,1.809841543436050E-001,4.850443005561829E-001,-8.405570387840271E-001,4.850478768348694E-001,-8.398420810699463E-001,1.381954848766327E-001,-1.328609287738800E-001,
3.008750000000000E+009,2.898482233285904E-002,1.906823813915253E-001,2.105649560689926E-001,-9.452654123306274E-001,2.119671106338501E-001,-9.447828531265259E-001,1.092774718999863E-001,-1.678177416324616E-001,
3.128700000000000E+009,1.002521961927414E-001,1.752186715602875E-001,-8.082579821348190E-002,-9.624601602554321E-001,-8.052499592304230E-002,-9.628096222877502E-001,7.042665779590607E-002,-1.963601112365723E-001,
3.248650000000000E+009,1.647943556308746E-001,1.336997598409653E-001,-3.632312715053558E-001,-8.935856819152832E-001,-3.640760183334351E-001,-8.932300209999085E-001,2.291870675981045E-002,-2.148391455411911E-001,
3.368600000000000E+009,2.108789980411530E-001,6.754472851753235E-002,-6.127487421035767E-001,-7.413426041603088E-001,-6.115621328353882E-001,-7.420960664749146E-001,-2.945785038173199E-002,-2.207866460084915E-001,
3.488550000000000E+009,2.280089855194092E-001,-1.424608007073402E-002,-8.045811057090759E-001,-5.242705345153809E-001,-8.042854666709900E-001,-5.249711871147156E-001,-8.325027674436569E-002,-2.137272804975510E-001,
3.608500000000000E+009,2.113444507122040E-001,-9.648585319519043E-002,-9.233435988426209E-001,-2.602438032627106E-001,-9.233859777450562E-001,-2.609268426895142E-001,-1.357179284095764E-001,-1.922681927680969E-001,
3.728450000000000E+009,1.669032722711563E-001,-1.659416705369949E-001,-9.587706923484802E-001,2.545517683029175E-002,-9.580592513084412E-001,2.524078078567982E-002,-1.815318465232849E-001,-1.570497155189514E-001,
3.848400000000000E+009,1.017996892333031E-001,-2.144532650709152E-001,-9.069553613662720E-001,3.114942908287048E-001,-9.046157002449036E-001,3.109163343906403E-001,-2.175112813711166E-001,-1.096978858113289E-001,
3.968350000000000E+009,2.338203974068165E-002,-2.392414063215256E-001,-7.721845507621765E-001,5.663041472434998E-001,-7.706164121627808E-001,5.657917857170105E-001,-2.400784194469452E-001,-5.556663125753403E-002,
4.088300000000000E+009,-6.048428639769554E-002,-2.375985234975815E-001,-5.655791759490967E-001,7.705730199813843E-001,-5.660976171493530E-001,7.675892114639282E-001,-2.483626157045364E-001,2.491007559001446E-003,
4.208250000000000E+009,-1.433735787868500E-001,-2.062332630157471E-001,-3.102004230022430E-001,9.016957283020020E-001,-3.094447255134583E-001,9.005189538002014E-001,-2.436560839414597E-001,6.110282614827156E-002,
4.328200000000000E+009,-2.138894051313400E-001,-1.430994421243668E-001,-2.710701711475849E-002,9.522078037261963E-001,-2.889744192361832E-002,9.524065256118774E-001,-2.255530357360840E-001,1.163940206170082E-001,
4.448150000000000E+009,-2.561096549034119E-001,-5.185233801603317E-002,2.570918202400208E-001,9.147549271583557E-001,2.569767236709595E-001,9.152281284332275E-001,-1.955951154232025E-001,1.666028201580048E-001,
4.568100000000000E+009,-2.593210935592651E-001,5.056001618504524E-002,5.174598693847656E-001,7.967789769172669E-001,5.188466310501099E-001,7.957720756530762E-001,-1.557420194149017E-001,2.091428190469742E-001,
4.688050000000000E+009,-2.216299325227737E-001,1.462143063545227E-001,7.309235930442810E-001,6.063794493675232E-001,7.313188910484314E-001,6.035459041595459E-001,-1.067145392298698E-001,2.421227097511292E-001,
4.808000000000000E+009,-1.515084803104401E-001,2.210507243871689E-001,8.774772286415100E-001,3.589512705802918E-001,8.771008253097534E-001,3.567784726619721E-001,-5.179369077086449E-002,2.644461691379547E-001,
4.927950000000000E+009,-5.931930243968964E-002,2.663302719593048E-001,9.433013796806335E-001,7.868558168411255E-002,9.414532184600830E-001,7.866817712783814E-002,7.897874340415001E-003,2.744456231594086E-001,
5.047900000000000E+009,4.671640321612358E-002,2.774173915386200E-001,9.206858277320862E-001,-2.061699926853180E-001,9.200231432914734E-001,-2.058696001768112E-001,6.942880898714066E-002,2.716429531574249E-001,
5.167850000000000E+009,1.547031998634338E-001,2.480784654617310E-001,8.142749667167664E-001,-4.710493683815002E-001,8.151282072067261E-001,-4.699559211730957E-001,1.306642740964890E-001,2.558622360229492E-001,
5.287800000000000E+009,2.488500177860260E-001,1.748264133930206E-001,6.337634921073914E-001,-6.897839903831482E-001,6.375102400779724E-001,-6.892641186714172E-001,1.891870796680450E-001,2.262772470712662E-001,
5.407750000000000E+009,3.059283196926117E-001,6.590187549591065E-002,3.984000086784363E-001,-8.457378149032593E-001,4.009670615196228E-001,-8.460346460342407E-001,2.413401752710342E-001,1.820583641529083E-001,
