% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.640004642307758E-002,-2.411300502717495E-002,9.402313232421875E-001,-1.589153707027435E-002,9.810438752174377E-001,1.212104409933090E-002,-1.032841950654984E-002,-6.421164609491825E-003,
1.299500000000000E+008,-2.372921258211136E-002,-3.547520563006401E-002,9.186198115348816E-001,-3.566502928733826E-001,9.206986427307129E-001,-3.579613566398621E-001,-2.812860719859600E-002,-3.453230857849121E-002,
2.499000000000000E+008,-5.938677489757538E-002,-5.120339244604111E-002,7.484719157218933E-001,-6.281538605690002E-001,7.450524568557739E-001,-6.309518814086914E-001,-6.203574314713478E-002,-4.391614347696304E-002,
3.698500000000000E+008,-1.008741483092308E-001,-4.526209086179733E-002,4.994459152221680E-001,-8.302422761917114E-001,4.974762797355652E-001,-8.285123705863953E-001,-1.050113290548325E-001,-3.074524179100990E-002,
4.898000000000000E+008,-1.404349207878113E-001,-1.777145452797413E-002,2.049369215965271E-001,-9.374386668205261E-001,2.033293992280960E-001,-9.370067119598389E-001,-1.395857036113739E-001,6.683479528874159E-003,
6.097500000000000E+008,-1.676309555768967E-001,3.087994456291199E-002,-1.047654896974564E-001,-9.438596367835999E-001,-1.064077317714691E-001,-9.420159459114075E-001,-1.580843478441238E-001,6.507208943367004E-002,
7.297000000000000E+008,-1.764214485883713E-001,9.247350692749023E-002,-3.958728015422821E-001,-8.530716300010681E-001,-3.967769742012024E-001,-8.504799604415894E-001,-1.495447605848312E-001,1.335040479898453E-001,
8.496500000000000E+008,-1.618918031454086E-001,1.594447493553162E-001,-6.407813429832459E-001,-6.746289134025574E-001,-6.377578377723694E-001,-6.732991337776184E-001,-1.101062372326851E-001,2.008313983678818E-001,
9.696000000000000E+008,-1.206331774592400E-001,2.237296253442764E-001,-8.122014999389648E-001,-4.330685138702393E-001,-8.092260956764221E-001,-4.333017766475678E-001,-4.059967771172524E-002,2.534179091453552E-001,
1.089550000000000E+009,-5.428165569901466E-002,2.755391597747803E-001,-8.968892097473145E-001,-1.507945656776428E-001,-8.947442173957825E-001,-1.533324569463730E-001,5.114424228668213E-002,2.786167263984680E-001,
1.209500000000000E+009,3.059200569987297E-002,3.047882318496704E-001,-8.892184495925903E-001,1.353863328695297E-001,-8.875725865364075E-001,1.353300809860230E-001,1.541452854871750E-001,2.673417329788208E-001,
1.329450000000000E+009,1.286393404006958E-001,3.045988678932190E-001,-7.929219007492065E-001,4.025442302227020E-001,-7.911153435707092E-001,4.018921554088593E-001,2.510731518268585E-001,2.169165760278702E-001,
1.449400000000000E+009,2.251660972833633E-001,2.702845931053162E-001,-6.199469566345215E-001,6.234265565872192E-001,-6.184726953506470E-001,6.224949955940247E-001,3.292271792888641E-001,1.292922645807266E-001,
1.569350000000000E+009,3.092573881149292E-001,2.049153596162796E-001,-3.912442922592163E-001,7.763653993606567E-001,-3.908853232860565E-001,7.751418352127075E-001,3.733378648757935E-001,1.566393859684467E-002,
1.689300000000000E+009,3.726074695587158E-001,1.144404411315918E-001,-1.284857094287872E-001,8.507733941078186E-001,-1.284380704164505E-001,8.487071990966797E-001,3.755354881286621E-001,-1.143668070435524E-001,
1.809250000000000E+009,4.079625308513641E-001,3.799909725785255E-003,1.421433091163635E-001,8.400949835777283E-001,1.400466263294220E-001,8.376179337501526E-001,3.311850726604462E-001,-2.419642210006714E-001,
1.929200000000000E+009,4.094329178333283E-001,-1.162637174129486E-001,3.906684517860413E-001,7.456050515174866E-001,3.896433115005493E-001,7.454236149787903E-001,2.420452386140823E-001,-3.498411774635315E-001,
2.049150000000000E+009,3.729487955570221E-001,-2.377493977546692E-001,5.954223871231079E-001,5.807579755783081E-001,5.961874127388001E-001,5.812753438949585E-001,1.169300153851509E-001,-4.247722923755646E-001,
2.169100000000000E+009,3.005813062191010E-001,-3.437641263008118E-001,7.349549531936646E-001,3.674603700637817E-001,7.364540696144104E-001,3.661442399024963E-001,-2.750541828572750E-002,-4.518202543258667E-001,
2.289050000000000E+009,1.932637244462967E-001,-4.291853308677673E-001,8.064892888069153E-001,1.196685954928398E-001,8.073383569717407E-001,1.175767704844475E-001,-1.813014298677445E-001,-4.302584826946259E-001,
2.409000000000000E+009,6.436583399772644E-002,-4.771525263786316E-001,7.977003455162048E-001,-1.352226734161377E-001,7.962158918380737E-001,-1.380652636289597E-001,-3.227572739124298E-001,-3.549703657627106E-001,
2.528950000000000E+009,-7.083347439765930E-002,-4.862739443778992E-001,7.111304402351379E-001,-3.680067360401154E-001,7.085988521575928E-001,-3.681082725524902E-001,-4.291548430919647E-001,-2.365835756063461E-001,
2.648900000000000E+009,-2.113592624664307E-001,-4.554823935031891E-001,5.555242300033569E-001,-5.660694241523743E-001,5.543755888938904E-001,-5.630367994308472E-001,-4.937706887722015E-001,-8.381851017475128E-002,
2.768850000000000E+009,-3.382800221443176E-001,-3.856307268142700E-001,3.485386073589325E-001,-7.022441029548645E-001,3.498153686523438E-001,-6.989483237266541E-001,-5.044372677803040E-001,8.485098928213120E-002,
2.888800000000000E+009,-4.443186521530151E-001,-2.787215113639832E-001,1.145002096891403E-001,-7.669232487678528E-001,1.174364015460014E-001,-7.651265263557434E-001,-4.589559137821198E-001,2.498815953731537E-001,
3.008750000000000E+009,-5.162185430526733E-001,-1.428708732128143E-001,-1.248474866151810E-001,-7.556049227714539E-001,-1.220999583601952E-001,-7.561825513839722E-001,-3.594992756843567E-001,3.945061564445496E-001,
3.128700000000000E+009,-5.455413460731506E-001,1.268975622951984E-002,-3.488827049732208E-001,-6.733285784721375E-001,-3.451148569583893E-001,-6.737262606620789E-001,-2.159360200166702E-001,5.003753304481506E-001,
3.248650000000000E+009,-5.274379253387451E-001,1.717657744884491E-001,-5.318707227706909E-001,-5.333324074745178E-001,-5.306839346885681E-001,-5.295819640159607E-001,-4.270653799176216E-002,5.546392798423767E-001,
3.368600000000000E+009,-4.642637372016907E-001,3.200949132442474E-001,-6.643179059028626E-001,-3.388479948043823E-001,-6.592031717300415E-001,-3.392161130905151E-001,1.397845894098282E-001,5.491018891334534E-001,
3.488550000000000E+009,-3.611736595630646E-001,4.452364444732666E-001,-7.280653715133667E-001,-1.210300177335739E-001,-7.234753370285034E-001,-1.216480731964111E-001,3.141641318798065E-001,4.833474457263947E-001,
3.608500000000000E+009,-2.258274257183075E-001,5.404770970344544E-001,-7.202698588371277E-001,1.061881333589554E-001,-7.191304564476013E-001,1.041865348815918E-001,4.602628648281097E-001,3.639343380928040E-001,
3.728450000000000E+009,-6.327433884143829E-002,5.921811461448669E-001,-6.474823951721191E-001,3.140951097011566E-001,-6.473469138145447E-001,3.123786747455597E-001,5.602756142616272E-001,2.015443444252014E-001,
3.848400000000000E+009,1.125108003616333E-001,5.967280864715576E-001,-5.155088305473328E-001,4.869003295898438E-001,-5.149700641632080E-001,4.894986748695374E-001,6.032738089561462E-001,1.271862164139748E-002,
3.968350000000000E+009,2.829119861125946E-001,5.472026467323303E-001,-3.430991768836975E-001,6.135963201522827E-001,-3.421775698661804E-001,6.155169010162354E-001,5.839582085609436E-001,-1.815121769905090E-001,
4.088300000000000E+009,4.338753223419190E-001,4.480983912944794E-001,-1.420537233352661E-001,6.833567619323731E-001,-1.381001770496368E-001,6.833279132843018E-001,5.038051009178162E-001,-3.619149923324585E-001,
4.208250000000000E+009,5.482279658317566E-001,3.095225095748901E-001,7.174123078584671E-002,6.902212500572205E-001,7.348440587520599E-002,6.882588863372803E-001,3.670156002044678E-001,-5.085724592208862E-001,
4.328200000000000E+009,6.182848811149597E-001,1.441379338502884E-001,2.748825550079346E-001,6.321427822113037E-001,2.744573354721069E-001,6.291269659996033E-001,1.881175190210342E-001,-6.050094962120056E-001,
4.448150000000000E+009,6.396422386169434E-001,-3.380246832966805E-002,4.511320888996124E-001,5.127597451210022E-001,4.475523829460144E-001,5.143983960151672E-001,-1.393131352961063E-002,-6.387612223625183E-001,
4.568100000000000E+009,6.101860404014587E-001,-2.127786278724670E-001,5.798642635345459E-001,3.493143916130066E-001,5.765302777290344E-001,3.546565771102905E-001,-2.183925807476044E-001,-6.045283675193787E-001,
4.688050000000000E+009,5.315286517143250E-001,-3.759417533874512E-001,6.519142985343933E-001,1.603946238756180E-001,6.523783206939697E-001,1.626614630222321E-001,-4.030047059059143E-001,-5.057165026664734E-001,
4.808000000000000E+009,4.094130992889404E-001,-5.103880167007446E-001,6.668331027030945E-001,-4.003496468067169E-002,6.672123074531555E-001,-3.984080255031586E-002,-5.465583205223084E-001,-3.516167104244232E-001,
4.927950000000000E+009,2.547635138034821E-001,-6.048105359077454E-001,6.226594448089600E-001,-2.371615767478943E-001,6.213918924331665E-001,-2.358451783657074E-001,-6.328954100608826E-001,-1.586774289608002E-001,
5.047900000000000E+009,8.221656084060669E-002,-6.525414586067200E-001,5.222009420394898E-001,-4.127481281757355E-001,5.200955271720886E-001,-4.089950621128082E-001,-6.534985899925232E-001,5.362260341644287E-002,
5.167850000000000E+009,-9.500839561223984E-002,-6.522058844566345E-001,3.725771307945252E-001,-5.494428277015686E-001,3.722583949565888E-001,-5.436193943023682E-001,-6.025552153587341E-001,2.618029117584229E-001,
5.287800000000000E+009,-2.656875252723694E-001,-6.067487001419067E-001,1.877851337194443E-001,-6.323123574256897E-001,1.927154064178467E-001,-6.277900934219360E-001,-4.878272414207459E-001,4.428792893886566E-001,
5.407750000000000E+009,-4.211024343967438E-001,-5.165914893150330E-001,-1.031034626066685E-002,-6.560974717140198E-001,-3.156585618853569E-003,-6.555789113044739E-001,-3.202498853206635E-001,5.773563981056213E-001,
5.527700000000000E+009,-5.507287979125977E-001,-3.864375054836273E-001,-2.032912075519562E-001,-6.178444623947144E-001,-2.000183463096619E-001,-6.236844658851624E-001,-1.168311908841133E-001,6.517549753189087E-001,
5.647650000000000E+009,-6.383614540100098E-001,-2.217404842376709E-001,-3.744496405124664E-001,-5.306903123855591E-001,-3.768762648105621E-001,-5.337308049201965E-001,9.863228350877762E-002,6.560119390487671E-001,
5.767600000000000E+009,-6.742030382156372E-001,-3.348884731531143E-002,-5.145123600959778E-001,-3.961202800273895E-001,-5.189333558082581E-001,-3.933023214340210E-001,3.050110638141632E-001,5.901835560798645E-001,
5.887550000000000E+009,-6.559659838676453E-001,1.550304740667343E-001,-6.107515692710877E-001,-2.241654694080353E-001,-6.123281717300415E-001,-2.208676487207413E-001,4.791235923767090E-001,4.631547927856445E-001,
6.007500000000000E+009,-5.858445167541504E-001,3.299090564250946E-001,-6.506511569023132E-001,-2.931546419858933E-002,-6.485667824745178E-001,-2.613370493054390E-002,6.036359667778015E-001,2.856944501399994E-001,
6.127450000000000E+009,-4.694849550724030E-001,4.790728390216827E-001,-6.278681159019470E-001,1.695818752050400E-001,-6.265555024147034E-001,1.706365048885346E-001,6.650228500366211E-001,7.750018686056137E-002,
