% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-3.735288511961699E-003,-1.064156461507082E-002,1.034589886665344E+000,-5.986217409372330E-002,9.694769978523254E-001,-5.391511321067810E-002,-8.907440118491650E-003,2.297450415790081E-002,
1.299500000000000E+008,-1.604519784450531E-002,-2.747131697833538E-002,9.212662577629089E-001,-3.645803332328796E-001,9.225203990936279E-001,-3.633934259414673E-001,-1.330582797527313E-002,-2.735686302185059E-002,
2.499000000000000E+008,-4.523012042045593E-002,-3.635539487004280E-002,7.423402667045593E-001,-6.464114189147949E-001,7.415858507156372E-001,-6.471384763717651E-001,-3.612205013632774E-002,-4.349206387996674E-002,
3.698500000000000E+008,-8.183189481496811E-002,-2.524227835237980E-002,4.828894436359406E-001,-8.521279692649841E-001,4.810110628604889E-001,-8.504682183265686E-001,-7.088205218315125E-002,-4.710128158330917E-002,
4.898000000000000E+008,-1.103293448686600E-001,7.939378730952740E-003,1.700996160507202E-001,-9.549872279167175E-001,1.683671772480011E-001,-9.545911550521851E-001,-1.050500199198723E-001,-3.308106958866119E-002,
6.097500000000000E+008,-1.219635158777237E-001,5.966616421937943E-002,-1.520008742809296E-001,-9.486817121505737E-001,-1.533005386590958E-001,-9.465179443359375E-001,-1.369326412677765E-001,-2.866504946723580E-003,
7.297000000000000E+008,-1.087233573198319E-001,1.180451735854149E-001,-4.516434967517853E-001,-8.364633917808533E-001,-4.526068270206451E-001,-8.349496126174927E-001,-1.568746566772461E-001,4.270275682210922E-002,
8.496500000000000E+008,-6.867904961109161E-002,1.715108007192612E-001,-6.953167915344238E-001,-6.341561079025269E-001,-6.924739480018616E-001,-6.327477693557739E-001,-1.589755266904831E-001,9.853719174861908E-002,
9.696000000000000E+008,-2.942472696304321E-003,2.086343318223953E-001,-8.532436490058899E-001,-3.673666417598724E-001,-8.512443900108337E-001,-3.670315444469452E-001,-1.402779221534729E-001,1.568878889083862E-001,
1.089550000000000E+009,7.999928295612335E-002,2.184503078460693E-001,-9.156274795532227E-001,-6.545934081077576E-002,-9.137423634529114E-001,-6.802392005920410E-002,-1.005889773368835E-001,2.106686979532242E-001,
1.209500000000000E+009,1.672030091285706E-001,1.930277496576309E-001,-8.759315609931946E-001,2.319741398096085E-001,-8.745175600051880E-001,2.311711311340332E-001,-4.054618999361992E-002,2.515050768852234E-001,
1.329450000000000E+009,2.450853437185288E-001,1.306616812944412E-001,-7.427047491073608E-001,4.970073103904724E-001,-7.421707510948181E-001,4.958812296390533E-001,3.178898245096207E-002,2.734272778034210E-001,
1.449400000000000E+009,2.940233945846558E-001,3.643735870718956E-002,-5.333467721939087E-001,7.006696462631226E-001,-5.338346362113953E-001,6.999920606613159E-001,1.131594255566597E-001,2.715407013893127E-001,
1.569350000000000E+009,3.042626082897186E-001,-7.430667430162430E-002,-2.759904563426971E-001,8.232706189155579E-001,-2.756372690200806E-001,8.227509856224060E-001,1.927033960819244E-001,2.456863522529602E-001,
1.689300000000000E+009,2.715419232845306E-001,-1.858489960432053E-001,4.228368401527405E-003,8.566887974739075E-001,4.149660468101502E-003,8.553692102432251E-001,2.653019726276398E-001,1.947379708290100E-001,
1.809250000000000E+009,1.965891271829605E-001,-2.819547653198242E-001,2.770713269710541E-001,7.984474897384644E-001,2.750026583671570E-001,7.968680262565613E-001,3.231064379215241E-001,1.224848031997681E-001,
1.929200000000000E+009,8.788550645112991E-002,-3.468394875526428E-001,5.108069777488709E-001,6.579288244247437E-001,5.099750757217407E-001,6.569878458976746E-001,3.590483367443085E-001,3.472570702433586E-002,
2.049150000000000E+009,-4.280111566185951E-002,-3.693444430828095E-001,6.834109425544739E-001,4.512777328491211E-001,6.841722130775452E-001,4.510020911693573E-001,3.700243830680847E-001,-6.521764397621155E-002,
2.169100000000000E+009,-1.764184683561325E-001,-3.412992656230927E-001,7.774930000305176E-001,2.085376679897308E-001,7.788041830062866E-001,2.072611898183823E-001,3.534144163131714E-001,-1.643874496221542E-001,
2.289050000000000E+009,-2.982862591743469E-001,-2.621240317821503E-001,7.914909720420837E-001,-5.091731622815132E-002,7.934061288833618E-001,-5.489561706781387E-002,3.071297109127045E-001,-2.622176706790924E-001,
2.409000000000000E+009,-3.830511569976807E-001,-1.393482089042664E-001,7.229412198066711E-001,-2.970326244831085E-001,7.225607633590698E-001,-3.013604581356049E-001,2.333171516656876E-001,-3.462257385253906E-001,
2.528950000000000E+009,-4.158148467540741E-001,5.877166986465454E-003,5.828200578689575E-001,-5.011045336723328E-001,5.812606811523438E-001,-5.040076971054077E-001,1.398150771856308E-001,-4.058236777782440E-001,
