% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-3.718404097036802E-002,-1.819531806090806E-002,1.057043813739530E+000,-2.271564916413637E-002,9.856799548418199E-001,-8.527750361886934E-002,-1.444278866983950E-003,2.850305661559105E-002,
3.399000000000000E+007,-8.705158831970700E-004,-4.471765003308982E-003,9.962544796786964E-001,-7.610503838167855E-002,9.903006569291810E-001,-7.202010617128983E-002,2.785388642223552E-005,-1.135853002779186E-003,
5.798000000000000E+007,1.616395409853755E-003,5.696480063830363E-004,9.876825756142990E-001,-1.405717901396451E-001,9.902362417261406E-001,-1.485180293093570E-001,1.190025475807488E-003,8.651854586787522E-004,
8.197000000000000E+007,2.136961806283152E-003,1.154252644517344E-003,9.820334411609937E-001,-1.882490410726262E-001,9.709258302419656E-001,-2.039914151951956E-001,3.040403826162219E-003,-8.022465626709163E-004,
1.059600000000000E+008,2.606354693629158E-003,1.782505989708185E-003,9.681449906788838E-001,-2.537056304783202E-001,9.652003405901318E-001,-2.555532760655291E-001,9.352120687253773E-004,2.290765522047877E-003,
1.299500000000000E+008,1.707936112605435E-003,2.881415665739828E-003,9.428781216837354E-001,-3.151036292977731E-001,9.525403942985538E-001,-3.179626494878950E-001,4.069460555911064E-003,2.000561216846108E-003,
1.539400000000000E+008,1.131522060461203E-003,-1.922243558113809E-004,9.247278874236522E-001,-3.649553291734015E-001,9.261270928836227E-001,-3.666293702200040E-001,3.163928631693125E-003,2.179921139031649E-003,
1.779300000000000E+008,4.073151505093172E-003,-1.517034346676379E-003,9.047099963107574E-001,-4.188216328340100E-001,9.057284200969163E-001,-4.154495034154766E-001,5.838902667164803E-003,2.296986989676952E-003,
2.019200000000000E+008,7.795687245525896E-003,-2.839696005874368E-003,8.775592933313466E-001,-4.752265334299821E-001,8.801572767579452E-001,-4.689519184637562E-001,4.774058237671852E-003,2.720752498134971E-003,
2.259100000000000E+008,1.105768345520002E-002,4.615121828827979E-003,8.490801843767394E-001,-5.218099579376411E-001,8.479445575805955E-001,-5.254983458111761E-001,5.366587080061436E-003,-7.603521953569725E-005,
