% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.894432120025158E-002,1.282344013452530E-002,9.744373559951782E-001,-5.693718418478966E-002,1.008979439735413E+000,-9.704874455928803E-002,-3.298853710293770E-002,1.949672587215900E-002,
1.299500000000000E+008,1.366277458146215E-003,-1.365906745195389E-002,9.344596862792969E-001,-3.351165950298309E-001,9.376631975173950E-001,-3.397306203842163E-001,-2.442313125357032E-004,-1.627659052610397E-002,
2.499000000000000E+008,-1.429256889969111E-002,-2.653238549828529E-002,7.907804846763611E-001,-6.053003072738648E-001,7.863424420356751E-001,-6.086899042129517E-001,-1.156925782561302E-002,-2.679469250142574E-002,
3.698500000000000E+008,-3.550904989242554E-002,-3.065980225801468E-002,5.601836442947388E-001,-8.203407526016235E-001,5.589279532432556E-001,-8.173236250877380E-001,-3.107928298413754E-002,-3.183868899941444E-002,
4.898000000000000E+008,-6.128475069999695E-002,-2.285395376384258E-002,2.789320945739746E-001,-9.537909030914307E-001,2.800498604774475E-001,-9.485553503036499E-001,-5.426068603992462E-002,-2.781963720917702E-002,
6.097500000000000E+008,-8.426532149314880E-002,6.788650061935186E-004,-3.663953393697739E-002,-9.891318678855896E-001,-2.374622039496899E-002,-9.862040877342224E-001,-7.519419491291046E-002,-1.190747413784266E-002,
7.297000000000000E+008,-9.982819110155106E-002,3.731489181518555E-002,-3.411024808883667E-001,-9.267174601554871E-001,-3.244229257106781E-001,-9.289171695709229E-001,-9.261137992143631E-002,1.682679727673531E-002,
8.496500000000000E+008,-9.603583067655563E-002,8.433874696493149E-002,-5.911027193069458E-001,-7.592305541038513E-001,-5.935342311859131E-001,-7.828713655471802E-001,-1.003038436174393E-001,5.353885889053345E-002,
9.696000000000000E+008,-6.560774147510529E-002,1.351825147867203E-001,-7.864826917648315E-001,-5.375293493270874E-001,-8.017333149909973E-001,-5.634486675262451E-001,-9.319366514682770E-002,9.324590861797333E-002,
1.089550000000000E+009,-7.424600422382355E-003,1.639455556869507E-001,-9.264582395553589E-001,-2.988316118717194E-001,-9.330385327339172E-001,-2.878183722496033E-001,-6.560132652521133E-002,1.318524330854416E-001,
1.209500000000000E+009,5.082916840910912E-002,1.614535897970200E-001,-9.740562438964844E-001,8.487910032272339E-003,-9.732181429862976E-001,1.115885749459267E-002,-2.600403316318989E-002,1.622275710105896E-001,
1.329450000000000E+009,1.054853349924088E-001,1.459565460681915E-001,-9.208345413208008E-001,3.076552152633667E-001,-9.203533530235291E-001,3.067810237407684E-001,2.473887056112289E-002,1.795114427804947E-001,
1.449400000000000E+009,1.583177596330643E-001,1.126571521162987E-001,-7.811120152473450E-001,5.722159147262573E-001,-7.798691987991333E-001,5.711315870285034E-001,8.141855895519257E-002,1.794185340404511E-001,
1.569350000000000E+009,2.014688700437546E-001,5.821842327713966E-002,-5.691539645195007E-001,7.851684093475342E-001,-5.667194128036499E-001,7.799704074859619E-001,1.391444057226181E-001,1.599331647157669E-001,
1.689300000000000E+009,2.236809730529785E-001,-1.402122713625431E-002,-2.969017624855042E-001,9.192122817039490E-001,-3.009498417377472E-001,9.121177792549133E-001,1.895349770784378E-001,1.229254230856895E-001,
1.809250000000000E+009,2.177055925130844E-001,-9.306692332029343E-002,5.699504166841507E-003,9.701609611511231E-001,-7.379600778222084E-003,9.602199196815491E-001,2.253053337335587E-001,6.911509484052658E-002,
1.929200000000000E+009,1.807525008916855E-001,-1.641732305288315E-001,2.916680276393890E-001,9.123940467834473E-001,2.827343046665192E-001,9.136044383049011E-001,2.489148527383804E-001,3.887490602210164E-003,
2.049150000000000E+009,1.237469166517258E-001,-2.187426984310150E-001,5.652231574058533E-001,7.754275202751160E-001,5.502711534500122E-001,7.807678580284119E-001,2.498290091753006E-001,-6.358627229928970E-002,
2.169100000000000E+009,5.337486416101456E-002,-2.519431114196777E-001,7.640783786773682E-001,5.702441930770874E-001,7.595443725585938E-001,5.742035508155823E-001,2.314007133245468E-001,-1.355713158845902E-001,
2.289050000000000E+009,-2.452085353434086E-002,-2.640149593353272E-001,8.965787887573242E-001,3.085636496543884E-001,8.938047289848328E-001,3.134776055812836E-001,1.933750063180924E-001,-1.992704272270203E-001,
2.409000000000000E+009,-1.078373789787293E-001,-2.542912662029266E-001,9.467015862464905E-001,2.530786767601967E-002,9.448717236518860E-001,2.623319253325462E-002,1.350652426481247E-001,-2.515017092227936E-001,
2.528950000000000E+009,-1.928648352622986E-001,-2.163421809673309E-001,9.061907529830933E-001,-2.640995085239410E-001,9.063180088996887E-001,-2.611755430698395E-001,6.349541991949081E-002,-2.865591645240784E-001,
2.648900000000000E+009,-2.667413353919983E-001,-1.437430381774902E-001,7.809767127037048E-001,-5.239095687866211E-001,7.820429801940918E-001,-5.234842896461487E-001,-1.870569214224815E-002,-2.996046245098114E-001,
2.768850000000000E+009,-3.084006011486054E-001,-4.266456142067909E-002,5.807731747627258E-001,-7.315662503242493E-001,5.831118226051331E-001,-7.346073389053345E-001,-1.035796478390694E-001,-2.888541221618652E-001,
2.888800000000000E+009,-3.076935708522797E-001,6.742902100086212E-002,3.315632343292236E-001,-8.706746101379395E-001,3.299905359745026E-001,-8.747481107711792E-001,-1.848810911178589E-001,-2.534299790859222E-001,
3.008750000000000E+009,-2.717345952987671E-001,1.681300550699234E-001,5.792291834950447E-002,-9.274602532386780E-001,4.983418434858322E-002,-9.309093952178955E-001,-2.540118098258972E-001,-1.939647942781448E-001,
3.128700000000000E+009,-2.076831310987473E-001,2.486797124147415E-001,-2.263940125703812E-001,-9.034868478775024E-001,-2.332875579595566E-001,-8.998687863349915E-001,-3.046883940696716E-001,-1.144279688596726E-001,
3.248650000000000E+009,-1.223132088780403E-001,3.088431060314179E-001,-4.892185032367706E-001,-7.910712957382202E-001,-4.939462840557098E-001,-7.856503129005432E-001,-3.321690857410431E-001,-2.098140679299831E-002,
3.368600000000000E+009,-1.981161348521709E-002,3.420533835887909E-001,-7.070024609565735E-001,-6.030902862548828E-001,-7.075169086456299E-001,-5.952526330947876E-001,-3.317171037197113E-001,7.754796743392944E-002,
3.488550000000000E+009,9.501030296087265E-002,3.382739126682282E-001,-8.490766882896423E-001,-3.564016222953796E-001,-8.513742685317993E-001,-3.537607192993164E-001,-2.994383871555328E-001,1.767345517873764E-001,
3.608500000000000E+009,2.040514051914215E-001,2.921730577945709E-001,-9.120899438858032E-001,-8.387076854705811E-002,-9.144287109375000E-001,-8.180454373359680E-002,-2.388848215341568E-001,2.620113193988800E-001,
3.728450000000000E+009,2.876182794570923E-001,2.088777273893356E-001,-8.909285068511963E-001,1.926093697547913E-001,-8.927668333053589E-001,1.982055604457855E-001,-1.537751108407974E-001,3.271129131317139E-001,
3.848400000000000E+009,3.358537256717682E-001,1.081586331129074E-001,-7.938353419303894E-001,4.518392980098724E-001,-7.942750453948975E-001,4.572376310825348E-001,-5.353754758834839E-002,3.652324378490448E-001,
3.968350000000000E+009,3.525873124599457E-001,2.923434600234032E-003,-6.160273551940918E-001,6.745418310165405E-001,-6.169362664222717E-001,6.709744930267334E-001,5.672822147607803E-002,3.709224462509155E-001,
4.088300000000000E+009,3.456835150718689E-001,-1.013113483786583E-001,-3.808640539646149E-001,8.310380578041077E-001,-3.821958005428314E-001,8.273606300354004E-001,1.644023656845093E-001,3.444164395332336E-001,
4.208250000000000E+009,3.100454211235046E-001,-2.093018293380737E-001,-1.051796227693558E-001,9.042098522186279E-001,-1.163814663887024E-001,9.023110866546631E-001,2.608328759670258E-001,2.879514396190643E-001,
4.328200000000000E+009,2.369596660137177E-001,-3.108691275119782E-001,1.694941371679306E-001,8.885842561721802E-001,1.621381938457489E-001,8.923659324645996E-001,3.345168530941010E-001,2.055203169584274E-001,
4.448150000000000E+009,1.202799975872040E-001,-3.807269036769867E-001,4.266600310802460E-001,7.940081954002380E-001,4.223107695579529E-001,8.018022179603577E-001,3.834176957607269E-001,1.049170866608620E-001,
4.568100000000000E+009,-1.545863598585129E-002,-3.991712033748627E-001,6.449059844017029E-001,6.327950358390808E-001,6.441296935081482E-001,6.353566646575928E-001,4.014563560485840E-001,-4.764090292155743E-003,
4.688050000000000E+009,-1.409978568553925E-001,-3.676589727401733E-001,8.076503872871399E-001,4.128414392471314E-001,8.064306974411011E-001,4.109836518764496E-001,3.878090381622315E-001,-1.154313832521439E-001,
4.808000000000000E+009,-2.447168976068497E-001,-3.051577508449554E-001,8.984193205833435E-001,1.465351134538651E-001,8.918544054031372E-001,1.483515352010727E-001,3.440581858158112E-001,-2.176642417907715E-001,
4.927950000000000E+009,-3.299703598022461E-001,-2.187443226575851E-001,9.011735916137695E-001,-1.351490318775177E-001,8.949875235557556E-001,-1.293354928493500E-001,2.734074294567108E-001,-3.049143552780151E-001,
5.047900000000000E+009,-3.945914804935455E-001,-1.019772663712502E-001,8.130852580070496E-001,-4.029957056045532E-001,8.139666914939880E-001,-3.939841985702515E-001,1.806286871433258E-001,-3.681614100933075E-001,
5.167850000000000E+009,-4.149304628372192E-001,4.352242499589920E-002,6.517779231071472E-001,-6.244558691978455E-001,6.571287512779236E-001,-6.203088164329529E-001,7.527104765176773E-002,-4.030764997005463E-001,
5.287800000000000E+009,-3.686473965644836E-001,1.920510083436966E-001,4.379120469093323E-001,-7.864349484443665E-001,4.384478926658630E-001,-7.870493531227112E-001,-3.622069954872131E-002,-4.070238173007965E-001,
5.407750000000000E+009,-2.663067281246185E-001,3.005197048187256E-001,1.872835457324982E-001,-8.833455443382263E-001,1.817678064107895E-001,-8.824732899665833E-001,-1.433538794517517E-001,-3.809079527854919E-001,
