% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,4.985559266060591E-003,4.457708913832903E-003,9.759134650230408E-001,-2.935243770480156E-002,1.035970091819763E+000,-1.145775914192200E-001,-3.750829026103020E-002,3.174700215458870E-002,
1.299500000000000E+008,-4.829796496778727E-003,-1.066530775278807E-002,9.288143515586853E-001,-3.378570079803467E-001,9.303936958312988E-001,-3.453957438468933E-001,-6.746341940015554E-003,-1.213799882680178E-002,
2.499000000000000E+008,-1.690005138516426E-002,-1.871840842068195E-002,7.817556262016296E-001,-6.022578477859497E-001,7.774018645286560E-001,-6.023674011230469E-001,-1.781003922224045E-002,-1.710486970841885E-002,
3.698500000000000E+008,-3.098128736019135E-002,-2.350517362356186E-002,5.546674728393555E-001,-8.083812594413757E-001,5.541163086891174E-001,-8.052388429641724E-001,-3.302942588925362E-002,-1.202137768268585E-002,
4.898000000000000E+008,-5.259853228926659E-002,-2.017532847821713E-002,2.797164916992188E-001,-9.347869157791138E-001,2.799787223339081E-001,-9.296543002128601E-001,-4.631334543228149E-002,-3.343683783896267E-004,
6.097500000000000E+008,-7.499946653842926E-002,-2.011161064729095E-003,-2.497632615268230E-002,-9.685227274894714E-001,-1.422127895057201E-002,-9.654870033264160E-001,-5.345043540000916E-002,1.981147006154060E-002,
7.297000000000000E+008,-9.163441509008408E-002,3.034338541328907E-002,-3.163628876209259E-001,-9.097421169281006E-001,-3.010737895965576E-001,-9.102280139923096E-001,-5.445542559027672E-002,4.678795859217644E-002,
8.496500000000000E+008,-8.757825195789337E-002,7.412427663803101E-002,-5.574876666069031E-001,-7.526699900627136E-001,-5.589495301246643E-001,-7.739977240562439E-001,-4.563957825303078E-002,7.497220486402512E-002,
9.696000000000000E+008,-5.706086009740830E-002,1.173687949776650E-001,-7.498577237129211E-001,-5.451144576072693E-001,-7.598562240600586E-001,-5.698496699333191E-001,-2.415182068943977E-002,9.871532022953033E-002,
1.089550000000000E+009,-6.323073990643024E-003,1.349387466907501E-001,-8.852514624595642E-001,-3.221109211444855E-001,-8.914545774459839E-001,-3.137861788272858E-001,1.148906070739031E-002,1.165240183472633E-001,
