% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-2.694154344499111E-002,2.539291977882385E-002,1.020908832550049E+000,-5.136497691273689E-002,1.049119710922241E+000,-1.221727430820465E-001,-5.241401493549347E-002,1.814762689173222E-002,
1.299500000000000E+008,-9.249209426343441E-003,-2.327425219118595E-002,9.179013967514038E-001,-3.576350212097168E-001,9.177637696266174E-001,-3.632122278213501E-001,-6.936194375157356E-003,-2.801034413278103E-002,
2.499000000000000E+008,-3.753296285867691E-002,-3.303751349449158E-002,7.458912134170532E-001,-6.408247351646423E-001,7.456997036933899E-001,-6.427767872810364E-001,-2.841535769402981E-002,-4.139069840312004E-002,
3.698500000000000E+008,-6.867067515850067E-002,-2.586289495229721E-002,4.886105358600617E-001,-8.472418785095215E-001,4.848752319812775E-001,-8.467127084732056E-001,-5.745132640004158E-002,-4.546595364809036E-002,
4.898000000000000E+008,-9.832146018743515E-002,9.507809299975634E-004,1.782986670732498E-001,-9.542448520660400E-001,1.796935945749283E-001,-9.505979418754578E-001,-8.884436637163162E-002,-3.832153230905533E-002,
6.097500000000000E+008,-1.146185547113419E-001,4.803818091750145E-002,-1.534085571765900E-001,-9.474709630012512E-001,-1.396207213401794E-001,-9.504300355911255E-001,-1.184756830334663E-001,-1.475186459720135E-002,
7.297000000000000E+008,-1.104331910610199E-001,1.045951172709465E-001,-4.495084285736084E-001,-8.336403965950012E-001,-4.376391470432282E-001,-8.441720604896545E-001,-1.412100791931152E-001,2.387207560241222E-002,
8.496500000000000E+008,-7.627900689840317E-002,1.639389693737030E-001,-6.685447692871094E-001,-6.269404888153076E-001,-6.836561560630798E-001,-6.484497785568237E-001,-1.498874276876450E-001,7.377156615257263E-002,
9.696000000000000E+008,-4.498425871133804E-003,2.121227979660034E-001,-8.226856589317322E-001,-3.791969716548920E-001,-8.486430644989014E-001,-3.889240920543671E-001,-1.413184404373169E-001,1.278844922780991E-001,
1.089550000000000E+009,9.651323407888413E-002,2.125483006238937E-001,-9.184774756431580E-001,-1.040225923061371E-001,-9.173274636268616E-001,-8.917235583066940E-002,-1.104858368635178E-001,1.767138540744782E-001,
1.209500000000000E+009,1.752350777387619E-001,1.648758053779602E-001,-8.888841271400452E-001,2.080681622028351E-001,-8.856229186058044E-001,2.094632834196091E-001,-6.410413980484009E-002,2.190097719430924E-001,
1.329450000000000E+009,2.361107617616653E-001,9.780181944370270E-002,-7.630330920219421E-001,4.779769778251648E-001,-7.619166374206543E-001,4.778827130794525E-001,-3.061255672946572E-003,2.481183558702469E-001,
1.449400000000000E+009,2.752436399459839E-001,3.382856957614422E-003,-5.612085461616516E-001,6.923546195030212E-001,-5.602005124092102E-001,6.892931461334229E-001,6.627699732780457E-002,2.584940791130066E-001,
1.569350000000000E+009,2.731847763061523E-001,-1.085213869810104E-001,-3.019424080848694E-001,8.297011852264404E-001,-3.055209517478943E-001,8.230496644973755E-001,1.399161517620087E-001,2.470312118530273E-001,
1.689300000000000E+009,2.218693047761917E-001,-2.157099694013596E-001,-1.400581281632185E-002,8.664698600769043E-001,-2.525971271097660E-002,8.656586408615112E-001,2.108555138111115E-001,2.156601101160049E-001,
