% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.562569476664066E-002,-1.202248153276742E-003,9.880502223968506E-001,-6.179128587245941E-002,9.644477963447571E-001,-3.319570422172546E-002,1.728306291624904E-003,-1.201221253722906E-002,
1.299500000000000E+008,-1.672339439392090E-002,-5.354490503668785E-002,9.027524590492249E-001,-4.012856483459473E-001,9.016162753105164E-001,-4.051268398761749E-001,-2.085611596703529E-002,-5.285508558154106E-002,
2.499000000000000E+008,-6.959865242242813E-002,-8.643964678049088E-002,6.868416666984558E-001,-6.969954371452332E-001,6.830976009368897E-001,-6.956567764282227E-001,-7.913293689489365E-002,-7.866710424423218E-002,
3.698500000000000E+008,-1.398216933012009E-001,-8.708771318197250E-002,3.726877570152283E-001,-8.871631622314453E-001,3.727026879787445E-001,-8.825981616973877E-001,-1.517782360315323E-001,-5.683452263474464E-002,
4.898000000000000E+008,-2.126009315252304E-001,-4.834294691681862E-002,2.031742781400681E-002,-9.451272487640381E-001,2.638856321573257E-002,-9.413033127784729E-001,-2.131643891334534E-001,9.447087533771992E-003,
6.097500000000000E+008,-2.661725580692291E-001,3.138698637485504E-002,-3.237659633159638E-001,-8.595341444015503E-001,-3.065358102321625E-001,-8.684543967247009E-001,-2.354554086923599E-001,1.104722023010254E-001,
7.297000000000000E+008,-2.865720987319946E-001,1.361457556486130E-001,-5.931555032730103E-001,-6.596635580062866E-001,-5.806746482849121E-001,-6.834186315536499E-001,-2.053429931402206E-001,2.274722158908844E-001,
8.496500000000000E+008,-2.611393332481384E-001,2.497512549161911E-001,-7.419092655181885E-001,-3.921100497245789E-001,-7.651615738868713E-001,-4.210772812366486E-001,-1.173324808478355E-001,3.300628960132599E-001,
9.696000000000000E+008,-1.843129098415375E-001,3.620759844779968E-001,-7.993496656417847E-001,-1.223313659429550E-001,-8.384318351745606E-001,-1.236046105623245E-001,1.619958877563477E-002,3.902311325073242E-001,
1.089550000000000E+009,-4.113665968179703E-002,4.389337003231049E-001,-8.019990921020508E-001,1.496336162090302E-001,-8.031156063079834E-001,1.731341630220413E-001,1.736908257007599E-001,3.846429586410523E-001,
1.209500000000000E+009,1.055150926113129E-001,4.365614652633667E-001,-6.753527522087097E-001,4.238107800483704E-001,-6.717228889465332E-001,4.254279136657715E-001,3.251478672027588E-001,3.156455159187317E-001,
1.329450000000000E+009,2.409357130527496E-001,4.013215601444244E-001,-4.696137011051178E-001,6.096279621124268E-001,-4.697804450988770E-001,6.092053651809692E-001,4.433081150054932E-001,1.870296597480774E-001,
1.449400000000000E+009,3.729466795921326E-001,3.249947726726532E-001,-2.276694476604462E-001,7.097466588020325E-001,-2.266265898942947E-001,7.088906764984131E-001,5.051510930061340E-001,1.728786900639534E-002,
1.569350000000000E+009,4.817253053188324E-001,2.002275884151459E-001,2.733713015913963E-002,7.304611206054688E-001,2.416126430034638E-002,7.203526496887207E-001,4.967758059501648E-001,-1.712704151868820E-001,
1.689300000000000E+009,5.384457111358643E-001,3.866651654243469E-002,2.659236490726471E-001,6.551289558410645E-001,2.565898597240448E-001,6.471222043037415E-001,4.188460111618042E-001,-3.462526798248291E-001,
1.809250000000000E+009,5.364921092987061E-001,-1.311958730220795E-001,4.678469598293304E-001,5.032293796539307E-001,4.471550881862640E-001,5.084254145622253E-001,2.774800360202789E-001,-4.810674488544464E-001,
1.929200000000000E+009,4.828188717365265E-001,-2.833713293075562E-001,5.836377739906311E-001,3.129938244819641E-001,5.680139064788818E-001,3.207465112209320E-001,9.247519075870514E-002,-5.618193149566650E-001,
2.049150000000000E+009,3.903144001960754E-001,-4.101215004920960E-001,6.288633942604065E-001,9.001964330673218E-002,6.240331530570984E-001,1.068423241376877E-001,-1.080944985151291E-001,-5.681126713752747E-001,
2.169100000000000E+009,2.687578201293945E-001,-5.066571235656738E-001,6.029973030090332E-001,-1.114127933979034E-001,6.040110588073731E-001,-1.002914458513260E-001,-3.039882779121399E-001,-5.020143389701843E-001,
2.289050000000000E+009,1.244762390851975E-001,-5.682726502418518E-001,5.151414275169373E-001,-2.889259457588196E-001,5.191391110420227E-001,-2.838966548442841E-001,-4.641638696193695E-001,-3.708187043666840E-001,
2.409000000000000E+009,-3.825065121054649E-002,-5.898385643959045E-001,3.837840259075165E-001,-4.257062673568726E-001,3.860523700714111E-001,-4.250778555870056E-001,-5.685398578643799E-001,-1.886263191699982E-001,
2.528950000000000E+009,-2.070841193199158E-001,-5.620869994163513E-001,2.201144844293594E-001,-5.106588602066040E-001,2.198871076107025E-001,-5.111587047576904E-001,-6.035792231559753E-001,1.822439022362232E-002,
2.648900000000000E+009,-3.656868040561676E-001,-4.808658063411713E-001,4.108215868473053E-002,-5.381236076354981E-001,4.039265587925911E-002,-5.386909842491150E-001,-5.642005801200867E-001,2.263831198215485E-001,
2.768850000000000E+009,-4.921408295631409E-001,-3.516735434532166E-001,-1.319933235645294E-001,-5.050257444381714E-001,-1.319568455219269E-001,-5.064790248870850E-001,-4.550419449806213E-001,4.083578288555145E-001,
2.888800000000000E+009,-5.714876651763916E-001,-1.937089711427689E-001,-2.785886228084564E-001,-4.198740720748901E-001,-2.807914912700653E-001,-4.230834841728210E-001,-2.908918559551239E-001,5.422001481056213E-001,
3.008750000000000E+009,-6.018276810646057E-001,-2.264697477221489E-002,-3.832514286041260E-001,-2.990311682224274E-001,-3.890402615070343E-001,-3.018113970756531E-001,-9.047560393810272E-002,6.115627884864807E-001,
3.128700000000000E+009,-5.840542316436768E-001,1.466331928968430E-001,-4.443464875221252E-001,-1.566881090402603E-001,-4.511754512786865E-001,-1.562254577875137E-001,1.212147474288940E-001,6.095368862152100E-001,
3.248650000000000E+009,-5.191231966018677E-001,3.018728494644165E-001,-4.568053185939789E-001,-1.053023338317871E-002,-4.637525081634522E-001,-4.808293655514717E-003,3.190562129020691E-001,5.364593863487244E-001,
3.368600000000000E+009,-4.145734906196594E-001,4.308664500713348E-001,-4.265637397766113E-001,1.308913826942444E-001,-4.268563687801361E-001,1.383639574050903E-001,4.795857965946198E-001,4.021253585815430E-001,
3.488550000000000E+009,-2.817855179309845E-001,5.221822857856751E-001,-3.538109064102173E-001,2.532492578029633E-001,-3.518212437629700E-001,2.585134804248810E-001,5.871717929840088E-001,2.221548259258270E-001,
3.608500000000000E+009,-1.313285976648331E-001,5.747186541557312E-001,-2.482957243919373E-001,3.463282585144043E-001,-2.460515052080154E-001,3.450954854488373E-001,6.288479566574097E-001,1.834416389465332E-002,
