% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-8.435691148042679E-002,1.642056368291378E-002,9.320225715637207E-001,-6.852461397647858E-002,9.477705359458923E-001,-9.280553460121155E-002,-1.256477832794190E-001,1.226780191063881E-002,
1.299500000000000E+008,-1.094107106328011E-001,-7.120252121239901E-003,8.252084255218506E-001,-3.447622656822205E-001,8.251268863677979E-001,-3.455207943916321E-001,-1.076393947005272E-001,-2.997309155762196E-002,
2.499000000000000E+008,-1.441833525896072E-001,2.384650520980358E-002,6.520851850509644E-001,-5.819615125656128E-001,6.491322517395020E-001,-5.850211381912231E-001,-1.460029780864716E-001,-2.863153442740440E-002,
3.698500000000000E+008,-1.601462364196777E-001,8.474892377853394E-002,4.148637950420380E-001,-7.466329932212830E-001,4.156175255775452E-001,-7.452371716499329E-001,-1.827799975872040E-001,-4.894711542874575E-003,
4.898000000000000E+008,-1.428481787443161E-001,1.571725755929947E-001,1.469324231147766E-001,-8.191729187965393E-001,1.514248400926590E-001,-8.177106976509094E-001,-2.099988907575607E-001,3.681215271353722E-002,
6.097500000000000E+008,-8.927922695875168E-002,2.248618900775909E-001,-1.190887838602066E-001,-7.983248829841614E-001,-1.114046126604080E-001,-8.069548010826111E-001,-2.233684957027435E-001,9.219412505626679E-002,
7.297000000000000E+008,-8.553642779588699E-003,2.710661292076111E-001,-3.474688827991486E-001,-7.032885551452637E-001,-3.492781817913055E-001,-7.161819934844971E-001,-2.181983292102814E-001,1.567478775978088E-001,
8.496500000000000E+008,9.626878052949905E-002,2.873413562774658E-001,-5.196120142936707E-001,-5.520541071891785E-001,-5.445146560668945E-001,-5.612125992774963E-001,-1.911724656820297E-001,2.212284952402115E-001,
9.696000000000000E+008,2.293074727058411E-001,2.566648125648499E-001,-6.612851619720459E-001,-3.733919858932495E-001,-6.779187321662903E-001,-3.620208799839020E-001,-1.443671435117722E-001,2.782213091850281E-001,
1.089550000000000E+009,3.361637890338898E-001,1.294738650321960E-001,-7.516194581985474E-001,-1.453784853219986E-001,-7.396479249000549E-001,-1.334799230098724E-001,-8.097979426383972E-002,3.198336660861969E-001,
1.209500000000000E+009,3.527390360832214E-001,-1.021244376897812E-002,-7.358704209327698E-001,9.659534692764282E-002,-7.335441112518311E-001,9.537738561630249E-002,-5.318191833794117E-003,3.468391001224518E-001,
1.329450000000000E+009,3.312463164329529E-001,-1.431399583816528E-001,-6.610732674598694E-001,3.087619543075562E-001,-6.603953838348389E-001,3.081917166709900E-001,7.743892073631287E-002,3.530167937278748E-001,
1.449400000000000E+009,2.568633556365967E-001,-2.706685662269592E-001,-5.269109010696411E-001,4.897034168243408E-001,-5.280036926269531E-001,4.856813251972199E-001,1.603114604949951E-001,3.383976519107819E-001,
1.569350000000000E+009,1.287210881710053E-001,-3.584800958633423E-001,-3.450989723205566E-001,6.179469823837280E-001,-3.518281579017639E-001,6.152321100234985E-001,2.386463582515717E-001,3.026021122932434E-001,
1.689300000000000E+009,-2.495857514441013E-002,-3.847663700580597E-001,-1.380219906568527E-001,6.763516664505005E-001,-1.495617330074310E-001,6.831044554710388E-001,3.074709773063660E-001,2.490321993827820E-001,
1.809250000000000E+009,-1.746416091918945E-001,-3.494597971439362E-001,7.214307785034180E-002,6.775638461112976E-001,6.378649920225143E-002,6.859950423240662E-001,3.618191778659821E-001,1.812487244606018E-001,
1.929200000000000E+009,-2.979511022567749E-001,-2.601471841335297E-001,2.578530609607697E-001,6.159933805465698E-001,2.643212974071503E-001,6.297829747200012E-001,4.003094136714935E-001,1.000426933169365E-001,
2.049150000000000E+009,-3.809936940670013E-001,-1.303443759679794E-001,4.314284324645996E-001,5.062038898468018E-001,4.341720938682556E-001,5.121425390243530E-001,4.216591715812683E-001,1.283730473369360E-002,
2.169100000000000E+009,-4.073596298694611E-001,2.115252800285816E-002,5.549042224884033E-001,3.552154600620270E-001,5.609516501426697E-001,3.545635640621185E-001,4.220899939537048E-001,-7.850098609924316E-002,
2.289050000000000E+009,-3.743642568588257E-001,1.729496568441391E-001,6.303299665451050E-001,1.695512980222702E-001,6.318556070327759E-001,1.692261695861816E-001,4.029583930969238E-001,-1.696048527956009E-001,
2.409000000000000E+009,-2.882473468780518E-001,3.024019002914429E-001,6.461607813835144E-001,-2.577110379934311E-002,6.454997062683106E-001,-2.628304623067379E-002,3.639040887355804E-001,-2.558907866477966E-001,
2.528950000000000E+009,-1.602969020605087E-001,3.925146162509918E-001,6.016170978546143E-001,-2.156360447406769E-001,6.030668020248413E-001,-2.133080810308456E-001,3.065399825572968E-001,-3.332422375679016E-001,
2.648900000000000E+009,-6.563096772879362E-003,4.318528771400452E-001,5.061354637145996E-001,-3.784595727920532E-001,5.072626471519470E-001,-3.780226111412048E-001,2.308345884084702E-001,-3.971293866634369E-001,
2.768850000000000E+009,1.561762243509293E-001,4.138424098491669E-001,3.700138926506043E-001,-5.063917636871338E-001,3.695577979087830E-001,-5.071044564247131E-001,1.416257321834564E-001,-4.429781138896942E-001,
2.888800000000000E+009,3.055984675884247E-001,3.345608413219452E-001,2.046188563108444E-001,-5.943515300750732E-001,2.023566961288452E-001,-5.879406929016113E-001,4.370741173624992E-002,-4.678932726383209E-001,
3.008750000000000E+009,4.160302281379700E-001,2.001573592424393E-001,1.920613646507263E-002,-6.267369389533997E-001,1.807059720158577E-002,-6.185418963432312E-001,-6.108497828245163E-002,-4.705410897731781E-001,
3.128700000000000E+009,4.643888473510742E-001,3.178921714425087E-002,-1.729804873466492E-001,-6.045922636985779E-001,-1.637401878833771E-001,-5.935480594635010E-001,-1.634197831153870E-001,-4.505606889724731E-001,
3.248650000000000E+009,4.431133866310120E-001,-1.418831497430801E-001,-3.422334492206574E-001,-5.216892361640930E-001,-3.317336738109589E-001,-5.154350399971008E-001,-2.599220275878906E-001,-4.044837653636932E-001,
3.368600000000000E+009,3.595948815345764E-001,-2.919869124889374E-001,-4.809288084506989E-001,-3.899203538894653E-001,-4.704264402389526E-001,-3.912274539470673E-001,-3.453222811222076E-001,-3.380614519119263E-001,
3.488550000000000E+009,2.280783951282501E-001,-4.007636606693268E-001,-5.669998526573181E-001,-2.281537353992462E-001,-5.623672008514404E-001,-2.320345044136047E-001,-4.102925658226013E-001,-2.536201179027557E-001,
3.608500000000000E+009,6.373342126607895E-002,-4.573141336441040E-001,-6.037896871566773E-001,-5.040224641561508E-002,-6.033380627632141E-001,-5.321905761957169E-002,-4.559724628925324E-001,-1.570707261562347E-001,
3.728450000000000E+009,-1.148409992456436E-001,-4.494035840034485E-001,-5.883701443672180E-001,1.283098608255386E-001,-5.889235734939575E-001,1.295040696859360E-001,-4.794620871543884E-001,-5.350684747099876E-002,
3.848400000000000E+009,-2.818291783332825E-001,-3.692058324813843E-001,-5.219795703887940E-001,2.954279780387878E-001,-5.219858288764954E-001,2.980838716030121E-001,-4.795611500740051E-001,5.218924954533577E-002,
3.968350000000000E+009,-4.043339788913727E-001,-2.267372608184815E-001,-4.084108173847199E-001,4.374853968620300E-001,-4.069865345954895E-001,4.382271468639374E-001,-4.571723341941834E-001,1.551762670278549E-001,
4.088300000000000E+009,-4.570863842964172E-001,-4.929333180189133E-002,-2.584383487701416E-001,5.362755656242371E-001,-2.552026510238648E-001,5.374550819396973E-001,-4.131371378898621E-001,2.518128156661987E-001,
4.208250000000000E+009,-4.357815086841583E-001,1.284004300832748E-001,-8.350773155689240E-002,5.876954197883606E-001,-8.227040618658066E-002,5.871765613555908E-001,-3.498339951038361E-001,3.375654518604279E-001,
4.328200000000000E+009,-3.554051220417023E-001,2.774580121040344E-001,9.241865575313568E-002,5.803070664405823E-001,9.452879428863525E-002,5.809667706489563E-001,-2.690950334072113E-001,4.078817963600159E-001,
4.448150000000000E+009,-2.330678254365921E-001,3.864001035690308E-001,2.599363923072815E-001,5.224617123603821E-001,2.627513408660889E-001,5.237355828285217E-001,-1.742239892482758E-001,4.598967730998993E-001,
4.568100000000000E+009,-8.348176628351212E-002,4.483571648597717E-001,3.977928459644318E-001,4.196574389934540E-001,4.038226902484894E-001,4.222833812236786E-001,-6.943602859973908E-002,4.908062219619751E-001,
4.688050000000000E+009,8.281507343053818E-002,4.538353681564331E-001,5.016238689422607E-001,2.836128473281860E-001,5.092442631721497E-001,2.818295955657959E-001,4.056832566857338E-002,4.982057511806488E-001,
4.808000000000000E+009,2.431646436452866E-001,3.966603875160217E-001,5.634970664978027E-001,1.234127134084702E-001,5.695742368698120E-001,1.172126755118370E-001,1.508355289697647E-001,4.799404442310333E-001,
4.927950000000000E+009,3.694477379322052E-001,2.805377840995789E-001,5.761663317680359E-001,-4.933875054121018E-002,5.760566592216492E-001,-5.697621405124664E-002,2.556358575820923E-001,4.378292858600617E-001,
5.047900000000000E+009,4.424581229686737E-001,1.263781189918518E-001,5.350522398948669E-001,-2.233193665742874E-001,5.314763784408569E-001,-2.250058054924011E-001,3.476665616035461E-001,3.724772334098816E-001,
5.167850000000000E+009,4.542736411094666E-001,-4.040769487619400E-002,4.410370886325836E-001,-3.753023147583008E-001,4.405918121337891E-001,-3.728208839893341E-001,4.232795238494873E-001,2.875037789344788E-001,
5.287800000000000E+009,4.085700213909149E-001,-2.002598047256470E-001,3.028626441955566E-001,-4.882400333881378E-001,3.077987134456635E-001,-4.846357107162476E-001,4.774169325828552E-001,1.887842863798142E-001,
5.407750000000000E+009,3.074034452438355E-001,-3.368921875953674E-001,1.412898302078247E-001,-5.520726442337036E-001,1.465896368026733E-001,-5.530918836593628E-001,5.083568692207336E-001,8.047684282064438E-002,
5.527700000000000E+009,1.581498235464096E-001,-4.303554892539978E-001,-2.832696214318276E-002,-5.648319721221924E-001,-2.422489039599896E-002,-5.714426636695862E-001,5.154367089271545E-001,-3.007964231073856E-002,
