% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,5.829456727951765E-003,2.349271997809410E-002,9.985256195068359E-001,-3.426048532128334E-002,9.697841405868530E-001,-1.049440950155258E-001,-8.647656068205833E-003,2.169853448867798E-002,
1.299500000000000E+008,5.214621312916279E-003,6.852800957858563E-003,9.408901929855347E-001,-3.199829161167145E-001,9.419341683387756E-001,-3.221841752529144E-001,6.229923572391272E-003,2.641349798068404E-003,
2.499000000000000E+008,9.461071342229843E-003,4.560930188745260E-003,8.105064034461975E-001,-5.845954418182373E-001,8.086922764778137E-001,-5.851415395736694E-001,7.540090940892696E-003,6.764692720025778E-003,
3.698500000000000E+008,1.655413955450058E-002,-3.270620480179787E-003,5.984187126159668E-001,-7.973260283470154E-001,5.952305197715759E-001,-7.930278778076172E-001,9.917126968502998E-003,8.266764692962170E-003,
4.898000000000000E+008,1.595178060233593E-002,-1.539788674563170E-002,3.348376452922821E-001,-9.368522167205811E-001,3.340020775794983E-001,-9.344141483306885E-001,1.011020783334971E-002,8.968479931354523E-003,
6.097500000000000E+008,4.297199193388224E-003,-2.583233453333378E-002,3.447122871875763E-002,-9.952973127365112E-001,4.226602613925934E-002,-9.888392686843872E-001,1.084709819406271E-002,1.276484970003367E-002,
7.297000000000000E+008,-1.824573241174221E-002,-2.882965654134750E-002,-2.661840617656708E-001,-9.605109691619873E-001,-2.529077827930450E-001,-9.527984857559204E-001,9.868859313428402E-003,1.957423612475395E-002,
8.496500000000000E+008,-4.317671060562134E-002,-8.869644254446030E-003,-5.295765995979309E-001,-8.156889677047730E-001,-5.242804884910584E-001,-8.299273252487183E-001,8.708339184522629E-003,2.847446314990521E-002,
9.696000000000000E+008,-4.910197854042053E-002,3.519814833998680E-002,-7.426815032958984E-001,-6.009050011634827E-001,-7.424217462539673E-001,-6.285063028335571E-001,1.383202522993088E-002,3.956557437777519E-002,
1.089550000000000E+009,-5.193105433136225E-003,8.364248275756836E-002,-8.742313981056213E-001,-3.708383440971375E-001,-8.797608613967896E-001,-3.651767373085022E-001,3.075565025210381E-002,5.788530036807060E-002,
1.209500000000000E+009,9.321984648704529E-002,6.689685583114624E-002,-9.039696455001831E-001,-8.974598348140717E-002,-9.041208624839783E-001,-8.804386854171753E-002,6.805609911680222E-002,6.959719210863113E-002,
1.329450000000000E+009,1.081132739782333E-001,-7.618165761232376E-002,-8.646838068962097E-001,1.162291318178177E-001,-8.644260168075562E-001,1.156906560063362E-001,1.134758964180946E-001,3.295051679015160E-002,
1.449400000000000E+009,-3.208645805716515E-002,-1.011861264705658E-001,-8.480702638626099E-001,3.309324085712433E-001,-8.493565917015076E-001,3.311094343662262E-001,1.000949367880821E-001,-1.716429926455021E-002,
1.569350000000000E+009,-7.609156519174576E-002,-1.325674261897802E-002,-7.441535592079163E-001,5.859744548797607E-001,-7.450143098831177E-001,5.874064564704895E-001,7.466249912977219E-002,-3.035383485257626E-002,
1.689300000000000E+009,-4.092651978135109E-002,4.245472326874733E-002,-5.441030263900757E-001,7.995438575744629E-001,-5.430688858032227E-001,8.020982742309570E-001,5.787450447678566E-002,-3.086476400494576E-002,
1.809250000000000E+009,4.378403536975384E-003,5.029411613941193E-002,-2.822629809379578E-001,9.411215186119080E-001,-2.803673744201660E-001,9.365131855010986E-001,4.803508892655373E-002,-3.141188994050026E-002,
1.929200000000000E+009,3.339999914169312E-002,2.977642789483070E-002,9.629966691136360E-003,9.833809137344360E-001,1.098528783768416E-002,9.813978672027588E-001,4.041168838739395E-002,-3.011639229953289E-002,
2.049150000000000E+009,3.858672827482224E-002,1.882253913208842E-003,3.125160634517670E-001,9.411635398864746E-001,3.051437139511108E-001,9.368566870689392E-001,3.153734281659126E-002,-2.641556039452553E-002,
2.169100000000000E+009,2.934251166880131E-002,-1.770465448498726E-002,5.704913139343262E-001,8.077461719512940E-001,5.687010288238525E-001,8.059069514274597E-001,2.669829502701759E-002,-2.310521155595779E-002,
2.289050000000000E+009,1.258704531937838E-002,-2.819507755339146E-002,7.826563715934753E-001,6.027118563652039E-001,7.802740335464478E-001,6.034973859786987E-001,2.473879605531693E-002,-1.769927516579628E-002,
2.409000000000000E+009,-4.978632554411888E-003,-2.480430528521538E-002,9.247913360595703E-001,3.483152985572815E-001,9.247394204139710E-001,3.467893302440643E-001,2.201710455119610E-002,-1.199261005967856E-002,
2.528950000000000E+009,-1.734253950417042E-002,-1.552253123372793E-002,9.875922203063965E-001,6.060729175806046E-002,9.870654344558716E-001,6.153875589370728E-002,2.275456860661507E-002,-6.629466544836760E-003,
2.648900000000000E+009,-2.417674474418163E-002,6.562998169101775E-004,9.628258943557739E-001,-2.296969741582871E-001,9.620451927185059E-001,-2.298155575990677E-001,2.507333457469940E-002,-2.861926797777414E-003,
2.768850000000000E+009,-1.859802752733231E-002,1.981173083186150E-002,8.517886996269226E-001,-5.033004879951477E-001,8.523466587066650E-001,-5.030686259269714E-001,2.900323085486889E-002,-9.444377501495183E-004,
2.888800000000000E+009,-3.514437703415752E-004,3.233310952782631E-002,6.653721332550049E-001,-7.342783808708191E-001,6.682174205780029E-001,-7.321598529815674E-001,3.292498737573624E-002,-1.790013397112489E-003,
3.008750000000000E+009,2.287667989730835E-002,2.892574109137058E-002,4.236126840114594E-001,-8.939297199249268E-001,4.235918223857880E-001,-8.945330977439880E-001,3.383421525359154E-002,-3.787421621382237E-003,
3.128700000000000E+009,3.757236152887344E-002,9.690857492387295E-003,1.415797024965286E-001,-9.793260097503662E-001,1.441497355699539E-001,-9.790077805519104E-001,3.390029817819595E-002,-7.401023525744677E-003,
3.248650000000000E+009,3.463976457715035E-002,-1.373131386935711E-002,-1.481951475143433E-001,-9.791585803031921E-001,-1.487596482038498E-001,-9.785633087158203E-001,3.216957300901413E-002,-8.801501244306564E-003,
3.368600000000000E+009,1.886645704507828E-002,-2.704878151416779E-002,-4.273850321769714E-001,-8.952628970146179E-001,-4.293245375156403E-001,-8.931306600570679E-001,2.972460538148880E-002,-1.087303832173348E-002,
3.488550000000000E+009,1.443441840820015E-003,-2.544100396335125E-002,-6.705570816993713E-001,-7.296469807624817E-001,-6.708967089653015E-001,-7.294363379478455E-001,2.638673037290573E-002,-1.018881052732468E-002,
3.608500000000000E+009,-6.936133839190006E-003,-1.689014583826065E-002,-8.546840548515320E-001,-5.039428472518921E-001,-8.535161614418030E-001,-5.011851787567139E-001,2.401682734489441E-002,-9.539426304399967E-003,
3.728450000000000E+009,-9.103609248995781E-003,-1.108020357787609E-002,-9.637752175331116E-001,-2.318917214870453E-001,-9.642502665519714E-001,-2.301878482103348E-001,2.213996835052967E-002,-7.682418916374445E-003,
3.848400000000000E+009,-1.253609079867601E-002,-7.439430803060532E-003,-9.914293289184570E-001,5.910435318946838E-002,-9.920995831489563E-001,5.848254263401032E-002,2.186034992337227E-002,-5.691586993634701E-003,
3.968350000000000E+009,-1.740672998130322E-002,1.658450579270721E-003,-9.307001233100891E-001,3.488236963748932E-001,-9.308330416679382E-001,3.457439541816711E-001,2.336065843701363E-002,-4.741069860756397E-003,
4.088300000000000E+009,-1.378690358251333E-002,1.779673621058464E-002,-7.881952524185181E-001,6.064091920852661E-001,-7.894672751426697E-001,6.076800227165222E-001,2.463065087795258E-002,-4.820156842470169E-003,
4.208250000000000E+009,5.245665553957224E-003,2.840077318251133E-002,-5.775250196456909E-001,8.144302964210510E-001,-5.796667933464050E-001,8.126680254936218E-001,2.594285272061825E-002,-4.682966973632574E-003,
4.328200000000000E+009,2.842339687049389E-002,1.832836493849754E-002,-3.151906132698059E-001,9.430363178253174E-001,-3.142704069614410E-001,9.440541863441467E-001,2.699993364512920E-002,-7.389249280095100E-003,
4.448150000000000E+009,3.369765728712082E-002,-7.391424383968115E-003,-2.248831838369370E-002,9.985473155975342E-001,-2.282255701720715E-002,9.968664646148682E-001,2.699716202914715E-002,-9.709171950817108E-003,
4.568100000000000E+009,1.533623971045017E-002,-2.362848818302155E-002,2.666600942611694E-001,9.604993462562561E-001,2.683509588241577E-001,9.617408514022827E-001,2.464313805103302E-002,-1.273884903639555E-002,
4.688050000000000E+009,-4.448757506906986E-003,-1.772194728255272E-002,5.384058952331543E-001,8.421940803527832E-001,5.392883419990540E-001,8.401694893836975E-001,2.180967293679714E-002,-1.512479875236750E-002,
4.808000000000000E+009,-5.100794602185488E-003,-6.176693714223802E-004,7.619653344154358E-001,6.473702788352966E-001,7.626957893371582E-001,6.453827023506165E-001,1.818654872477055E-002,-1.653021946549416E-002,
4.927950000000000E+009,9.954192675650120E-003,2.738206880167127E-003,9.190376996994019E-001,3.942691683769226E-001,9.191338419914246E-001,3.943126797676086E-001,1.502469275146723E-002,-1.671550422906876E-002,
5.047900000000000E+009,1.599838398396969E-002,-1.221484877169132E-002,9.950121045112610E-001,1.063961386680603E-001,9.951419830322266E-001,1.071453392505646E-001,1.194488722831011E-002,-1.618730835616589E-002,
5.167850000000000E+009,1.517977681942284E-003,-2.437029965221882E-002,9.817966818809509E-001,-1.891056001186371E-001,9.818158745765686E-001,-1.897045820951462E-001,1.007727254182100E-002,-1.583203673362732E-002,
5.287800000000000E+009,-1.649829372763634E-002,-1.473606284707785E-002,8.831984996795654E-001,-4.687793552875519E-001,8.794860839843750E-001,-4.678920507431030E-001,8.573735132813454E-003,-1.467256620526314E-002,
5.407750000000000E+009,-1.315241027623415E-002,4.175183363258839E-003,7.062516808509827E-001,-7.055686116218567E-001,7.034745812416077E-001,-7.039781808853149E-001,7.186988368630409E-003,-1.518448628485203E-002,
5.527700000000000E+009,6.560761481523514E-003,7.165602408349514E-003,4.703659415245056E-001,-8.815734982490540E-001,4.725513160228729E-001,-8.795470595359802E-001,6.255108863115311E-003,-1.478619221597910E-002,
5.647650000000000E+009,1.259113196283579E-002,-1.028988603502512E-002,1.926498264074326E-001,-9.763150215148926E-001,1.931187510490418E-001,-9.776881933212280E-001,4.309291485697031E-003,-1.477899309247732E-002,
5.767600000000000E+009,-5.251979921013117E-003,-2.285822108387947E-002,-1.017793491482735E-001,-9.926104545593262E-001,-1.090641915798187E-001,-9.941365122795105E-001,2.109496388584375E-003,-1.579672470688820E-002,
5.887550000000000E+009,-2.501498349010944E-002,-1.077287364751101E-002,-3.864583671092987E-001,-9.148050546646118E-001,-3.930527269840241E-001,-9.179553389549255E-001,-1.166495421784930E-004,-1.344580482691526E-002,
