% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,1.774253323674202E-002,-1.083133835345507E-002,9.639893174171448E-001,-7.715962827205658E-003,9.484145641326904E-001,2.023070305585861E-002,1.243536733090878E-002,-7.260014303028584E-003,
3.399000000000000E+007,3.682371461763978E-003,-7.496028207242489E-003,9.994728565216065E-001,-7.224521040916443E-002,1.015907168388367E+000,-8.122689276933670E-002,5.192533601075411E-003,2.782217459753156E-003,
5.798000000000000E+007,8.837766945362091E-003,-9.041330777108669E-003,1.007721304893494E+000,-1.433373540639877E-001,9.958941340446472E-001,-1.508209109306335E-001,9.145315736532211E-003,4.390012181829661E-004,
8.197000000000000E+007,1.122031453996897E-002,-9.958153823390603E-004,9.885209798812866E-001,-2.069828510284424E-001,9.802573323249817E-001,-2.116659730672836E-001,3.373149083927274E-003,-1.051813084632158E-002,
1.059600000000000E+008,3.454400226473808E-003,7.165337912738323E-003,9.721032977104187E-001,-2.681001722812653E-001,9.698041081428528E-001,-2.715052664279938E-001,-3.025438170880079E-003,-6.993226241320372E-003,
1.299500000000000E+008,-1.469318056479096E-003,2.772016450762749E-003,9.469837546348572E-001,-3.256168365478516E-001,9.477944970130920E-001,-3.256777822971344E-001,-1.122276298701763E-003,5.398661014623940E-004,
1.539400000000000E+008,-6.320149637758732E-003,-5.072063766419888E-003,9.250942468643189E-001,-3.787487745285034E-001,9.217485189437866E-001,-3.833793699741364E-001,3.438044572249055E-003,2.195243490859866E-003,
1.779300000000000E+008,-3.772491356357932E-003,-1.096920389682055E-002,9.023360013961792E-001,-4.361334145069122E-001,9.038009047508240E-001,-4.360712170600891E-001,7.540175691246986E-003,-5.999037064611912E-003,
2.019200000000000E+008,4.270591307431459E-003,-1.381888799369335E-002,8.738977909088135E-001,-4.932368099689484E-001,8.730263113975525E-001,-4.885202348232269E-001,1.213155104778707E-003,-1.114624366164208E-002,
2.259100000000000E+008,8.700148202478886E-003,-6.946393754333258E-003,8.432350158691406E-001,-5.407921671867371E-001,8.406851887702942E-001,-5.443027615547180E-001,-4.953516647219658E-003,-8.023053407669067E-003,
2.499000000000000E+008,4.467403050512075E-003,-1.160017563961446E-003,8.077363371849060E-001,-5.895425677299500E-001,8.047658205032349E-001,-5.925986170768738E-001,-3.310541156679392E-003,-4.455766174942255E-003,
2.738900000000000E+008,-4.624395165592432E-003,3.610058338381350E-004,7.687551975250244E-001,-6.388296484947205E-001,7.703152298927307E-001,-6.388351321220398E-001,-2.414958580629900E-004,-4.920333158224821E-003,
2.978800000000000E+008,-1.209612470120192E-002,-6.903914269059897E-003,7.298331856727600E-001,-6.816192269325256E-001,7.300707697868347E-001,-6.850920319557190E-001,1.131578814238310E-003,-9.775592014193535E-003,
3.218700000000000E+008,-8.957075886428356E-003,-1.819849200546742E-002,6.857364773750305E-001,-7.269706130027771E-001,6.863281130790710E-001,-7.279372811317444E-001,-3.504708642140031E-003,-1.296799350529909E-002,
3.458600000000000E+008,-6.472084205597639E-004,-1.911496743559837E-002,6.425479054450989E-001,-7.652152776718140E-001,6.395026445388794E-001,-7.631916999816895E-001,-9.726043790578842E-003,-9.977807290852070E-003,
3.698500000000000E+008,3.636572277173400E-003,-1.027378626167774E-002,5.947169065475464E-001,-8.057538866996765E-001,5.910117626190186E-001,-8.029890060424805E-001,-7.583440747112036E-003,-7.299784570932388E-003,
3.938400000000000E+008,-1.922550378367305E-003,-1.376765896566212E-003,5.439736843109131E-001,-8.349291682243347E-001,5.426623225212097E-001,-8.365034461021423E-001,-6.984097883105278E-003,-8.302871137857437E-003,
4.178300000000000E+008,-1.413744501769543E-002,4.299764987081289E-005,4.946904182434082E-001,-8.665203452110291E-001,4.944794774055481E-001,-8.676446676254273E-001,-6.088555324822664E-003,-1.195021905004978E-002,
