% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-6.707860827445984E-001,7.293753623962402E-001,9.279209189116955E-003,3.073833417147398E-003,9.279209189116955E-003,3.073833417147398E-003,-1.703985780477524E-002,9.896492362022400E-001,
5.470000000000000E+008,-6.255984306335449E-001,7.751036882400513E-001,9.971842169761658E-003,2.303738612681627E-003,9.971842169761658E-003,2.303738612681627E-003,1.283647269010544E-001,9.833267927169800E-001,
5.940000000000000E+008,-5.920400619506836E-001,7.915166616439819E-001,1.135628949850798E-002,1.536936033517122E-003,1.135628949850798E-002,1.536936033517122E-003,2.697945833206177E-001,9.541653990745544E-001,
6.410000000000000E+008,-4.585548341274262E-001,8.673450350761414E-001,1.232262980192900E-002,-2.903541899286211E-004,1.232262980192900E-002,-2.903541899286211E-004,4.061397910118103E-001,9.040349721908569E-001,
6.880000000000000E+008,-4.488098323345184E-001,8.855476975440979E-001,1.289737690240145E-002,-1.056226901710033E-003,1.289737690240145E-002,-1.056226901710033E-003,5.338717103004456E-001,8.369140625000000E-001,
7.350000000000000E+008,-3.819814622402191E-001,9.007542729377747E-001,1.409760862588882E-002,-3.002089448273182E-003,1.409760862588882E-002,-3.002089448273182E-003,6.493667960166931E-001,7.495167255401611E-001,
7.820000000000000E+008,-2.160855382680893E-001,9.400181770324707E-001,1.376859191805124E-002,-5.217536352574825E-003,1.376859191805124E-002,-5.217536352574825E-003,7.545494437217712E-001,6.459237337112427E-001,
8.290000000000000E+008,-2.608425617218018E-001,9.552081823348999E-001,1.419030502438545E-002,-6.259610876441002E-003,1.419030502438545E-002,-6.259610876441002E-003,8.407655954360962E-001,5.279905200004578E-001,
8.760000000000000E+008,-1.262283623218536E-001,9.423155784606934E-001,1.464668381959200E-002,-9.422644041478634E-003,1.464668381959200E-002,-9.422644041478634E-003,9.093490242958069E-001,3.990110158920288E-001,
9.230000000000000E+008,1.728404499590397E-002,9.384119510650635E-001,1.316668279469013E-002,-1.071683596819639E-002,1.316668279469013E-002,-1.071683596819639E-002,9.594166278839111E-001,2.615138292312622E-001,
