% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,4.261552169919014E-002,-1.142270565032959E-001,9.105055928230286E-001,1.867966167628765E-002,9.105055928230286E-001,1.867966167628765E-002,9.767584502696991E-002,-6.958521902561188E-002,
5.470000000000000E+008,3.801965340971947E-002,-2.055814862251282E-002,9.692580103874207E-001,2.273651026189327E-002,9.692580103874207E-001,2.273651026189327E-002,2.895328775048256E-002,3.286157548427582E-002,
5.940000000000000E+008,3.951747342944145E-002,-2.623857557773590E-002,1.000344038009644E+000,1.166881397366524E-001,1.000344038009644E+000,1.166881397366524E-001,-9.362161904573441E-002,8.494427427649498E-003,
6.410000000000000E+008,-1.282310485839844E-001,-7.443621009588242E-002,9.817150235176086E-001,2.253445051610470E-002,9.817150235176086E-001,2.253445051610470E-002,2.501665730960667E-004,2.787411585450172E-002,
6.880000000000000E+008,-6.434995681047440E-002,-4.241368547081947E-002,9.994906783103943E-001,-3.246652707457542E-002,9.994906783103943E-001,-3.246652707457542E-002,-2.551871910691261E-002,1.591639034450054E-002,
7.350000000000000E+008,6.128074601292610E-002,4.054161906242371E-002,1.065629363059998E+000,1.357916463166475E-002,1.065629363059998E+000,1.357916463166475E-002,7.181727886199951E-002,1.600673422217369E-003,
7.820000000000000E+008,9.729290008544922E-002,1.166405305266380E-001,1.027537822723389E+000,-1.431786175817251E-002,1.027537822723389E+000,-1.431786175817251E-002,-2.196640940383077E-003,-1.751286350190640E-002,
8.290000000000000E+008,1.361278002150357E-003,-1.532318890094757E-001,9.853492379188538E-001,4.498025774955750E-002,9.853492379188538E-001,4.498025774955750E-002,7.958482019603252E-003,5.320325493812561E-003,
8.760000000000000E+008,3.079395182430744E-002,-1.703492552042007E-002,9.947974085807800E-001,1.156517863273621E-002,9.947974085807800E-001,1.156517863273621E-002,-6.638957560062408E-002,-2.522123977541924E-002,
9.230000000000000E+008,-5.952290375716984E-004,-2.474907552823424E-003,9.704117178916931E-001,-1.192726753652096E-002,9.704117178916931E-001,-1.192726753652096E-002,-1.051019690930843E-002,-1.366372313350439E-002,
9.700000000000000E+008,-2.152994647622109E-002,-1.660482399165630E-002,1.008203864097595E+000,2.555443905293942E-002,1.008203864097595E+000,2.555443905293942E-002,-8.484118618071079E-003,1.360560860484839E-002,
1.017000000000000E+009,2.193726832047105E-004,2.780342008918524E-003,9.973765611648560E-001,-8.141607046127319E-003,9.973765611648560E-001,-8.141607046127319E-003,6.355579197406769E-002,4.037757217884064E-002,
1.064000000000000E+009,-3.874877467751503E-002,3.713412210345268E-002,1.007952809333801E+000,-1.115100644528866E-002,1.007952809333801E+000,-1.115100644528866E-002,3.283780300989747E-003,6.291468162089586E-003,
1.111000000000000E+009,-1.104527711868286E-002,3.452501595020294E-001,9.697298407554627E-001,4.436556715518236E-003,9.697298407554627E-001,4.436556715518236E-003,1.564763137139380E-003,-2.551863901317120E-003,
1.158000000000000E+009,3.382025063037872E-001,2.075470238924027E-001,1.024498701095581E+000,5.324279889464378E-002,1.024498701095581E+000,5.324279889464378E-002,-2.670706016942859E-003,5.917828995734453E-003,
1.205000000000000E+009,-2.091185569763184E+000,5.043060779571533E-001,8.724710941314697E-001,3.712087571620941E-001,8.724710941314697E-001,3.712087571620941E-001,-2.860611537471414E-003,-3.189144190400839E-004,
1.252000000000000E+009,-3.387523591518402E-001,2.001131325960159E-001,9.680346846580505E-001,-4.207874648272991E-003,9.680346846580505E-001,-4.207874648272991E-003,1.258340547792614E-003,4.521002410911024E-004,
1.299000000000000E+009,-6.057126447558403E-002,5.385660380125046E-002,9.984433650970459E-001,2.987891994416714E-002,9.984433650970459E-001,2.987891994416714E-002,-1.139342202804983E-003,-3.212695242837071E-003,
1.346000000000000E+009,-1.003691181540489E-002,2.724571712315083E-002,9.979041814804077E-001,-3.972441423684359E-003,9.979041814804077E-001,-3.972441423684359E-003,-2.642787061631680E-003,-1.730471383780241E-003,
1.393000000000000E+009,-2.728174068033695E-002,3.906854987144470E-002,1.007296681404114E+000,8.933883160352707E-003,1.007296681404114E+000,8.933883160352707E-003,-7.589410990476608E-003,3.546178573742509E-003,
1.440000000000000E+009,-1.131360381841660E-001,-9.247902780771256E-003,9.975741505622864E-001,1.792671158909798E-002,9.975741505622864E-001,1.792671158909798E-002,-2.524347975850105E-003,-3.445197362452745E-003,
1.487000000000000E+009,-1.220101956278086E-002,1.119307801127434E-002,9.982386827468872E-001,-1.029127815854736E-004,9.982386827468872E-001,-1.029127815854736E-004,2.978254342451692E-004,-2.439606934785843E-003,
1.534000000000000E+009,-1.342045795172453E-002,3.472843673080206E-003,9.868795871734619E-001,-5.241619888693094E-003,9.868795871734619E-001,-5.241619888693094E-003,7.536297198385000E-004,-6.293765618465841E-004,
1.581000000000000E+009,-3.406819014344364E-004,9.417530894279480E-002,9.786962270736694E-001,-1.852618734119460E-004,9.786962270736694E-001,-1.852618734119460E-004,-2.884970512241125E-003,1.678228378295898E-003,
1.628000000000000E+009,-4.696742165833712E-003,-7.384181022644043E-003,1.001951336860657E+000,1.345326099544764E-002,1.001951336860657E+000,1.345326099544764E-002,1.608097460120916E-003,4.575088154524565E-003,
1.675000000000000E+009,-8.629494346678257E-003,2.857589907944202E-002,1.004144906997681E+000,-2.962009981274605E-003,1.004144906997681E+000,-2.962009981274605E-003,-3.132099285721779E-003,-2.758165355771780E-003,
1.722000000000000E+009,-3.659368678927422E-002,4.409307613968849E-002,9.978038668632507E-001,-8.001954294741154E-003,9.978038668632507E-001,-8.001954294741154E-003,-1.911894651129842E-003,-9.299728117184714E-005,
1.769000000000000E+009,2.408662997186184E-002,-2.799254469573498E-002,1.003432512283325E+000,7.097080349922180E-003,1.003432512283325E+000,7.097080349922180E-003,4.526863631326705E-004,-1.847143401391804E-003,
1.816000000000000E+009,-5.302166193723679E-002,-8.817197382450104E-002,9.959055781364441E-001,-6.558283348567784E-004,9.959055781364441E-001,-6.558283348567784E-004,1.907692239910830E-005,-4.908819682896137E-004,
1.863000000000000E+009,1.145779937505722E-001,2.657390385866165E-002,9.971289634704590E-001,1.842597965151072E-003,9.971289634704590E-001,1.842597965151072E-003,-3.128173120785505E-004,1.644728181418032E-004,
1.910000000000000E+009,-1.977831870317459E-002,-9.918746072798967E-004,9.950146675109863E-001,-1.229822635650635E-002,9.950146675109863E-001,-1.229822635650635E-002,1.343137468211353E-003,-1.487210283812601E-005,
1.957000000000000E+009,3.421627730131149E-002,-3.274562582373619E-002,9.926736950874329E-001,-1.427981071174145E-003,9.926736950874329E-001,-1.427981071174145E-003,-1.510056667029858E-003,-2.229718258604407E-003,
2.004000000000000E+009,3.010838478803635E-002,-7.688483688980341E-003,9.980172514915466E-001,8.130507194437087E-004,9.980172514915466E-001,8.130507194437087E-004,-2.166780177503824E-003,3.516248892992735E-003,
2.051000000000000E+009,2.290217764675617E-002,8.166224695742130E-003,1.018198966979981E+000,-8.787765167653561E-003,1.018198966979981E+000,-8.787765167653561E-003,1.522127655334771E-003,1.245652558282018E-003,
2.098000000000000E+009,1.370886154472828E-002,2.207601908594370E-003,1.004635810852051E+000,9.323229081928730E-003,1.004635810852051E+000,9.323229081928730E-003,1.246711821295321E-003,1.752947224304080E-003,
2.145000000000000E+009,1.088791899383068E-002,-1.728991046547890E-002,1.005015015602112E+000,-1.119999494403601E-002,1.005015015602112E+000,-1.119999494403601E-002,3.936904948204756E-003,-3.253128845244646E-003,
2.192000000000000E+009,2.570889657363296E-003,6.108049768954516E-003,9.949320554733276E-001,6.630261428654194E-003,9.949320554733276E-001,6.630261428654194E-003,-6.557722575962544E-003,-1.478554680943489E-003,
2.239000000000000E+009,1.894057169556618E-002,-6.990408524870873E-003,1.003597617149353E+000,6.105231586843729E-003,1.003597617149353E+000,6.105231586843729E-003,4.331667441874743E-003,-5.792927928268910E-003,
2.286000000000000E+009,-4.438585310708731E-004,7.643378339707851E-004,1.003410458564758E+000,-2.298099221661687E-003,1.003410458564758E+000,-2.298099221661687E-003,3.552707843482494E-003,-5.524932639673352E-004,
2.333000000000000E+009,1.866642152890563E-003,2.423093887045980E-003,1.001793861389160E+000,-6.344995927065611E-004,1.001793861389160E+000,-6.344995927065611E-004,1.072304416447878E-002,-2.368722925893962E-004,
2.380000000000000E+009,2.704995451495051E-003,-3.449023002758622E-003,1.008599877357483E+000,-1.795044634491205E-003,1.008599877357483E+000,-1.795044634491205E-003,5.351918749511242E-003,-1.257757423445582E-003,
2.427000000000000E+009,1.130650402046740E-003,4.868547897785902E-003,1.005320072174072E+000,2.383211161941290E-003,1.005320072174072E+000,2.383211161941290E-003,-1.411473058396950E-004,-1.168889692053199E-003,
2.474000000000000E+009,1.095408340916038E-003,3.619305090978742E-003,9.987252354621887E-001,5.446240305900574E-003,9.987252354621887E-001,5.446240305900574E-003,1.447031740099192E-003,-5.349034443497658E-003,
2.521000000000000E+009,9.836173616349697E-003,-8.662695065140724E-003,1.003746628761292E+000,-5.033826455473900E-003,1.003746628761292E+000,-5.033826455473900E-003,4.389886278659105E-003,-7.535575423389673E-004,
2.568000000000000E+009,4.868600983172655E-003,-1.500125858001411E-003,1.015489935874939E+000,1.725532114505768E-003,1.015489935874939E+000,1.725532114505768E-003,6.270264275372028E-003,-7.622237317264080E-003,
2.615000000000000E+009,7.419641129672527E-003,6.359354127198458E-003,9.766773581504822E-001,-2.048682421445847E-003,9.766773581504822E-001,-2.048682421445847E-003,-5.007384344935417E-003,-1.267676008865237E-003,
2.662000000000000E+009,-2.836902625858784E-003,-1.271883584558964E-002,1.005895018577576E+000,-9.833246469497681E-003,1.005895018577576E+000,-9.833246469497681E-003,5.736973602324724E-003,-1.617118343710899E-002,
2.709000000000000E+009,-6.190657615661621E-003,3.727600909769535E-003,9.943570494651794E-001,-8.914500474929810E-003,9.943570494651794E-001,-8.914500474929810E-003,2.346424385905266E-003,-3.706034040078521E-003,
2.756000000000000E+009,1.884185359813273E-003,-4.057488869875670E-003,9.952626228332520E-001,2.929717302322388E-003,9.952626228332520E-001,2.929717302322388E-003,-4.129873123019934E-003,-6.982388440519571E-003,
2.803000000000000E+009,2.158182207494974E-003,-3.385653486475349E-003,1.001752376556397E+000,-2.910271286964417E-003,1.001752376556397E+000,-2.910271286964417E-003,5.833900533616543E-003,-7.060073781758547E-003,
2.850000000000000E+009,4.820567090064287E-003,-2.320742700248957E-003,1.001107931137085E+000,-4.361800849437714E-003,1.001107931137085E+000,-4.361800849437714E-003,6.287465803325176E-003,1.160508836619556E-004,
2.897000000000000E+009,2.988896099850535E-003,-2.770873950794339E-003,1.002465367317200E+000,2.424895763397217E-003,1.002465367317200E+000,2.424895763397217E-003,5.181285552680492E-003,4.757802002131939E-003,
2.944000000000000E+009,-2.936120145022869E-003,3.919858019798994E-003,9.979311227798462E-001,1.364648342132568E-004,9.979311227798462E-001,1.364648342132568E-004,-5.151063669472933E-005,1.843846286647022E-003,
2.991000000000000E+009,4.588707350194454E-003,-2.990385517477989E-003,9.992198944091797E-001,2.349972724914551E-003,9.992198944091797E-001,2.349972724914551E-003,1.242235302925110E-003,4.982295911759138E-003,
