% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-1.020785123109818E-001,-1.002930998802185E-001,-5.097198300063610E-003,-6.665884051471949E-003,-5.097198300063610E-003,-6.665884051471949E-003,1.807893393561244E-003,-3.834495786577463E-003,
5.470000000000000E+008,-1.180130094289780E-001,-7.323120534420013E-002,-7.806221023201942E-003,-9.765943512320519E-003,-7.806221023201942E-003,-9.765943512320519E-003,-9.095587301999331E-006,-4.509180318564177E-003,
5.940000000000000E+008,-5.136141553521156E-002,-2.954046428203583E-002,-1.228833124041557E-001,-4.607995972037315E-002,-1.228833124041557E-001,-4.607995972037315E-002,-2.564479596912861E-003,-1.093294750899077E-002,
6.410000000000000E+008,-1.207419633865356E-001,-9.132412075996399E-002,-4.607338458299637E-003,-7.586606778204441E-003,-4.607338458299637E-003,-7.586606778204441E-003,1.378777087666094E-003,-4.931384697556496E-003,
6.880000000000000E+008,-2.082186639308929E-001,-6.691675633192062E-002,-1.456897240132093E-002,-1.988827623426914E-002,-1.456897240132093E-002,-1.988827623426914E-002,-9.950201958417893E-003,-1.008030772209168E-002,
7.350000000000000E+008,-1.709213972091675E+000,4.501487016677856E-001,6.911890208721161E-002,-1.058056205511093E-001,6.911890208721161E-002,-1.058056205511093E-001,7.760918140411377E-002,1.301854133605957E+000,
7.820000000000000E+008,-1.211685165762901E-001,-8.361488580703735E-002,-4.073659423738718E-003,-7.984600029885769E-003,-4.073659423738718E-003,-7.984600029885769E-003,8.454339113086462E-004,-5.346626974642277E-003,
8.290000000000000E+008,-1.467905640602112E+000,-3.797137439250946E-001,1.499204188585281E-001,-2.264485210180283E-001,1.499204188585281E-001,-2.264485210180283E-001,1.422701478004456E-001,1.961898803710938E+000,
8.760000000000000E+008,-1.811823695898056E-001,-1.230357289314270E-001,-7.154838647693396E-003,-1.977802813053131E-002,-7.154838647693396E-003,-1.977802813053131E-002,5.594878457486630E-003,-1.631327345967293E-002,
9.230000000000000E+008,-1.504169255495071E-001,-1.122167259454727E-001,-4.936411045491695E-003,-1.119112875312567E-002,-4.936411045491695E-003,-1.119112875312567E-002,3.463659202679992E-003,-9.912382811307907E-003,
9.700000000000000E+008,-3.446412682533264E-001,-1.284243464469910E-001,-1.280563175678253E-001,-2.055503576993942E-001,-1.280563175678253E-001,-2.055503576993942E-001,4.079663008451462E-002,-1.478838026523590E-001,
1.017000000000000E+009,-1.503556519746780E-001,-1.236204579472542E-001,-4.620250314474106E-003,-1.482634805142880E-002,-4.620250314474106E-003,-1.482634805142880E-002,5.200803279876709E-003,-1.171602401882410E-002,
1.064000000000000E+009,-1.825484782457352E-001,-1.165012195706368E-001,-6.581600755453110E-003,-1.571593247354031E-002,-6.581600755453110E-003,-1.571593247354031E-002,1.782308449037373E-003,-1.697600819170475E-002,
1.111000000000000E+009,-1.128388792276382E-001,2.038802951574326E-001,-9.811095893383026E-002,-2.896845340728760E-001,-9.811095893383026E-002,-2.896845340728760E-001,-6.461311876773834E-002,1.434888131916523E-002,
1.158000000000000E+009,-1.595681160688400E-001,-1.099158525466919E-001,-3.308281768113375E-003,-1.364228315651417E-002,-3.308281768113375E-003,-1.364228315651417E-002,2.600370906293392E-003,-1.313590351492167E-002,
