% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,2.243072167038918E-002,-8.809932507574558E-003,9.591645002365112E-001,-2.261821925640106E-002,9.476475119590759E-001,1.782494783401489E-002,2.864710986614227E-002,-6.984411738812923E-003,
3.399000000000000E+007,-9.091292507946491E-003,6.988961249589920E-003,9.971256852149963E-001,-1.042581945657730E-001,9.955974221229553E-001,-8.444854617118835E-002,1.033032312989235E-002,6.228495389223099E-003,
5.798000000000000E+007,1.252251490950584E-002,4.661508370190859E-003,9.884572625160217E-001,-1.439602673053742E-001,9.996048212051392E-001,-1.596418470144272E-001,7.758477702736855E-003,2.132983645424247E-003,
8.197000000000000E+007,8.473101072013378E-003,1.817576703615487E-003,9.785199761390686E-001,-2.141808569431305E-001,9.746800065040588E-001,-2.116782218217850E-001,5.327516235411167E-003,3.338075475767255E-003,
1.059600000000000E+008,7.430609781295061E-003,4.855684470385313E-003,9.578336477279663E-001,-2.759495377540588E-001,9.644157290458679E-001,-2.673980891704559E-001,6.065452937036753E-003,1.096823369152844E-003,
1.299500000000000E+008,6.118907593190670E-003,2.245400100946426E-003,9.469978213310242E-001,-3.291067481040955E-001,9.357157349586487E-001,-3.239763975143433E-001,8.054297417402268E-003,1.490401453338563E-003,
1.539400000000000E+008,6.186939310282469E-003,-5.585973267443478E-004,9.110587239265442E-001,-3.889825344085693E-001,9.116458892822266E-001,-3.861971795558929E-001,1.208397001028061E-002,2.197735244408250E-003,
1.779300000000000E+008,1.050376053899527E-002,-4.646568559110165E-003,8.918907046318054E-001,-4.401866495609283E-001,8.877162337303162E-001,-4.441714286804199E-001,1.297243591398001E-002,-2.873574150726199E-003,
2.019200000000000E+008,1.509196870028973E-002,-4.107438027858734E-003,8.580433130264282E-001,-4.956352710723877E-001,8.583241105079651E-001,-4.951323866844177E-001,9.089753963053227E-003,-6.632685195654631E-003,
2.259100000000000E+008,1.577183231711388E-002,-1.409269520081580E-003,8.249966502189636E-001,-5.477151870727539E-001,8.259773850440979E-001,-5.475021600723267E-001,8.071049116551876E-003,-3.166762646287680E-003,
2.499000000000000E+008,1.222600974142551E-002,-7.030036649666727E-004,7.887805700302124E-001,-5.967618227005005E-001,7.893563508987427E-001,-5.961970686912537E-001,1.027278602123261E-002,-3.243510844185948E-003,
2.738900000000000E+008,6.228704471141100E-003,-4.046793561428785E-003,7.527024745941162E-001,-6.409668326377869E-001,7.510290145874023E-001,-6.413179636001587E-001,1.358050014823675E-002,-6.246089935302734E-003,
2.978800000000000E+008,4.144181497395039E-003,-1.406241115182638E-002,7.081099748611450E-001,-6.900591254234314E-001,7.112796306610107E-001,-6.834061741828919E-001,1.213120389729738E-002,-1.116259302943945E-002,
3.218700000000000E+008,1.187358796596527E-002,-1.914489828050137E-002,6.657226085662842E-001,-7.251496911048889E-001,6.672010421752930E-001,-7.264203429222107E-001,6.586626172065735E-003,-1.501986198127270E-002,
3.458600000000000E+008,1.985149085521698E-002,-1.665512472391129E-002,6.207857728004456E-001,-7.645428776741028E-001,6.192159652709961E-001,-7.668153047561646E-001,4.961544647812843E-003,-1.456557773053646E-002,
3.698500000000000E+008,1.761720329523087E-002,-7.771398406475782E-003,5.740696191787720E-001,-8.022726774215698E-001,5.706351399421692E-001,-8.015335798263550E-001,4.487027879804373E-003,-1.045610662549734E-002,
3.938400000000000E+008,4.736175760626793E-003,-5.026896949857473E-003,5.170620083808899E-001,-8.357207775115967E-001,5.201472640037537E-001,-8.352029919624329E-001,9.404406882822514E-003,-1.533915568143129E-002,
4.178300000000000E+008,-7.051753345876932E-003,-1.370633020997047E-002,4.691904187202454E-001,-8.618079423904419E-001,4.666969776153565E-001,-8.631757497787476E-001,5.806074943393469E-003,-2.086169831454754E-002,
4.418200000000000E+008,-6.019859574735165E-003,-3.119144774973393E-002,4.146205484867096E-001,-8.913722038269043E-001,4.137690365314484E-001,-8.906247615814209E-001,-2.251279074698687E-003,-2.357526868581772E-002,
4.658100000000000E+008,9.414587169885635E-003,-3.715722262859345E-002,3.618228435516357E-001,-9.128110408782959E-001,3.593558073043823E-001,-9.132980108261108E-001,-5.991040263324976E-003,-1.907119527459145E-002,
4.898000000000000E+008,1.940360851585865E-002,-2.561732754111290E-002,3.045673668384552E-001,-9.332403540611267E-001,3.026966452598572E-001,-9.329946041107178E-001,-3.947276622056961E-003,-1.546808332204819E-002,
5.137900000000000E+008,1.101391203701496E-002,-6.002735346555710E-003,2.426555752754211E-001,-9.498720169067383E-001,2.452497482299805E-001,-9.467568397521973E-001,8.930236799642444E-004,-2.030627056956291E-002,
5.377800000000000E+008,-1.257491577416658E-002,-1.287473947741091E-003,1.864759624004364E-001,-9.562259912490845E-001,1.848627775907517E-001,-9.581896662712097E-001,-3.655524225905538E-003,-2.630594000220299E-002,
5.617700000000000E+008,-2.946868538856506E-002,-2.025047875940800E-002,1.317238211631775E-001,-9.693784713745117E-001,1.258355677127838E-001,-9.674408435821533E-001,-1.414208672940731E-002,-2.594866789877415E-002,
5.857600000000000E+008,-2.381868660449982E-002,-4.665776714682579E-002,6.921882927417755E-002,-9.778070449829102E-001,6.699804216623306E-002,-9.729000329971314E-001,-2.001906372606754E-002,-1.739379204809666E-002,
