% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-1.761670410633087E-001,9.842110797762871E-003,7.387346625328064E-001,-2.941217646002770E-002,7.042642235755920E-001,3.477153554558754E-002,-1.748944073915482E-001,-3.745536506175995E-002,
3.399000000000000E+007,-2.090715467929840E-001,1.123712956905365E-002,7.295908331871033E-001,-8.071232587099075E-002,7.423610687255859E-001,-7.857328653335571E-002,-2.379637211561203E-001,-2.455514483153820E-002,
5.798000000000000E+007,-2.428932934999466E-001,1.347714662551880E-002,7.361679673194885E-001,-1.386524885892868E-001,7.243824005126953E-001,-1.268916130065918E-001,-2.531412243843079E-001,4.496869631111622E-003,
8.197000000000000E+007,-2.564827501773834E-001,-1.906819641590118E-003,7.246204614639282E-001,-1.923132836818695E-001,7.119527459144592E-001,-1.903275251388550E-001,-2.456900626420975E-001,2.097868919372559E-002,
1.059600000000000E+008,-2.506399154663086E-001,-1.164726167917252E-002,6.911655068397522E-001,-2.266597300767899E-001,6.856766939163208E-001,-2.361613959074020E-001,-2.396858930587769E-001,1.661895215511322E-002,
1.299500000000000E+008,-2.359232455492020E-001,2.766232937574387E-004,6.618390083312988E-001,-2.726734280586243E-001,6.651721596717835E-001,-2.781274318695068E-001,-2.512325644493103E-001,1.669161766767502E-002,
1.539400000000000E+008,-2.340759038925171E-001,2.340748347342014E-002,6.399827003479004E-001,-3.129349052906036E-001,6.501674652099609E-001,-3.180939257144928E-001,-2.786251306533814E-001,2.966275066137314E-002,
1.779300000000000E+008,-2.477462887763977E-001,5.162736773490906E-002,6.203980445861816E-001,-3.683704435825348E-001,6.290503740310669E-001,-3.637759089469910E-001,-2.805928289890289E-001,5.857580155134201E-002,
2.019200000000000E+008,-2.709874808788300E-001,6.928189098834992E-002,5.935310721397400E-001,-4.102832674980164E-001,5.932332277297974E-001,-4.070229828357697E-001,-2.679524421691895E-001,7.715529203414917E-002,
2.259100000000000E+008,-2.828212082386017E-001,7.107333093881607E-002,5.643424987792969E-001,-4.388035833835602E-001,5.551763176918030E-001,-4.403327107429504E-001,-2.630596458911896E-001,7.748956233263016E-002,
2.499000000000000E+008,-2.836305201053619E-001,6.646524369716644E-002,5.323328971862793E-001,-4.592536985874176E-001,5.272008180618286E-001,-4.681596457958221E-001,-2.779704034328461E-001,8.341141790151596E-002,
2.738900000000000E+008,-2.748337388038635E-001,7.632541656494141E-002,4.964308440685272E-001,-4.916898012161255E-001,4.981772601604462E-001,-4.998553693294525E-001,-2.879046797752380E-001,1.076195538043976E-001,
2.978800000000000E+008,-2.654094696044922E-001,1.036730110645294E-001,4.577442705631256E-001,-5.321875810623169E-001,4.633046090602875E-001,-5.344776511192322E-001,-2.812264859676361E-001,1.381945312023163E-001,
3.218700000000000E+008,-2.618949115276337E-001,1.338083893060684E-001,4.128438532352448E-001,-5.643799304962158E-001,4.210137426853180E-001,-5.639575123786926E-001,-2.675318717956543E-001,1.520202308893204E-001,
3.458600000000000E+008,-2.693690955638886E-001,1.589324474334717E-001,3.781911730766296E-001,-5.875061750411987E-001,3.769312202930450E-001,-5.839370489120483E-001,-2.627032101154327E-001,1.576983779668808E-001,
3.698500000000000E+008,-2.773791849613190E-001,1.693609207868576E-001,3.488442897796631E-001,-6.028556823730469E-001,3.392887115478516E-001,-6.015052795410156E-001,-2.686271369457245E-001,1.733790636062622E-001,
3.938400000000000E+008,-2.782034873962402E-001,1.747915744781494E-001,3.123017549514771E-001,-6.159267425537109E-001,3.013197183609009E-001,-6.191959977149963E-001,-2.667484283447266E-001,1.986128091812134E-001,
4.178300000000000E+008,-2.673250734806061E-001,1.866642087697983E-001,2.661485671997070E-001,-6.315097808837891E-001,2.583576738834381E-001,-6.392097473144531E-001,-2.526504993438721E-001,2.231606990098953E-001,
4.418200000000000E+008,-2.483830600976944E-001,2.073554694652557E-001,2.101474404335022E-001,-6.469904780387878E-001,2.132744044065476E-001,-6.516120433807373E-001,-2.348771691322327E-001,2.355704754590988E-001,
4.658100000000000E+008,-2.307813763618469E-001,2.330727279186249E-001,1.633332967758179E-001,-6.582979559898377E-001,1.682874709367752E-001,-6.584112644195557E-001,-2.265519350767136E-001,2.441827356815338E-001,
4.898000000000000E+008,-2.252485603094101E-001,2.568998932838440E-001,1.265410929918289E-001,-6.682465076446533E-001,1.282154470682144E-001,-6.621155142784119E-001,-2.226140499114990E-001,2.597813010215759E-001,
5.137900000000000E+008,-2.267699241638184E-001,2.744867801666260E-001,9.364219754934311E-002,-6.746786236763001E-001,8.784028887748718E-002,-6.688715815544128E-001,-2.129879742860794E-001,2.839245200157166E-001,
5.377800000000000E+008,-2.223782539367676E-001,2.863693833351135E-001,5.293450132012367E-002,-6.760023236274719E-001,4.254655912518501E-002,-6.733423471450806E-001,-1.912787407636643E-001,3.032497763633728E-001,
5.617700000000000E+008,-2.046069800853729E-001,2.963387370109558E-001,2.926777116954327E-003,-6.708014607429504E-001,-4.033647477626801E-003,-6.709502339363098E-001,-1.714050173759460E-001,3.119992911815643E-001,
5.857600000000000E+008,-1.781390011310577E-001,3.063723444938660E-001,-4.579476267099381E-002,-6.604928970336914E-001,-4.654185473918915E-002,-6.626468896865845E-001,-1.573876440525055E-001,3.190160989761353E-001,
6.097500000000000E+008,-1.545447856187820E-001,3.245583772659302E-001,-8.939006179571152E-002,-6.575673222541809E-001,-8.416905999183655E-002,-6.556227207183838E-001,-1.464012712240219E-001,3.344887793064117E-001,
6.337400000000000E+008,-1.396300792694092E-001,3.455928266048431E-001,-1.293482929468155E-001,-6.558172106742859E-001,-1.231461390852928E-001,-6.501499414443970E-001,-1.282170265913010E-001,3.521126806735992E-001,
6.577300000000000E+008,-1.293058395385742E-001,3.639255762100220E-001,-1.671458035707474E-001,-6.476827859878540E-001,-1.662128120660782E-001,-6.409210562705994E-001,-1.027821451425552E-001,3.640291988849640E-001,
6.817200000000000E+008,-1.148457452654839E-001,3.721227943897247E-001,-2.053627073764801E-001,-6.301189064979553E-001,-2.083891481161118E-001,-6.247975230216980E-001,-8.058576285839081E-002,3.679209649562836E-001,
7.057100000000000E+008,-9.216482192277908E-002,3.731217682361603E-001,-2.419564425945282E-001,-6.057731509208679E-001,-2.459040731191635E-001,-6.042730212211609E-001,-6.391944736242294E-002,3.723016381263733E-001,
7.297000000000000E+008,-6.402014195919037E-002,3.748378753662109E-001,-2.790751755237579E-001,-5.838663578033447E-001,-2.791175246238709E-001,-5.865591764450073E-001,-4.624374583363533E-002,3.825565874576569E-001,
7.536900000000000E+008,-3.630587086081505E-002,3.855878710746765E-001,-3.198084831237793E-001,-5.662970542907715E-001,-3.151051402091980E-001,-5.688452124595642E-001,-2.097410149872303E-002,3.925474882125855E-001,
7.776800000000000E+008,-1.274061389267445E-002,4.007152318954468E-001,-3.596496880054474E-001,-5.467149615287781E-001,-3.523911237716675E-001,-5.471048951148987E-001,7.763921283185482E-003,3.955429494380951E-001,
