% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,5.366900190711021E-002,1.980240084230900E-002,8.940320014953613E-001,-1.048177033662796E-001,9.084569811820984E-001,-3.644116222858429E-002,4.201082885265350E-002,3.063295222818852E-002,
3.399000000000000E+007,-8.523385040462017E-003,-1.068643294274807E-002,1.012563586235046E+000,-1.061980873346329E-001,9.951756000518799E-001,-1.036415025591850E-001,1.356081571429968E-003,-1.086917519569397E-002,
5.798000000000000E+007,-9.971747174859047E-003,-1.043142471462488E-002,9.692391157150269E-001,-1.605037748813629E-001,9.732448458671570E-001,-1.602804958820343E-001,-4.969838075339794E-003,-1.065154466778040E-002,
8.197000000000000E+007,-8.802255615592003E-003,-1.547112036496401E-002,9.559037685394287E-001,-2.153714597225189E-001,9.623891115188599E-001,-2.157406955957413E-001,-7.976160384714603E-003,-1.144165359437466E-002,
1.059600000000000E+008,-5.591820925474167E-003,-1.727012544870377E-002,9.478069543838501E-001,-2.805102765560150E-001,9.492006301879883E-001,-2.777564525604248E-001,-4.855292383581400E-003,-1.023807562887669E-002,
1.299500000000000E+008,-4.741134587675333E-003,-1.402911730110645E-002,9.254374504089356E-001,-3.358153700828552E-001,9.320414662361145E-001,-3.404692113399506E-001,-6.465708836913109E-003,-1.889863051474094E-002,
1.539400000000000E+008,-1.529267616569996E-002,-1.631659455597401E-002,9.022572636604309E-001,-3.967823386192322E-001,8.981360793113709E-001,-3.956391513347626E-001,-1.054677553474903E-002,-2.440675348043442E-002,
1.779300000000000E+008,-2.025962434709072E-002,-2.087172865867615E-002,8.773593306541443E-001,-4.492557644844055E-001,8.729118108749390E-001,-4.531665742397308E-001,-2.032011188566685E-002,-2.687982469797134E-002,
2.019200000000000E+008,-2.341716736555100E-002,-2.843203954398632E-002,8.424831628799439E-001,-5.042884349822998E-001,8.444766402244568E-001,-5.053802132606506E-001,-2.377312444150448E-002,-1.975591666996479E-002,
2.259100000000000E+008,-1.747441850602627E-002,-3.169776126742363E-002,8.096557259559631E-001,-5.580258965492249E-001,8.106696009635925E-001,-5.574316978454590E-001,-2.484361268579960E-002,-1.854193583130837E-002,
2.499000000000000E+008,-1.813756860792637E-002,-2.614554576575756E-002,7.710750102996826E-001,-6.065889000892639E-001,7.723466753959656E-001,-6.063755750656128E-001,-2.138560824096203E-002,-2.250361070036888E-002,
2.738900000000000E+008,-2.547707036137581E-002,-1.876127347350121E-002,7.282224893569946E-001,-6.530662775039673E-001,7.301552295684815E-001,-6.560752987861633E-001,-2.789914049208164E-002,-2.947997301816940E-002,
2.978800000000000E+008,-3.939668461680412E-002,-1.925697550177574E-002,6.851211190223694E-001,-6.969805955886841E-001,6.858870387077332E-001,-6.976663470268250E-001,-3.973183780908585E-002,-3.015844523906708E-002,
3.218700000000000E+008,-4.589883238077164E-002,-2.903505228459835E-002,6.417982578277588E-001,-7.401988506317139E-001,6.398652195930481E-001,-7.386051416397095E-001,-4.778313264250755E-002,-2.060654945671558E-002,
3.458600000000000E+008,-4.475267231464386E-002,-3.556531667709351E-002,5.914500355720520E-001,-7.747132778167725E-001,5.915268063545227E-001,-7.778114080429077E-001,-4.470192641019821E-002,-1.349143404513598E-002,
3.698500000000000E+008,-3.909236937761307E-002,-3.144589811563492E-002,5.394529700279236E-001,-8.134369850158691E-001,5.416232943534851E-001,-8.134305477142334E-001,-4.137774184346199E-002,-1.525857765227556E-002,
3.938400000000000E+008,-4.137113317847252E-002,-1.781165227293968E-002,4.886536896228790E-001,-8.424454927444458E-001,4.871754050254822E-001,-8.418170809745789E-001,-4.841505736112595E-002,-2.401904761791229E-002,
4.178300000000000E+008,-5.481462180614471E-002,-9.590386413037777E-003,4.328492283821106E-001,-8.688756823539734E-001,4.312349855899811E-001,-8.695587515830994E-001,-6.301946192979813E-002,-2.113694138824940E-002,
4.418200000000000E+008,-6.936158984899521E-002,-1.248104963451624E-002,3.775017857551575E-001,-8.932393193244934E-001,3.780322968959808E-001,-8.934723138809204E-001,-7.101649791002274E-002,-7.789855822920799E-003,
4.658100000000000E+008,-7.397167384624481E-002,-2.095028758049011E-002,3.214670121669769E-001,-9.149887561798096E-001,3.207654356956482E-001,-9.139769673347473E-001,-6.643851101398468E-002,3.800447797402740E-003,
4.898000000000000E+008,-6.530758738517761E-002,-2.450329996645451E-002,2.635618448257446E-001,-9.324824213981628E-001,2.614438235759735E-001,-9.309911727905273E-001,-5.938928201794624E-002,1.372616970911622E-003,
5.137900000000000E+008,-5.912656337022781E-002,-1.153558213263750E-002,2.023756802082062E-001,-9.450336694717407E-001,2.023418694734573E-001,-9.446318149566650E-001,-6.583939492702484E-002,-6.344990339130163E-003,
5.377800000000000E+008,-6.395404785871506E-002,7.473067846149206E-003,1.430990993976593E-001,-9.538786411285400E-001,1.418562084436417E-001,-9.535521864891052E-001,-8.180721849203110E-002,-9.755516075529158E-004,
5.617700000000000E+008,-8.098398894071579E-002,1.536284759640694E-002,8.218593895435333E-002,-9.582942724227905E-001,8.266483247280121E-002,-9.584459066390991E-001,-8.924340456724167E-002,1.591268554329872E-002,
5.857600000000000E+008,-9.557856619358063E-002,1.067284494638443E-002,2.464010939002037E-002,-9.605221748352051E-001,2.380789816379547E-002,-9.611753225326538E-001,-8.035929501056671E-002,3.075976856052876E-002,
6.097500000000000E+008,-9.243152290582657E-002,3.792127827182412E-004,-3.606267273426056E-002,-9.613221883773804E-001,-3.702399134635925E-002,-9.608501791954041E-001,-6.923729926347733E-002,2.970254421234131E-002,
6.337400000000000E+008,-7.827688753604889E-002,3.866247367113829E-003,-9.831713140010834E-002,-9.540064334869385E-001,-9.743732213973999E-002,-9.541670083999634E-001,-7.629009336233139E-002,2.312052436172962E-002,
6.577300000000000E+008,-7.078132778406143E-002,2.426360733807087E-002,-1.563321053981781E-001,-9.440454244613648E-001,-1.570303887128830E-001,-9.441257119178772E-001,-9.198299795389175E-002,2.955258823931217E-002,
6.817200000000000E+008,-8.025226742029190E-002,4.630839452147484E-002,-2.126021981239319E-001,-9.303721189498901E-001,-2.125171869993210E-001,-9.300594329833984E-001,-9.671434760093689E-002,5.186639726161957E-002,
7.057100000000000E+008,-9.910333156585693E-002,5.128468200564385E-002,-2.685388624668121E-001,-9.153474569320679E-001,-2.688903510570526E-001,-9.152333140373230E-001,-8.281605690717697E-002,6.706514954566956E-002,
7.297000000000000E+008,-1.073061674833298E-001,4.260113462805748E-002,-3.263370990753174E-001,-8.964559435844421E-001,-3.259674906730652E-001,-8.958341479301453E-001,-7.015448808670044E-002,6.436772644519806E-002,
7.536900000000000E+008,-9.530124068260193E-002,3.496497869491577E-002,-3.816891312599182E-001,-8.723238706588745E-001,-3.816004395484924E-001,-8.723651766777039E-001,-7.465570420026779E-002,5.661077424883843E-002,
7.776800000000000E+008,-7.471217960119247E-002,4.601914063096046E-002,-4.336611926555634E-001,-8.430877327919006E-001,-4.333080649375916E-001,-8.434711098670960E-001,-8.875698596239090E-002,6.559120863676071E-002,
8.016700000000000E+008,-6.750947237014771E-002,7.225472480058670E-002,-4.822943508625031E-001,-8.131214380264282E-001,-4.829660356044769E-001,-8.133783340454102E-001,-8.964014798402786E-002,8.881729096174240E-002,
8.256600000000000E+008,-8.112353086471558E-002,9.309015423059464E-002,-5.305739641189575E-001,-7.834527492523193E-001,-5.304325819015503E-001,-7.834448218345642E-001,-7.082374393939972E-002,1.056053861975670E-001,
8.496500000000000E+008,-9.759239852428436E-002,9.378368407487869E-002,-5.774440169334412E-001,-7.496869564056397E-001,-5.788199305534363E-001,-7.484564185142517E-001,-5.406306684017181E-002,1.002174615859985E-001,
8.736400000000000E+008,-9.729592502117157E-002,8.036473393440247E-002,-6.240336894989014E-001,-7.090724110603333E-001,-6.232759356498718E-001,-7.089818120002747E-001,-5.700296908617020E-002,9.178977459669113E-002,
8.976300000000000E+008,-7.539497315883637E-002,7.561974227428436E-002,-6.654334664344788E-001,-6.659015417098999E-001,-6.649285554885864E-001,-6.657147407531738E-001,-6.906440109014511E-002,1.010594740509987E-001,
9.216200000000000E+008,-5.273538082838059E-002,9.255234897136688E-002,-7.023558616638184E-001,-6.236484646797180E-001,-7.014690637588501E-001,-6.236618757247925E-001,-6.610789895057678E-002,1.255810111761093E-001,
9.456100000000000E+008,-4.854148998856545E-002,1.206394284963608E-001,-7.368091940879822E-001,-5.800625681877136E-001,-7.366548776626587E-001,-5.799053907394409E-001,-4.298159107565880E-002,1.391176581382752E-001,
