% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+007,-5.161871757804790E-003,9.775724909074782E-003,9.763262672177067E-001,-8.578112944152680E-002,9.897108250336434E-001,-4.334443209053091E-002,1.892562955617905E-002,1.809909753501415E-002,
3.399000000000000E+007,-8.738123447249549E-003,-1.012680812321295E-002,9.865395575893445E-001,-9.458465065187476E-002,9.855932177009802E-001,-9.393397710201855E-002,-7.328517269343138E-003,-1.091329008340836E-002,
5.798000000000000E+007,-1.202009329656058E-002,-1.421749455464883E-002,9.692914115785815E-001,-1.595186257115922E-001,9.760422110906297E-001,-1.536433293504354E-001,-9.420933201909065E-003,-1.613623835146427E-002,
8.197000000000000E+007,-1.036559288604407E-002,-2.496744413536841E-002,9.630231285133738E-001,-2.175692045599578E-001,9.554816323610980E-001,-2.255322004623243E-001,-9.361336007714272E-003,-2.080501057207584E-002,
1.059600000000000E+008,-1.426812792284808E-002,-2.703367104680001E-002,9.422427039948307E-001,-2.835437374754875E-001,9.432458814980209E-001,-2.805540951107441E-001,-1.528862863779068E-002,-2.634775266051292E-002,
1.299500000000000E+008,-2.039531869340305E-002,-2.819357666089479E-002,9.197473630321378E-001,-3.469527376785831E-001,9.294861124255867E-001,-3.427412954673436E-001,-1.928808912634850E-002,-3.026413917541504E-002,
1.539400000000000E+008,-2.477563123707909E-002,-3.380874919124464E-002,8.934275618407511E-001,-3.972800102412031E-001,8.961519727297479E-001,-3.993033973706587E-001,-2.628933824598789E-002,-3.274926915764809E-002,
1.779300000000000E+008,-3.149331850178061E-002,-3.592901913475928E-002,8.660011509224985E-001,-4.545871158128884E-001,8.687069725550809E-001,-4.558727652866340E-001,-3.213451057672501E-002,-3.362130746245384E-002,
2.019200000000000E+008,-3.560618531838458E-002,-3.967259171898416E-002,8.345984732200047E-001,-5.105227630022681E-001,8.378244667084137E-001,-5.077611142257974E-001,-3.532262891530991E-002,-3.327676653862000E-002,
2.259100000000000E+008,-3.784501511741498E-002,-3.744442954503754E-002,8.012916385620814E-001,-5.559386328065508E-001,8.004746791694776E-001,-5.594384628698695E-001,-4.090260341763496E-002,-3.805095329880714E-002,
2.499000000000000E+008,-4.643128208504704E-002,-3.264899386900306E-002,7.651390622295093E-001,-6.072681596269532E-001,7.639620367532295E-001,-6.087012577211030E-001,-5.006461590528488E-002,-3.856148570775986E-002,
2.738900000000000E+008,-5.832745386379616E-002,-3.191654489155286E-002,7.228417651320465E-001,-6.551864704166424E-001,7.219440789152022E-001,-6.541151943507922E-001,-5.908162891864777E-002,-3.712800145149231E-002,
2.978800000000000E+008,-6.877099250530425E-002,-3.895093988061112E-002,6.799401329765620E-001,-6.945767928390605E-001,6.776392339305103E-001,-6.956462781937136E-001,-6.395035237073898E-002,-3.152778372168541E-002,
3.218700000000000E+008,-6.982296239821757E-002,-4.599539668287243E-002,6.326646042409055E-001,-7.389378443971474E-001,6.330980511463493E-001,-7.395763815578749E-001,-6.558601558208466E-002,-3.135178238153458E-002,
3.458600000000000E+008,-6.417604607810318E-002,-4.190990205141949E-002,5.816220749480875E-001,-7.742786685472179E-001,5.810185273167267E-001,-7.776973147815308E-001,-7.157111912965775E-002,-3.238508850336075E-002,
3.698500000000000E+008,-6.644312650416931E-002,-2.842064422362980E-002,5.359191739089890E-001,-8.109813046121002E-001,5.307243179748677E-001,-8.069184152941193E-001,-8.305089920759201E-002,-2.982590533792973E-002,
3.938400000000000E+008,-8.216063330122299E-002,-1.199048684590132E-002,4.787984115631285E-001,-8.365399035432024E-001,4.777839861249636E-001,-8.362059459112177E-001,-9.165280312299728E-002,-2.268727310001850E-002,
4.178300000000000E+008,-1.044374449117807E-001,-1.163942989702570E-002,4.272376668445027E-001,-8.619226392422156E-001,4.250342591452659E-001,-8.635464749371511E-001,-9.482327848672867E-002,-1.374639663845301E-002,
4.418200000000000E+008,-1.148404955666569E-001,-2.269716436952865E-002,3.691704567778533E-001,-8.886207795684655E-001,3.704884515514751E-001,-8.882282940863285E-001,-9.597246348857880E-002,-1.138718985021114E-002,
4.658100000000000E+008,-1.079833155676014E-001,-3.160365426336577E-002,3.117746676722587E-001,-9.086923015574844E-001,3.121634178766178E-001,-9.094969027909160E-001,-1.019501313567162E-001,-9.540721774101257E-003,
4.898000000000000E+008,-9.281007144221500E-002,-2.113938752702025E-002,2.566338157663118E-001,-9.290887316590782E-001,2.543186907196783E-001,-9.252642363810230E-001,-1.121861413121223E-001,-3.723903326317668E-003,
5.137900000000000E+008,-9.071032539432598E-002,8.173770822626750E-003,1.949123881837321E-001,-9.425940664372499E-001,1.955420391931793E-001,-9.359937789060711E-001,-1.190865933895111E-001,9.616194292902947E-003,
5.377800000000000E+008,-1.113225504223612E-001,3.312634017592712E-002,1.394165501657252E-001,-9.422734867034645E-001,1.354402952352382E-001,-9.441703924651074E-001,-1.185369417071343E-001,2.203628420829773E-002,
5.617700000000000E+008,-1.409798996684119E-001,3.423759905019467E-002,8.078008957685165E-002,-9.548254727284237E-001,8.004722893412702E-002,-9.502533389564711E-001,-1.156820431351662E-001,2.528917416930199E-002,
5.857600000000000E+008,-1.525247723911282E-001,1.419807548672674E-002,1.686798021302799E-002,-9.480298435575434E-001,1.879948948684646E-002,-9.514480523147788E-001,-1.213476955890656E-001,2.732180617749691E-002,
6.097500000000000E+008,-1.339115762885222E-001,1.713672082481772E-003,-4.184964855950743E-002,-9.569694107146484E-001,-3.903133017504212E-002,-9.497841100537557E-001,-1.301024109125137E-001,3.770368546247482E-002,
6.337400000000000E+008,-1.034031847533094E-001,2.059987130985383E-002,-1.072696799035368E-001,-9.495135411199235E-001,-9.696560947500302E-002,-9.464829010950617E-001,-1.324930191040039E-001,5.529843270778656E-002,
6.577300000000000E+008,-9.535398919456421E-002,6.283086247705891E-002,-1.576610592796292E-001,-9.387980261044884E-001,-1.555538304661585E-001,-9.398022393786156E-001,-1.261163055896759E-001,6.937198340892792E-002,
6.817200000000000E+008,-1.223934911832783E-001,9.730980993993703E-002,-2.130886842155242E-001,-9.276196998589573E-001,-2.153422739864591E-001,-9.263384324018095E-001,-1.198735311627388E-001,7.280338555574417E-002,
7.057100000000000E+008,-1.587975285194695E-001,9.639445106544478E-002,-2.724394435127746E-001,-9.051117011981180E-001,-2.730688306320531E-001,-9.092305676077979E-001,-1.248073205351830E-001,7.539999485015869E-002,
7.297000000000000E+008,-1.681699620829585E-001,6.821132530953297E-002,-3.270714814291801E-001,-8.877955201765508E-001,-3.276640933389623E-001,-8.876124916583449E-001,-1.306475102901459E-001,9.005506336688995E-002,
7.536900000000000E+008,-1.363748967446460E-001,5.028942255711785E-002,-3.945504909966620E-001,-8.654425166635900E-001,-3.797541212440431E-001,-8.667080737466580E-001,-1.269094794988632E-001,1.104042902588844E-001,
7.776800000000000E+008,-9.150080676850975E-002,6.991067098991147E-002,-4.377168861510297E-001,-8.363908891526993E-001,-4.328905067832293E-001,-8.437072189208733E-001,-1.122940629720688E-001,1.242591887712479E-001,
8.016700000000000E+008,-7.674698612739761E-002,1.230476207572764E-001,-4.903957158688037E-001,-8.185407992532592E-001,-4.894099284012822E-001,-8.148725040916363E-001,-1.034406572580338E-001,1.240663826465607E-001,
8.256600000000000E+008,-1.034613761049002E-001,1.651664506066302E-001,-5.310979609169562E-001,-7.751704351045916E-001,-5.406706148990464E-001,-7.795088449796438E-001,-1.072735488414764E-001,1.277318596839905E-001,
8.496500000000000E+008,-1.454100920191741E-001,1.663801923759362E-001,-5.786961191336933E-001,-7.453741245230554E-001,-5.858088551051195E-001,-7.396460228247384E-001,-1.095457822084427E-001,1.444780379533768E-001,
8.736400000000000E+008,-1.535796144987309E-001,1.316733780626323E-001,-6.306660194248163E-001,-6.966173016876577E-001,-6.281607305733841E-001,-7.020518855530482E-001,-9.743194282054901E-002,1.656674742698669E-001,
8.976300000000000E+008,-1.155095129637163E-001,1.046031881222358E-001,-6.753665528190685E-001,-6.514628470042028E-001,-6.710669007748258E-001,-6.626869112553242E-001,-7.616460323333740E-002,1.728479117155075E-001,
9.216200000000000E+008,-6.161120778193357E-002,1.213463237488948E-001,-7.140847878042045E-001,-6.175907297794423E-001,-7.122556638456400E-001,-6.209066149010880E-001,-6.538838893175125E-002,1.688476055860519E-001,
9.456100000000000E+008,-3.692914913117107E-002,1.741405269344510E-001,-7.513154914868582E-001,-5.732452146686785E-001,-7.510534017939777E-001,-5.716376692072009E-001,-6.990724056959152E-002,1.737558692693710E-001,
9.696000000000000E+008,-5.886583808427794E-002,2.182498057816661E-001,-7.728697004785341E-001,-5.315041933297759E-001,-7.829019190885787E-001,-5.190519115752069E-001,-6.584777683019638E-002,1.940237283706665E-001,
