% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,3.741742670536041E-002,5.425309762358666E-003,1.620402485132217E-001,-9.686138033866882E-001,1.638249456882477E-001,-9.689740538597107E-001,4.162188246846199E-002,-4.424082115292549E-003,
5.470000000000000E+008,4.536674916744232E-002,-6.591700483113527E-003,3.522999957203865E-002,-9.826618432998657E-001,3.435305505990982E-002,-9.834372997283936E-001,3.857304528355598E-002,3.182435873895884E-003,
5.940000000000000E+008,4.998121783137322E-002,-2.319140126928687E-003,-9.425504505634308E-002,-9.737350344657898E-001,-9.578768163919449E-002,-9.769569039344788E-001,4.854695498943329E-002,-9.889722801744938E-003,
6.410000000000000E+008,3.795716911554337E-002,-8.618871681392193E-003,-2.218444198369980E-001,-9.612866640090942E-001,-2.207036316394806E-001,-9.568839669227600E-001,3.440089896321297E-002,-1.332012750208378E-002,
6.880000000000000E+008,4.316138848662376E-002,-2.441742643713951E-002,-3.463954031467438E-001,-9.198003411293030E-001,-3.448698520660400E-001,-9.202741980552673E-001,4.363642260432243E-002,-1.052823662757874E-002,
7.350000000000000E+008,4.501698911190033E-002,-1.909343153238297E-002,-4.565799832344055E-001,-8.652648329734802E-001,-4.622337520122528E-001,-8.665335774421692E-001,3.449881076812744E-002,-2.658823505043984E-002,
7.820000000000000E+008,2.741607837378979E-002,-2.214824780821800E-002,-5.755010843276978E-001,-8.012089133262634E-001,-5.712594389915466E-001,-7.994973659515381E-001,3.072072938084602E-002,-1.432779617607594E-002,
8.290000000000000E+008,2.860278449952602E-002,-3.794323652982712E-002,-6.705877780914307E-001,-7.172448039054871E-001,-6.720597147941589E-001,-7.172387838363648E-001,3.592737391591072E-002,-2.844990789890289E-002,
8.760000000000000E+008,3.094566054642201E-002,-2.742944844067097E-002,-7.643145322799683E-001,-6.235591769218445E-001,-7.606675624847412E-001,-6.241933107376099E-001,1.770357601344585E-002,-2.381689101457596E-002,
9.230000000000000E+008,9.353526867926121E-003,-2.473540604114533E-002,-8.391041755676270E-001,-5.183576941490173E-001,-8.362697958946228E-001,-5.194541811943054E-001,2.946048229932785E-002,-2.005383744835854E-002,
9.700000000000000E+008,9.304607287049294E-003,-4.119633883237839E-002,-8.968248963356018E-001,-4.094103872776032E-001,-8.980435729026794E-001,-4.071402549743652E-001,1.314727216959000E-002,-2.977809309959412E-002,
1.017000000000000E+009,1.655861176550388E-002,-2.311526797711849E-002,-9.479426741600037E-001,-2.713026106357575E-001,-9.475525617599487E-001,-2.855041623115540E-001,1.920351572334766E-002,-9.628986939787865E-003,
1.064000000000000E+009,-9.806369431316853E-003,-1.379285939037800E-002,-9.756897091865540E-001,-1.550091505050659E-001,-9.790756702423096E-001,-1.572754979133606E-001,1.673660613596439E-002,-2.748868986964226E-002,
1.111000000000000E+009,-8.455964736640453E-003,-3.216646239161491E-002,-9.928929209709168E-001,-2.543962746858597E-002,-9.938606023788452E-001,-2.471750415861607E-002,5.092119332402945E-003,-3.879794618114829E-003,
1.158000000000000E+009,1.159645523875952E-002,-7.497030775994062E-003,-9.871156811714172E-001,1.132501959800720E-001,-9.933480620384216E-001,1.093467473983765E-001,2.652248740196228E-002,-1.708624139428139E-002,
1.205000000000000E+009,-1.901702769100666E-002,9.763553738594055E-003,-9.681765437126160E-001,2.414850741624832E-001,-9.725205898284912E-001,2.472091168165207E-001,-1.549592940136790E-003,-2.537416294217110E-003,
1.252000000000000E+009,-1.009260490536690E-002,-1.524296496063471E-002,-9.240542054176331E-001,3.758544325828552E-001,-9.286983013153076E-001,3.819448947906494E-001,3.752395883202553E-002,1.648976001888514E-003,
1.299000000000000E+009,2.553447335958481E-002,1.594042405486107E-002,-8.647421598434448E-001,5.161759853363037E-001,-8.633257746696472E-001,5.109896063804627E-001,-1.128417206928134E-003,-7.551531773060560E-003,
1.346000000000000E+009,-1.544806454330683E-002,4.244558513164520E-002,-7.778530120849609E-001,6.257814168930054E-001,-7.732260823249817E-001,6.269708871841431E-001,5.220046266913414E-002,2.301950938999653E-002,
1.393000000000000E+009,-5.266708321869373E-003,-1.735454611480236E-002,-6.653117537498474E-001,7.222927212715149E-001,-6.625822186470032E-001,7.208508253097534E-001,1.186587475240231E-002,-1.590401493012905E-002,
1.440000000000000E+009,7.627928256988525E-002,-2.992896130308509E-003,-5.345269441604614E-001,7.737108469009399E-001,-5.435094833374023E-001,7.842314839363098E-001,6.845936924219132E-002,4.152416065335274E-002,
1.487000000000000E+009,3.964439779520035E-002,6.337666511535645E-002,-4.263881742954254E-001,8.298425674438477E-001,-4.309431314468384E-001,8.224861621856690E-001,4.576016589999199E-002,-2.364232018589973E-002,
1.534000000000000E+009,-1.912863180041313E-002,-8.545780554413796E-003,-3.351716697216034E-001,8.481791019439697E-001,-3.293232023715973E-001,8.425512909889221E-001,8.908364176750183E-002,3.599242866039276E-002,
