% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,-2.342368513345718E-001,5.504947304725647E-001,-9.912727773189545E-002,-4.294424355030060E-001,-1.012637019157410E-001,-4.269257485866547E-001,-2.142108827829361E-001,5.523670315742493E-001,
5.470000000000000E+008,-1.614082306623459E-001,5.769054889678955E-001,-1.523783951997757E-001,-3.992771506309509E-001,-1.537410765886307E-001,-4.000643789768219E-001,-1.341502368450165E-001,5.856689214706421E-001,
5.940000000000000E+008,-6.835733354091644E-002,6.105144023895264E-001,-2.034914344549179E-001,-3.702335953712463E-001,-2.031549066305161E-001,-3.672102987766266E-001,-5.017732083797455E-002,6.065437793731690E-001,
6.410000000000000E+008,4.779826849699020E-003,6.220427155494690E-001,-2.444700747728348E-001,-3.342338502407074E-001,-2.438768744468689E-001,-3.294267952442169E-001,3.539141267538071E-002,6.145998239517212E-001,
6.880000000000000E+008,8.788183331489563E-002,6.125161051750183E-001,-2.800552546977997E-001,-2.890205681324005E-001,-2.815552353858948E-001,-2.889449894428253E-001,1.229865998029709E-001,6.098347306251526E-001,
7.350000000000000E+008,1.957266926765442E-001,6.093264222145081E-001,-3.173985779285431E-001,-2.458746731281281E-001,-3.115739226341248E-001,-2.424325346946716E-001,2.063455581665039E-001,5.909598469734192E-001,
7.820000000000000E+008,2.478043735027313E-001,5.827211737632752E-001,-3.368876278400421E-001,-2.017709761857987E-001,-3.342744410037994E-001,-1.979059278964996E-001,2.864777445793152E-001,5.624855160713196E-001,
8.290000000000000E+008,3.353409469127655E-001,5.403124094009399E-001,-3.556140363216400E-001,-1.487667858600617E-001,-3.546348512172699E-001,-1.482517421245575E-001,3.611949384212494E-001,5.211499333381653E-001,
8.760000000000000E+008,4.311093389987946E-001,4.885049164295197E-001,-3.767148554325104E-001,-9.298807382583618E-002,-3.640000522136688E-001,-9.788104891777039E-002,4.277420043945313E-001,4.725024700164795E-001,
9.230000000000000E+008,4.497210085391998E-001,4.555871784687042E-001,-3.736342191696167E-001,-5.247630923986435E-002,-3.697341084480286E-001,-4.903051629662514E-002,4.890979528427124E-001,4.157804846763611E-001,
9.700000000000000E+008,5.333005189895630E-001,3.638466894626617E-001,-3.673000037670136E-001,8.546391502022743E-003,-3.656732439994812E-001,4.441429395228624E-003,5.399301648139954E-001,3.514463603496552E-001,
1.017000000000000E+009,5.773293375968933E-001,2.838537096977234E-001,-3.646261096000671E-001,6.833720952272415E-002,-3.591161072254181E-001,4.728247597813606E-002,5.868386626243591E-001,2.848806381225586E-001,
1.064000000000000E+009,5.924268364906311E-001,2.655925452709198E-001,-3.548369705677033E-001,9.348715841770172E-002,-3.474316298961639E-001,9.569332003593445E-002,6.247683763504028E-001,2.068375349044800E-001,
1.111000000000000E+009,6.203832030296326E-001,1.172820106148720E-001,-3.126506209373474E-001,1.479071974754334E-001,-3.220930695533752E-001,1.383191049098969E-001,6.494889259338379E-001,1.283929944038391E-001,
1.158000000000000E+009,6.203199028968811E-001,7.122214883565903E-002,-2.909387350082398E-001,1.968785226345062E-001,-3.048672676086426E-001,1.747338771820068E-001,6.696101427078247E-001,4.295702651143074E-002,
1.205000000000000E+009,6.600768566131592E-001,2.895166911184788E-002,-2.830984592437744E-001,2.268491536378861E-001,-2.722856402397156E-001,2.183365374803543E-001,6.677463054656982E-001,-4.370924085378647E-002,
1.252000000000000E+009,5.932833552360535E-001,-9.691618382930756E-002,-2.172002196311951E-001,2.356072664260864E-001,-2.409233450889587E-001,2.438289374113083E-001,6.657368540763855E-001,-1.260147094726563E-001,
1.299000000000000E+009,6.273474693298340E-001,-1.190617978572846E-001,-1.797774732112885E-001,2.836446166038513E-001,-2.108551561832428E-001,2.813521623611450E-001,6.446900963783264E-001,-2.155849337577820E-001,
1.346000000000000E+009,6.266378164291382E-001,-2.223156988620758E-001,-1.469299495220184E-001,3.114576339721680E-001,-1.613136827945709E-001,2.956642210483551E-001,6.173846125602722E-001,-2.895921766757965E-001,
1.393000000000000E+009,5.415215492248535E-001,-2.645229697227478E-001,-1.191912516951561E-001,2.922298908233643E-001,-1.215269863605499E-001,3.247750401496887E-001,5.789792537689209E-001,-3.732579648494721E-001,
1.440000000000000E+009,5.791441202163696E-001,-3.567226827144623E-001,-5.547690391540527E-002,2.958361804485321E-001,-6.447381526231766E-002,3.320859968662262E-001,5.284432172775269E-001,-4.392301142215729E-001,
1.487000000000000E+009,5.037438273429871E-001,-4.405017495155335E-001,-2.008139342069626E-002,3.129431307315826E-001,-2.765853144228458E-002,3.282348215579987E-001,4.746789336204529E-001,-5.057455301284790E-001,
1.534000000000000E+009,4.546977579593658E-001,-4.471238553524017E-001,-5.413144826889038E-004,3.223830163478851E-001,2.743352204561234E-002,3.322034776210785E-001,4.047894477844238E-001,-5.608932971954346E-001,
1.581000000000000E+009,3.901043534278870E-001,-5.646004080772400E-001,4.131320863962174E-002,2.910408973693848E-001,6.461659073829651E-002,3.040412366390228E-001,3.407594561576843E-001,-6.069533824920654E-001,
1.628000000000000E+009,3.040831089019775E-001,-5.727147459983826E-001,8.857533335685730E-002,2.950629889965057E-001,9.804438799619675E-002,2.948857545852661E-001,2.613795995712280E-001,-6.500657796859741E-001,
1.675000000000000E+009,2.970823049545288E-001,-5.914489626884460E-001,1.123414486646652E-001,2.946604788303375E-001,1.346289217472076E-001,2.794197797775269E-001,1.791674643754959E-001,-6.763421297073364E-001,
1.722000000000000E+009,1.733522266149521E-001,-6.664929389953613E-001,1.521005928516388E-001,2.658016681671143E-001,1.640655100345612E-001,2.612586021423340E-001,9.589187055826187E-002,-6.972669363021851E-001,
1.769000000000000E+009,1.086604222655296E-001,-6.801235675811768E-001,2.030704319477081E-001,2.424471080303192E-001,2.035805881023407E-001,2.333838641643524E-001,8.681572973728180E-003,-7.011750936508179E-001,
1.816000000000000E+009,5.252289772033691E-002,-7.117608785629273E-001,2.256792187690735E-001,2.269352078437805E-001,2.290312945842743E-001,2.015024125576019E-001,-7.414604723453522E-002,-6.971150636672974E-001,
1.863000000000000E+009,-9.880166500806809E-002,-6.891564726829529E-001,2.503420114517212E-001,1.764268279075623E-001,2.510980665683746E-001,1.709035933017731E-001,-1.579371243715286E-001,-6.853534579277039E-001,
1.910000000000000E+009,-1.574040800333023E-001,-6.985241174697876E-001,2.808203697204590E-001,1.391456276178360E-001,2.715740501880646E-001,1.296159029006958E-001,-2.375580370426178E-001,-6.599311232566834E-001,
1.957000000000000E+009,-2.399042993783951E-001,-6.872891187667847E-001,2.916883826255798E-001,1.065048277378082E-001,2.800599634647369E-001,9.476161003112793E-002,-3.143886923789978E-001,-6.293474435806274E-001,
2.004000000000000E+009,-3.483808636665344E-001,-6.012942194938660E-001,2.920289039611816E-001,5.833168327808380E-002,2.901480793952942E-001,5.599498748779297E-002,-3.868864774703980E-001,-5.873579978942871E-001,
2.051000000000000E+009,-4.164123535156250E-001,-6.011234521865845E-001,3.054965138435364E-001,1.647843420505524E-002,2.916265130043030E-001,1.483462378382683E-002,-4.518429934978485E-001,-5.378349423408508E-001,
2.098000000000000E+009,-4.836867451667786E-001,-5.353017449378967E-001,2.969643771648407E-001,-2.307459712028503E-002,2.871614694595337E-001,-1.944587938487530E-002,-5.136723518371582E-001,-4.826116263866425E-001,
2.145000000000000E+009,-5.436254739761353E-001,-4.357003569602966E-001,2.821387648582459E-001,-5.959183722734451E-002,2.806463837623596E-001,-5.991907417774200E-002,-5.658491849899292E-001,-4.186759889125824E-001,
2.192000000000000E+009,-6.125388741493225E-001,-4.074254930019379E-001,2.751770615577698E-001,-1.047068834304810E-001,2.659647762775421E-001,-9.537282586097717E-002,-6.102697849273682E-001,-3.504515290260315E-001,
2.239000000000000E+009,-6.395703554153442E-001,-3.121355772018433E-001,2.543734908103943E-001,-1.320765316486359E-001,2.512683272361755E-001,-1.262168586254120E-001,-6.478165388107300E-001,-2.763259708881378E-001,
2.286000000000000E+009,-6.686782240867615E-001,-2.152877151966095E-001,2.293884009122849E-001,-1.604194790124893E-001,2.288145273923874E-001,-1.586030274629593E-001,-6.744479537010193E-001,-1.999044269323349E-001,
2.333000000000000E+009,-7.134172320365906E-001,-1.587068587541580E-001,2.018770128488541E-001,-1.945159435272217E-001,2.047466933727264E-001,-1.835448592901230E-001,-6.934964656829834E-001,-1.206520944833756E-001,
2.380000000000000E+009,-7.018080949783325E-001,-5.994831770658493E-002,1.785245686769486E-001,-2.125983983278275E-001,1.784125715494156E-001,-2.081013023853302E-001,-7.014912962913513E-001,-3.897259011864662E-002,
2.427000000000000E+009,-7.071345448493958E-001,2.972776070237160E-002,1.450440585613251E-001,-2.295921593904495E-001,1.466687172651291E-001,-2.275114059448242E-001,-7.007377743721008E-001,4.081690311431885E-002,
2.474000000000000E+009,-7.155302166938782E-001,9.999040514230728E-002,1.068275049328804E-001,-2.459189295768738E-001,1.174792051315308E-001,-2.414391338825226E-001,-6.908839941024780E-001,1.217730715870857E-001,
2.521000000000000E+009,-6.756724119186401E-001,1.896514147520065E-001,8.233742415904999E-002,-2.560766637325287E-001,8.294777572154999E-002,-2.541750669479370E-001,-6.718329191207886E-001,1.991725116968155E-001,
2.568000000000000E+009,-6.590198278427124E-001,2.682471871376038E-001,4.441068321466446E-002,-2.595147490501404E-001,4.899331182241440E-002,-2.596136927604675E-001,-6.440317630767822E-001,2.743802964687347E-001,
2.615000000000000E+009,-6.308455467224121E-001,3.365566730499268E-001,7.755087688565254E-003,-2.615745067596436E-001,1.594229973852634E-002,-2.629538476467133E-001,-6.064662933349609E-001,3.464119136333466E-001,
2.662000000000000E+009,-5.698674321174622E-001,4.090007543563843E-001,-2.027836814522743E-002,-2.612838745117188E-001,-1.927415467798710E-002,-2.604070603847504E-001,-5.621949434280396E-001,4.120487570762634E-001,
2.709000000000000E+009,-5.339133739471436E-001,4.715233445167542E-001,-5.541785806417465E-002,-2.493988275527954E-001,-5.147741362452507E-002,-2.539932727813721E-001,-5.108163952827454E-001,4.719710648059845E-001,
2.756000000000000E+009,-4.772672951221466E-001,5.234185457229614E-001,-8.772994577884674E-002,-2.412768304347992E-001,-8.367674052715302E-002,-2.442197799682617E-001,-4.530032277107239E-001,5.262168049812317E-001,
2.803000000000000E+009,-4.024705290794373E-001,5.765215158462524E-001,-1.153083443641663E-001,-2.293362170457840E-001,-1.140603125095367E-001,-2.288869619369507E-001,-3.895198702812195E-001,5.727390646934509E-001,
2.850000000000000E+009,-3.513263165950775E-001,6.175205707550049E-001,-1.417381018400192E-001,-2.056000530719757E-001,-1.411759406328201E-001,-2.114692032337189E-001,-3.204539716243744E-001,6.126354336738586E-001,
2.897000000000000E+009,-2.737734913825989E-001,6.479577422142029E-001,-1.673586815595627E-001,-1.873710453510284E-001,-1.664602160453796E-001,-1.900057494640350E-001,-2.469511628150940E-001,6.440131664276123E-001,
2.944000000000000E+009,-1.922749131917954E-001,6.770135164260864E-001,-1.881758421659470E-001,-1.656859517097473E-001,-1.875238269567490E-001,-1.657853573560715E-001,-1.703327596187592E-001,6.658261418342590E-001,
2.991000000000000E+009,-1.326197683811188E-001,6.917884349822998E-001,-2.028705775737763E-001,-1.375334709882736E-001,-2.050656229257584E-001,-1.414315700531006E-001,-9.070555865764618E-002,6.771873235702515E-001,
3.038000000000000E+009,-4.527264460921288E-002,6.937300562858582E-001,-2.222558557987213E-001,-1.121503412723541E-001,-2.218582034111023E-001,-1.144553273916245E-001,-1.291697472333908E-002,6.780545115470886E-001,
3.085000000000000E+009,3.034308180212975E-002,6.969245672225952E-001,-2.346171438694000E-001,-8.414924889802933E-002,-2.350252270698547E-001,-8.445973694324493E-002,6.392947584390640E-002,6.709291338920593E-001,
3.132000000000000E+009,8.738230168819428E-002,6.886988282203674E-001,-2.403583973646164E-001,-5.159450322389603E-002,-2.442822158336639E-001,-5.307908356189728E-002,1.405001580715179E-001,6.549422144889832E-001,
3.179000000000000E+009,1.754188686609268E-001,6.654452681541443E-001,-2.484681159257889E-001,-1.710950024425983E-002,-2.484920173883438E-001,-1.941928081214428E-002,2.127819061279297E-001,6.294814944267273E-001,
3.226000000000000E+009,2.400168627500534E-001,6.488254666328430E-001,-2.455523908138275E-001,1.347816828638315E-002,-2.464383989572525E-001,1.366482861340046E-002,2.816919684410095E-001,5.944921374320984E-001,
3.273000000000000E+009,2.928186058998108E-001,6.199663281440735E-001,-2.368436902761459E-001,4.466835036873817E-002,-2.405182719230652E-001,4.499548673629761E-002,3.427684009075165E-001,5.516194701194763E-001,
3.320000000000000E+009,3.726828098297119E-001,5.730496644973755E-001,-2.300994396209717E-001,7.558841258287430E-002,-2.303853929042816E-001,7.362175732851028E-002,3.950641155242920E-001,5.068577527999878E-001,
3.367000000000000E+009,4.230648577213287E-001,5.426383614540100E-001,-2.191438078880310E-001,9.815017879009247E-002,-2.199462205171585E-001,9.954081475734711E-002,4.460275769233704E-001,4.578654766082764E-001,
3.414000000000000E+009,4.690246582031250E-001,4.913654029369354E-001,-2.045867741107941E-001,1.256540715694428E-001,-2.078061848878861E-001,1.265031546354294E-001,4.930474758148193E-001,4.028459191322327E-001,
3.461000000000000E+009,5.296300053596497E-001,4.203803837299347E-001,-1.892699897289276E-001,1.546922624111176E-001,-1.905229985713959E-001,1.535429209470749E-001,5.338272452354431E-001,3.414487242698669E-001,
3.508000000000000E+009,5.609023571014404E-001,3.789471685886383E-001,-1.698929965496063E-001,1.759295612573624E-001,-1.702269464731216E-001,1.784560829401016E-001,5.669075846672058E-001,2.743946909904480E-001,
3.555000000000000E+009,5.905889272689819E-001,3.088544905185700E-001,-1.429775655269623E-001,1.987630724906921E-001,-1.454858630895615E-001,2.012269645929337E-001,5.904934406280518E-001,2.038662433624268E-001,
3.602000000000000E+009,6.212993860244751E-001,2.271739542484283E-001,-1.144413799047470E-001,2.194770127534866E-001,-1.159326508641243E-001,2.194153964519501E-001,6.052926182746887E-001,1.305492818355560E-001,
3.649000000000000E+009,6.344790458679199E-001,1.827448457479477E-001,-8.561846613883972E-002,2.308558076620102E-001,-8.442629128694534E-002,2.334459573030472E-001,6.090731024742127E-001,5.697381496429443E-002,
3.696000000000000E+009,6.378120779991150E-001,1.003756672143936E-001,-4.918604344129562E-002,2.387247383594513E-001,-4.893536865711212E-002,2.414509803056717E-001,6.028277277946472E-001,-1.423082314431667E-002,
3.743000000000000E+009,6.401575803756714E-001,2.767851762473583E-002,-1.470924727618694E-002,2.404358237981796E-001,-1.550069078803062E-002,2.408031225204468E-001,5.895763635635376E-001,-8.155427873134613E-002,
3.790000000000000E+009,6.441777944564819E-001,-1.475256308913231E-002,1.100556552410126E-002,2.350757420063019E-001,1.304284669458866E-002,2.365663349628449E-001,5.735070705413818E-001,-1.447845101356506E-001,
3.837000000000000E+009,6.277131438255310E-001,-9.802994877099991E-002,3.718112409114838E-002,2.292423248291016E-001,3.886374086141586E-002,2.308683991432190E-001,5.532377958297730E-001,-2.103062570095062E-001,
3.884000000000000E+009,6.151627898216248E-001,-1.673828959465027E-001,6.471601128578186E-002,2.279282808303833E-001,6.477123498916626E-002,2.280447483062744E-001,5.222410559654236E-001,-2.784632444381714E-001,
3.931000000000000E+009,5.993490219116211E-001,-2.246206253767014E-001,9.170544147491455E-002,2.227595299482346E-001,9.440603852272034E-002,2.217494398355484E-001,4.797809720039368E-001,-3.407549858093262E-001,
3.978000000000000E+009,5.470995903015137E-001,-2.956753075122833E-001,1.226881518959999E-001,2.079646885395050E-001,1.238257363438606E-001,2.087838053703308E-001,4.288812577724457E-001,-3.958930969238281E-001,
4.025000000000000E+009,5.148857235908508E-001,-3.493787348270416E-001,1.524951159954071E-001,1.930927187204361E-001,1.520897746086121E-001,1.928777247667313E-001,3.707877695560455E-001,-4.427654147148132E-001,
4.072000000000000E+009,4.771240353584290E-001,-3.987682163715363E-001,1.765739023685455E-001,1.739203780889511E-001,1.783462166786194E-001,1.706062257289887E-001,3.081204891204834E-001,-4.812289178371429E-001,
4.119000000000000E+009,4.107639789581299E-001,-4.445539712905884E-001,1.997079551219940E-001,1.454066634178162E-001,2.004420161247253E-001,1.460862159729004E-001,2.415274977684021E-001,-5.108457207679749E-001,
4.166000000000000E+009,3.665676116943359E-001,-4.902031719684601E-001,2.214411348104477E-001,1.186947375535965E-001,2.203065305948257E-001,1.181066557765007E-001,1.728342622518539E-001,-5.311962962150574E-001,
4.213000000000000E+009,3.065463602542877E-001,-5.267158150672913E-001,2.348792254924774E-001,8.879210799932480E-002,2.343924194574356E-001,8.560542017221451E-002,1.033477336168289E-001,-5.432041883468628E-001,
4.260000000000000E+009,2.302042841911316E-001,-5.463390946388245E-001,2.441024035215378E-001,5.318234115839005E-002,2.448378354310989E-001,5.344643443822861E-002,3.295624256134033E-002,-5.466513037681580E-001,
4.307000000000000E+009,1.697096079587936E-001,-5.747915506362915E-001,2.523786723613739E-001,1.978781074285507E-002,2.500745058059692E-001,1.924000680446625E-002,-3.676950186491013E-002,-5.409181714057922E-001,
4.354000000000000E+009,9.751947224140167E-002,-5.831575393676758E-001,2.518271505832672E-001,-1.472608745098114E-002,2.504431009292603E-001,-1.578471250832081E-002,-1.049290895462036E-001,-5.274834632873535E-001,
4.401000000000000E+009,2.486425824463368E-002,-5.752410292625427E-001,2.459054738283157E-001,-4.962497949600220E-002,2.464690506458283E-001,-4.962228611111641E-002,-1.706349700689316E-001,-5.050192475318909E-001,
4.448000000000000E+009,-4.348815232515335E-002,-5.795742273330689E-001,2.390037626028061E-001,-8.445336669683456E-002,2.367195487022400E-001,-8.367863297462463E-002,-2.325121015310288E-001,-4.745538234710693E-001,
4.495000000000000E+009,-1.107781454920769E-001,-5.590139627456665E-001,2.241110056638718E-001,-1.159706860780716E-001,2.226393073797226E-001,-1.155857965350151E-001,-2.899053096771240E-001,-4.373291134834290E-001,
4.542000000000000E+009,-1.733417212963104E-001,-5.305354595184326E-001,2.044179290533066E-001,-1.451324373483658E-001,2.049676924943924E-001,-1.451217979192734E-001,-3.412770032882690E-001,-3.932850956916809E-001,
4.589000000000000E+009,-2.388731241226196E-001,-5.092602372169495E-001,1.821314245462418E-001,-1.739809662103653E-001,1.815069019794464E-001,-1.720604896545410E-001,-3.863480091094971E-001,-3.432573676109314E-001,
4.636000000000000E+009,-2.896334528923035E-001,-4.678218662738800E-001,1.571661382913590E-001,-1.952526122331619E-001,1.561699062585831E-001,-1.945421993732452E-001,-4.246800243854523E-001,-2.883102893829346E-001,
