% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S12,im:Trc3_S12,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+008,7.113880664110184E-002,1.585784927010536E-002,2.242616713047028E-001,-9.482177495956421E-001,2.274499386548996E-001,-9.478859901428223E-001,8.328415453433991E-002,-2.042714506387711E-003,
5.470000000000000E+008,1.038198992609978E-001,-2.725240774452686E-003,1.041612923145294E-001,-9.700933694839478E-001,1.045104116201401E-001,-9.718031883239746E-001,8.726594597101212E-002,1.623640209436417E-002,
5.940000000000000E+008,1.059484034776688E-001,1.123865786939859E-002,-1.875815913081169E-002,-9.689408540725708E-001,-1.744615659117699E-002,-9.727624058723450E-001,1.102595552802086E-001,-1.636973023414612E-002,
6.410000000000000E+008,9.037593752145767E-002,-1.681305281817913E-002,-1.398029029369354E-001,-9.687377214431763E-001,-1.384214609861374E-001,-9.654038548469544E-001,8.659332245588303E-002,-2.224330604076386E-002,
6.880000000000000E+008,1.168828979134560E-001,-4.077954217791557E-002,-2.606554031372070E-001,-9.384152889251709E-001,-2.601943612098694E-001,-9.382276535034180E-001,1.127014458179474E-001,-2.499724924564362E-002,
7.350000000000000E+008,1.127805933356285E-001,-3.261220455169678E-002,-3.687468469142914E-001,-8.959435224533081E-001,-3.734634220600128E-001,-8.988152146339417E-001,9.665980935096741E-002,-6.160908192396164E-002,
7.820000000000000E+008,9.050236642360687E-002,-6.024107336997986E-002,-4.889093935489655E-001,-8.475501537322998E-001,-4.848850965499878E-001,-8.457621335983276E-001,9.207100421190262E-002,-4.722926020622253E-002,
8.290000000000000E+008,1.061456799507141E-001,-8.596973121166229E-002,-5.838425755500794E-001,-7.750445008277893E-001,-5.845192670822144E-001,-7.763134241104126E-001,1.045417562127113E-001,-8.087439835071564E-002,
8.760000000000000E+008,9.597743302583695E-002,-7.941123843193054E-002,-6.813248395919800E-001,-6.958628296852112E-001,-6.771911978721619E-001,-7.001684308052063E-001,7.116883248090744E-002,-8.676443248987198E-002,
9.230000000000000E+008,6.946174055337906E-002,-9.975564479827881E-002,-7.662479281425476E-001,-6.047860383987427E-001,-7.614241242408752E-001,-6.057498455047607E-001,8.565459400415421E-002,-8.757955580949783E-002,
9.700000000000000E+008,7.066281139850617E-002,-1.250400543212891E-001,-8.228871822357178E-001,-5.094830393791199E-001,-8.276827931404114E-001,-5.090555548667908E-001,6.150007247924805E-002,-1.187818199396133E-001,
1.017000000000000E+009,5.704234540462494E-002,-1.155394762754440E-001,-8.880677223205566E-001,-3.802533149719238E-001,-8.895033001899719E-001,-4.008133709430695E-001,5.005548521876335E-002,-1.008386686444283E-001,
1.064000000000000E+009,3.131083026528359E-002,-1.243986487388611E-001,-9.299058914184570E-001,-2.764911949634552E-001,-9.302392601966858E-001,-2.834015786647797E-001,5.051254481077194E-002,-1.260622292757034E-001,
1.111000000000000E+009,1.081530284136534E-002,-1.405026763677597E-001,-9.490346908569336E-001,-1.670499593019486E-001,-9.571811556816101E-001,-1.661734730005264E-001,1.534127537161112E-002,-1.264560073614121E-001,
1.158000000000000E+009,6.365368608385325E-003,-1.357664614915848E-001,-9.500666856765747E-001,-3.858711570501328E-002,-9.687393903732300E-001,-4.337557405233383E-002,1.861359924077988E-002,-1.167659014463425E-001,
1.205000000000000E+009,-1.312912907451391E-003,-1.278497427701950E-001,-9.528594017028809E-001,8.275020122528076E-002,-9.599109888076782E-001,7.847535610198975E-002,5.025557242333889E-003,-1.383688300848007E-001,
1.252000000000000E+009,-3.945352137088776E-002,-1.036174073815346E-001,-9.302572011947632E-001,1.728847324848175E-001,-9.389366507530212E-001,1.858936399221420E-001,-3.388735651969910E-002,-1.165579110383987E-001,
1.299000000000000E+009,-6.609863042831421E-002,-1.352483183145523E-001,-9.096676707267761E-001,2.781734764575958E-001,-9.135542511940002E-001,2.957421243190765E-001,6.821823772042990E-003,-1.227266490459442E-001,
1.346000000000000E+009,-2.805839478969574E-002,-1.646441519260407E-001,-8.679400682449341E-001,3.902708292007446E-001,-8.850529789924622E-001,3.922953903675079E-001,-7.727799564599991E-002,-1.346529722213745E-001,
1.393000000000000E+009,-2.548921480774880E-002,-8.283992111682892E-002,-8.575428724288940E-001,5.048019289970398E-001,-8.511727452278137E-001,5.196496248245239E-001,-1.413375884294510E-002,-8.465554565191269E-002,
1.440000000000000E+009,-1.360920220613480E-001,-6.972763687372208E-002,-7.986690998077393E-001,6.222108006477356E-001,-7.758865356445313E-001,6.318657398223877E-001,-9.246922284364700E-002,-1.530336588621140E-001,
1.487000000000000E+009,-1.544713675975800E-001,-1.542610377073288E-001,-7.077395915985107E-001,7.359601855278015E-001,-6.968142986297607E-001,7.502011656761169E-001,-6.311395764350891E-002,-5.136183276772499E-002,
1.534000000000000E+009,-5.901423096656799E-002,-9.743483364582062E-002,-5.885662436485291E-001,8.445540666580200E-001,-5.684527754783630E-001,8.366734385490418E-001,-8.097834885120392E-002,-1.353826522827148E-001,
1.581000000000000E+009,-1.290016770362854E-001,6.946249864995480E-003,-4.641587436199188E-001,9.065906405448914E-001,-4.592456519603729E-001,8.969822525978088E-001,-1.148686930537224E-001,-4.581342637538910E-002,
1.628000000000000E+009,-1.911134272813797E-001,-4.135360196232796E-002,-3.277747929096222E-001,9.638807773590088E-001,-3.243146538734436E-001,9.486154317855835E-001,-6.666637957096100E-002,-8.590155839920044E-002,
1.675000000000000E+009,-1.042096540331841E-001,-5.839121341705322E-002,-2.044250816106796E-001,9.794144034385681E-001,-2.006548792123795E-001,9.654372930526733E-001,-1.367903202772141E-001,-5.560931935906410E-002,
