% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-1.953197866678238E-001,6.456440687179565E-001,-5.764396190643311E-001,-1.778853088617325E-001,-1.953197866678238E-001,6.456440687179565E-001,-5.764396190643311E-001,-1.778853088617325E-001,
6.983666666666666E+008,-1.665634512901306E-001,6.536347270011902E-001,-5.882036089897156E-001,-1.531030833721161E-001,-1.665634512901306E-001,6.536347270011902E-001,-5.882036089897156E-001,-1.531030833721161E-001,
7.067333333333334E+008,-1.491094529628754E-001,6.606193184852600E-001,-5.876390933990479E-001,-1.337424665689468E-001,-1.491094529628754E-001,6.606193184852600E-001,-5.876390933990479E-001,-1.337424665689468E-001,
7.151000000000000E+008,-1.401292830705643E-001,6.681352257728577E-001,-5.996553897857666E-001,-1.059535518288612E-001,-1.401292830705643E-001,6.681352257728577E-001,-5.996553897857666E-001,-1.059535518288612E-001,
7.234666666666666E+008,-1.103749349713326E-001,6.742483973503113E-001,-5.889431834220886E-001,-8.316637575626373E-002,-1.103749349713326E-001,6.742483973503113E-001,-5.889431834220886E-001,-8.316637575626373E-002,
7.318333333333334E+008,-9.534288942813873E-002,6.882008910179138E-001,-5.821481347084045E-001,-6.932522356510162E-002,-9.534288942813873E-002,6.882008910179138E-001,-5.821481347084045E-001,-6.932522356510162E-002,
7.402000000000000E+008,-7.471491396427155E-002,6.885484457015991E-001,-5.646566152572632E-001,-5.084014683961868E-002,-7.471491396427155E-002,6.885484457015991E-001,-5.646566152572632E-001,-5.084014683961868E-002,
7.485666666666666E+008,-6.447646021842957E-002,6.927337050437927E-001,-5.633766651153565E-001,-4.256818071007729E-002,-6.447646021842957E-002,6.927337050437927E-001,-5.633766651153565E-001,-4.256818071007729E-002,
7.569333333333334E+008,-4.039262235164642E-002,6.982935070991516E-001,-5.676981806755066E-001,-3.014468774199486E-002,-4.039262235164642E-002,6.982935070991516E-001,-5.676981806755066E-001,-3.014468774199486E-002,
7.653000000000000E+008,-1.228202320635319E-002,7.001440525054932E-001,-5.591665506362915E-001,-2.128204330801964E-002,-1.228202320635319E-002,7.001440525054932E-001,-5.591665506362915E-001,-2.128204330801964E-002,
7.736666666666666E+008,2.330054901540279E-002,7.057307958602905E-001,-5.659275054931641E-001,-5.904686986468732E-004,2.330054901540279E-002,7.057307958602905E-001,-5.659275054931641E-001,-5.904686986468732E-004,
7.820333333333334E+008,3.709069266915321E-002,7.083984017372131E-001,-5.713058114051819E-001,2.722197398543358E-002,3.709069266915321E-002,7.083984017372131E-001,-5.713058114051819E-001,2.722197398543358E-002,
7.904000000000000E+008,6.237781047821045E-002,7.220273613929749E-001,-5.683830380439758E-001,3.643810749053955E-002,6.237781047821045E-002,7.220273613929749E-001,-5.683830380439758E-001,3.643810749053955E-002,
7.987666666666666E+008,8.468032628297806E-002,7.063300609588623E-001,-5.649093985557556E-001,5.947150662541390E-002,8.468032628297806E-002,7.063300609588623E-001,-5.649093985557556E-001,5.947150662541390E-002,
8.071333333333334E+008,1.001834422349930E-001,7.243058085441589E-001,-5.652528405189514E-001,7.577551156282425E-002,1.001834422349930E-001,7.243058085441589E-001,-5.652528405189514E-001,7.577551156282425E-002,
8.155000000000000E+008,1.261232495307922E-001,7.116401791572571E-001,-5.458397269248962E-001,9.564616531133652E-002,1.261232495307922E-001,7.116401791572571E-001,-5.458397269248962E-001,9.564616531133652E-002,
8.238666666666666E+008,1.463010758161545E-001,7.128871083259583E-001,-5.474044084548950E-001,1.227542459964752E-001,1.463010758161545E-001,7.128871083259583E-001,-5.474044084548950E-001,1.227542459964752E-001,
8.322333333333334E+008,1.707068234682083E-001,7.054244279861450E-001,-5.306433439254761E-001,1.263601779937744E-001,1.707068234682083E-001,7.054244279861450E-001,-5.306433439254761E-001,1.263601779937744E-001,
8.406000000000000E+008,1.921055912971497E-001,7.023940086364746E-001,-5.220848917961121E-001,1.375402510166168E-001,1.921055912971497E-001,7.023940086364746E-001,-5.220848917961121E-001,1.375402510166168E-001,
8.489666666666668E+008,2.127573490142822E-001,6.982039809226990E-001,-5.057263970375061E-001,1.595819890499115E-001,2.127573490142822E-001,6.982039809226990E-001,-5.057263970375061E-001,1.595819890499115E-001,
