% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-6.344687193632126E-002,8.063840270042419E-001,-4.861615300178528E-001,-7.750374823808670E-002,-6.344687193632126E-002,8.063840270042419E-001,-4.861615300178528E-001,-7.750374823808670E-002,
6.983666666666666E+008,-2.870403975248337E-002,8.019646406173706E-001,-4.905740618705750E-001,-5.385773256421089E-002,-2.870403975248337E-002,8.019646406173706E-001,-4.905740618705750E-001,-5.385773256421089E-002,
7.067333333333334E+008,-6.786067504435778E-003,8.082826733589172E-001,-4.891001880168915E-001,-3.602496162056923E-002,-6.786067504435778E-003,8.082826733589172E-001,-4.891001880168915E-001,-3.602496162056923E-002,
7.151000000000000E+008,6.449560634791851E-003,8.097980022430420E-001,-4.905262291431427E-001,-1.721479929983616E-002,6.449560634791851E-003,8.097980022430420E-001,-4.905262291431427E-001,-1.721479929983616E-002,
7.234666666666666E+008,4.328122362494469E-002,8.044305443763733E-001,-4.802448749542236E-001,1.427772222086787E-003,4.328122362494469E-002,8.044305443763733E-001,-4.802448749542236E-001,1.427772222086787E-003,
7.318333333333334E+008,5.639289692044258E-002,8.041475415229797E-001,-4.696178436279297E-001,1.012440025806427E-002,5.639289692044258E-002,8.041475415229797E-001,-4.696178436279297E-001,1.012440025806427E-002,
7.402000000000000E+008,8.265989273786545E-002,8.026524186134338E-001,-4.512212872505188E-001,2.059750817716122E-002,8.265989273786545E-002,8.026524186134338E-001,-4.512212872505188E-001,2.059750817716122E-002,
7.485666666666666E+008,8.664325624704361E-002,8.087048530578613E-001,-4.555980563163757E-001,2.706276997923851E-002,8.664325624704361E-002,8.087048530578613E-001,-4.555980563163757E-001,2.706276997923851E-002,
7.569333333333334E+008,1.131564825773239E-001,8.034960031509399E-001,-4.558141231536865E-001,3.240483626723290E-002,1.131564825773239E-001,8.034960031509399E-001,-4.558141231536865E-001,3.240483626723290E-002,
7.653000000000000E+008,1.385697871446610E-001,7.977840304374695E-001,-4.480908215045929E-001,4.299329593777657E-002,1.385697871446610E-001,7.977840304374695E-001,-4.480908215045929E-001,4.299329593777657E-002,
7.736666666666666E+008,1.776650995016098E-001,7.976629734039307E-001,-4.503715932369232E-001,5.813132226467133E-002,1.776650995016098E-001,7.976629734039307E-001,-4.503715932369232E-001,5.813132226467133E-002,
7.820333333333334E+008,1.994512826204300E-001,7.962073087692261E-001,-4.501831233501434E-001,8.295059949159622E-002,1.994512826204300E-001,7.962073087692261E-001,-4.501831233501434E-001,8.295059949159622E-002,
7.904000000000000E+008,2.267509102821350E-001,8.000097870826721E-001,-4.463424086570740E-001,8.979516476392746E-002,2.267509102821350E-001,8.000097870826721E-001,-4.463424086570740E-001,8.979516476392746E-002,
7.987666666666666E+008,2.477201670408249E-001,7.793222665786743E-001,-4.391577243804932E-001,1.081208288669586E-001,2.477201670408249E-001,7.793222665786743E-001,-4.391577243804932E-001,1.081208288669586E-001,
8.071333333333334E+008,2.687858343124390E-001,7.966312170028687E-001,-4.380696713924408E-001,1.231547892093658E-001,2.687858343124390E-001,7.966312170028687E-001,-4.380696713924408E-001,1.231547892093658E-001,
8.155000000000000E+008,2.943530976772308E-001,7.742105126380920E-001,-4.186501801013947E-001,1.287662237882614E-001,2.943530976772308E-001,7.742105126380920E-001,-4.186501801013947E-001,1.287662237882614E-001,
8.238666666666666E+008,3.100072443485260E-001,7.677310705184937E-001,-4.161870777606964E-001,1.503804326057434E-001,3.100072443485260E-001,7.677310705184937E-001,-4.161870777606964E-001,1.503804326057434E-001,
8.322333333333334E+008,3.326518535614014E-001,7.572878599166870E-001,-4.064126610755920E-001,1.495489329099655E-001,3.326518535614014E-001,7.572878599166870E-001,-4.064126610755920E-001,1.495489329099655E-001,
8.406000000000000E+008,3.565047383308411E-001,7.496773600578308E-001,-3.978359997272492E-001,1.581476032733917E-001,3.565047383308411E-001,7.496773600578308E-001,-3.978359997272492E-001,1.581476032733917E-001,
8.489666666666668E+008,3.761234283447266E-001,7.343592047691345E-001,-3.808989524841309E-001,1.739514321088791E-001,3.761234283447266E-001,7.343592047691345E-001,-3.808989524841309E-001,1.739514321088791E-001,
8.573333333333334E+008,3.909936547279358E-001,7.358067035675049E-001,-3.849337995052338E-001,1.766611188650131E-001,3.909936547279358E-001,7.358067035675049E-001,-3.849337995052338E-001,1.766611188650131E-001,
8.657000000000000E+008,4.229514002799988E-001,7.251704335212708E-001,-3.839795589447022E-001,1.810746043920517E-001,4.229514002799988E-001,7.251704335212708E-001,-3.839795589447022E-001,1.810746043920517E-001,
8.740666666666668E+008,4.546645581722260E-001,7.032908797264099E-001,-3.730512857437134E-001,1.950918734073639E-001,4.546645581722260E-001,7.032908797264099E-001,-3.730512857437134E-001,1.950918734073639E-001,
8.824333333333334E+008,4.612794220447540E-001,6.949279308319092E-001,-3.676035106182098E-001,2.102404087781906E-001,4.612794220447540E-001,6.949279308319092E-001,-3.676035106182098E-001,2.102404087781906E-001,
8.908000000000000E+008,4.910329282283783E-001,6.856212019920349E-001,-3.728691637516022E-001,2.111334353685379E-001,4.910329282283783E-001,6.856212019920349E-001,-3.728691637516022E-001,2.111334353685379E-001,
8.991666666666668E+008,5.013635158538818E-001,6.671454310417175E-001,-3.472624719142914E-001,2.197530567646027E-001,5.013635158538818E-001,6.671454310417175E-001,-3.472624719142914E-001,2.197530567646027E-001,
9.075333333333334E+008,5.264164805412293E-001,6.450187563896179E-001,-3.420101404190064E-001,2.346939295530319E-001,5.264164805412293E-001,6.450187563896179E-001,-3.420101404190064E-001,2.346939295530319E-001,
9.159000000000000E+008,5.379568934440613E-001,6.394394636154175E-001,-3.269340693950653E-001,2.396893650293350E-001,5.379568934440613E-001,6.394394636154175E-001,-3.269340693950653E-001,2.396893650293350E-001,
9.242666666666668E+008,5.525256991386414E-001,6.377088427543640E-001,-3.174971640110016E-001,2.526716887950897E-001,5.525256991386414E-001,6.377088427543640E-001,-3.174971640110016E-001,2.526716887950897E-001,
9.326333333333334E+008,5.737630128860474E-001,6.190280914306641E-001,-3.159839808940888E-001,2.597914338111877E-001,5.737630128860474E-001,6.190280914306641E-001,-3.159839808940888E-001,2.597914338111877E-001,
9.410000000000000E+008,5.880482196807861E-001,6.065745353698731E-001,-3.009168207645416E-001,2.556353509426117E-001,5.880482196807861E-001,6.065745353698731E-001,-3.009168207645416E-001,2.556353509426117E-001,
9.493666666666668E+008,6.039814352989197E-001,5.915774703025818E-001,-3.001320362091065E-001,2.623340487480164E-001,6.039814352989197E-001,5.915774703025818E-001,-3.001320362091065E-001,2.623340487480164E-001,
9.577333333333334E+008,6.251202821731567E-001,5.556750297546387E-001,-2.818737924098969E-001,2.651505768299103E-001,6.251202821731567E-001,5.556750297546387E-001,-2.818737924098969E-001,2.651505768299103E-001,
9.661000000000000E+008,6.490353941917419E-001,5.554729700088501E-001,-2.870732843875885E-001,2.766293585300446E-001,6.490353941917419E-001,5.554729700088501E-001,-2.870732843875885E-001,2.766293585300446E-001,
9.744666666666668E+008,6.640249490737915E-001,5.357837080955505E-001,-2.709450125694275E-001,2.762484848499298E-001,6.640249490737915E-001,5.357837080955505E-001,-2.709450125694275E-001,2.762484848499298E-001,
9.828333333333334E+008,6.817775964736939E-001,5.120386481285095E-001,-2.658510208129883E-001,2.904174327850342E-001,6.817775964736939E-001,5.120386481285095E-001,-2.658510208129883E-001,2.904174327850342E-001,
9.912000000000000E+008,6.946769952774048E-001,4.902538061141968E-001,-2.522818148136139E-001,2.942571640014648E-001,6.946769952774048E-001,4.902538061141968E-001,-2.522818148136139E-001,2.942571640014648E-001,
9.995666666666668E+008,7.046284675598145E-001,4.755427837371826E-001,-2.458762526512146E-001,3.133821189403534E-001,7.046284675598145E-001,4.755427837371826E-001,-2.458762526512146E-001,3.133821189403534E-001,
1.007933333333333E+009,7.177236676216126E-001,4.418630599975586E-001,-2.367194443941116E-001,3.164437413215637E-001,7.177236676216126E-001,4.418630599975586E-001,-2.367194443941116E-001,3.164437413215637E-001,
1.016300000000000E+009,7.214022278785706E-001,4.358496963977814E-001,-2.205732911825180E-001,3.100872635841370E-001,7.214022278785706E-001,4.358496963977814E-001,-2.205732911825180E-001,3.100872635841370E-001,
1.024666666666667E+009,7.429972887039185E-001,4.221936166286469E-001,-2.129820436239243E-001,3.223091959953308E-001,7.429972887039185E-001,4.221936166286469E-001,-2.129820436239243E-001,3.223091959953308E-001,
1.033033333333333E+009,7.485648989677429E-001,4.016272127628326E-001,-2.035485208034515E-001,3.211947679519653E-001,7.485648989677429E-001,4.016272127628326E-001,-2.035485208034515E-001,3.211947679519653E-001,
1.041400000000000E+009,7.592748999595642E-001,3.878925442695618E-001,-1.946525722742081E-001,3.245429694652557E-001,7.592748999595642E-001,3.878925442695618E-001,-1.946525722742081E-001,3.245429694652557E-001,
1.049766666666667E+009,7.631052732467651E-001,3.775896728038788E-001,-1.852555871009827E-001,3.216843307018280E-001,7.631052732467651E-001,3.775896728038788E-001,-1.852555871009827E-001,3.216843307018280E-001,
1.058133333333333E+009,7.818309068679810E-001,3.497682213783264E-001,-1.750677973031998E-001,3.249784409999847E-001,7.818309068679810E-001,3.497682213783264E-001,-1.750677973031998E-001,3.249784409999847E-001,
1.066500000000000E+009,7.937340736389160E-001,3.267851173877716E-001,-1.692092120647430E-001,3.279597163200378E-001,7.937340736389160E-001,3.267851173877716E-001,-1.692092120647430E-001,3.279597163200378E-001,
1.074866666666667E+009,8.040407299995422E-001,2.943324744701386E-001,-1.622718721628189E-001,3.362588882446289E-001,8.040407299995422E-001,2.943324744701386E-001,-1.622718721628189E-001,3.362588882446289E-001,
1.083233333333334E+009,8.141826987266541E-001,2.722248435020447E-001,-1.510786712169647E-001,3.392532765865326E-001,8.141826987266541E-001,2.722248435020447E-001,-1.510786712169647E-001,3.392532765865326E-001,
1.091600000000000E+009,8.184171319007874E-001,2.491516321897507E-001,-1.398205012083054E-001,3.483027517795563E-001,8.184171319007874E-001,2.491516321897507E-001,-1.398205012083054E-001,3.483027517795563E-001,
1.099966666666667E+009,8.153959512710571E-001,2.177125811576843E-001,-1.279099434614182E-001,3.441787362098694E-001,8.153959512710571E-001,2.177125811576843E-001,-1.279099434614182E-001,3.441787362098694E-001,
1.108333333333334E+009,8.346221446990967E-001,2.101390361785889E-001,-1.197445094585419E-001,3.490630984306335E-001,8.346221446990967E-001,2.101390361785889E-001,-1.197445094585419E-001,3.490630984306335E-001,
1.116700000000000E+009,8.416046500205994E-001,1.804605871438980E-001,-9.798210859298706E-002,3.511552810668945E-001,8.416046500205994E-001,1.804605871438980E-001,-9.798210859298706E-002,3.511552810668945E-001,
1.125066666666667E+009,8.446994423866272E-001,1.615480035543442E-001,-9.006597101688385E-002,3.501882851123810E-001,8.446994423866272E-001,1.615480035543442E-001,-9.006597101688385E-002,3.501882851123810E-001,
1.133433333333334E+009,8.545110225677490E-001,1.427716761827469E-001,-7.869831472635269E-002,3.447234332561493E-001,8.545110225677490E-001,1.427716761827469E-001,-7.869831472635269E-002,3.447234332561493E-001,
1.141800000000000E+009,8.572410941123962E-001,1.219783201813698E-001,-6.634836643934250E-002,3.421333730220795E-001,8.572410941123962E-001,1.219783201813698E-001,-6.634836643934250E-002,3.421333730220795E-001,
1.150166666666667E+009,8.570691943168640E-001,9.954895824193955E-002,-7.098370790481567E-002,3.433606326580048E-001,8.570691943168640E-001,9.954895824193955E-002,-7.098370790481567E-002,3.433606326580048E-001,
1.158533333333334E+009,8.650678992271423E-001,8.273946493864059E-002,-6.582388281822205E-002,3.431740701198578E-001,8.650678992271423E-001,8.273946493864059E-002,-6.582388281822205E-002,3.431740701198578E-001,
1.166900000000000E+009,8.730756044387817E-001,4.207941517233849E-002,-5.118634924292564E-002,3.446656763553619E-001,8.730756044387817E-001,4.207941517233849E-002,-5.118634924292564E-002,3.446656763553619E-001,
1.175266666666667E+009,8.616603612899780E-001,2.065498754382134E-002,-5.202020332217217E-002,3.475517332553864E-001,8.616603612899780E-001,2.065498754382134E-002,-5.202020332217217E-002,3.475517332553864E-001,
1.183633333333334E+009,8.587424159049988E-001,4.283343441784382E-004,-3.859847784042358E-002,3.538775444030762E-001,8.587424159049988E-001,4.283343441784382E-004,-3.859847784042358E-002,3.538775444030762E-001,
1.192000000000000E+009,8.619810938835144E-001,-2.332346513867378E-002,-2.335870824754238E-002,3.609977066516876E-001,8.619810938835144E-001,-2.332346513867378E-002,-2.335870824754238E-002,3.609977066516876E-001,
1.200366666666667E+009,8.526551127433777E-001,-4.496558383107185E-002,-1.033935602754355E-002,3.616541028022766E-001,8.526551127433777E-001,-4.496558383107185E-002,-1.033935602754355E-002,3.616541028022766E-001,
1.208733333333334E+009,8.488368391990662E-001,-4.911526292562485E-002,7.708233315497637E-003,3.584442436695099E-001,8.488368391990662E-001,-4.911526292562485E-002,7.708233315497637E-003,3.584442436695099E-001,
1.217100000000000E+009,8.554649949073792E-001,-7.649831473827362E-002,2.057499811053276E-002,3.511781692504883E-001,8.554649949073792E-001,-7.649831473827362E-002,2.057499811053276E-002,3.511781692504883E-001,
1.225466666666667E+009,8.555254936218262E-001,-1.062627807259560E-001,3.107545711100102E-002,3.437352478504181E-001,8.555254936218262E-001,-1.062627807259560E-001,3.107545711100102E-002,3.437352478504181E-001,
1.233833333333334E+009,8.618846535682678E-001,-1.286027580499649E-001,3.716286644339562E-002,3.375274837017059E-001,8.618846535682678E-001,-1.286027580499649E-001,3.716286644339562E-002,3.375274837017059E-001,
1.242200000000000E+009,8.596452474594116E-001,-1.488107293844223E-001,4.231581091880798E-002,3.298942148685455E-001,8.596452474594116E-001,-1.488107293844223E-001,4.231581091880798E-002,3.298942148685455E-001,
1.250566666666667E+009,8.530710935592651E-001,-1.742395162582398E-001,3.972936421632767E-002,3.329789936542511E-001,8.530710935592651E-001,-1.742395162582398E-001,3.972936421632767E-002,3.329789936542511E-001,
1.258933333333334E+009,8.594315648078919E-001,-2.082884162664414E-001,4.898385331034660E-002,3.306797444820404E-001,8.594315648078919E-001,-2.082884162664414E-001,4.898385331034660E-002,3.306797444820404E-001,
1.267300000000000E+009,8.482001423835754E-001,-2.268232107162476E-001,5.288157984614372E-002,3.333072066307068E-001,8.482001423835754E-001,-2.268232107162476E-001,5.288157984614372E-002,3.333072066307068E-001,
1.275666666666667E+009,8.435394167900085E-001,-2.511770725250244E-001,6.373409181833267E-002,3.388475477695465E-001,8.435394167900085E-001,-2.511770725250244E-001,6.373409181833267E-002,3.388475477695465E-001,
1.284033333333334E+009,8.228293061256409E-001,-2.718625664710999E-001,7.073451578617096E-002,3.385325968265533E-001,8.228293061256409E-001,-2.718625664710999E-001,7.073451578617096E-002,3.385325968265533E-001,
1.292400000000000E+009,8.126184940338135E-001,-2.863489687442780E-001,9.039457142353058E-002,3.354983925819397E-001,8.126184940338135E-001,-2.863489687442780E-001,9.039457142353058E-002,3.354983925819397E-001,
1.300766666666667E+009,8.099941015243530E-001,-3.076266348361969E-001,1.043082699179649E-001,3.273707330226898E-001,8.099941015243530E-001,-3.076266348361969E-001,1.043082699179649E-001,3.273707330226898E-001,
1.309133333333334E+009,7.919813394546509E-001,-3.290168941020966E-001,1.100408360362053E-001,3.207404613494873E-001,7.919813394546509E-001,-3.290168941020966E-001,1.100408360362053E-001,3.207404613494873E-001,
1.317500000000000E+009,7.970945835113525E-001,-3.534989058971405E-001,1.249179467558861E-001,3.112238049507141E-001,7.970945835113525E-001,-3.534989058971405E-001,1.249179467558861E-001,3.112238049507141E-001,
1.325866666666667E+009,7.783476114273071E-001,-3.671511411666870E-001,1.305866688489914E-001,2.995066642761231E-001,7.783476114273071E-001,-3.671511411666870E-001,1.305866688489914E-001,2.995066642761231E-001,
