% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S21,im:Trc2_S21,re:Trc3_S11,im:Trc3_S11,re:Trc4_S21,im:Trc4_S21,
6.900000000000000E+008,-2.418262884020805E-002,1.805372536182404E-002,-4.523788094520569E-001,-8.617807626724243E-001,-2.418262884020805E-002,1.805372536182404E-002,-4.523788094520569E-001,-8.617807626724243E-001,
6.983666666666666E+008,-1.504496578127146E-002,1.930851675570011E-002,-4.843518435955048E-001,-8.569819927215576E-001,-1.504496578127146E-002,1.930851675570011E-002,-4.843518435955048E-001,-8.569819927215576E-001,
7.067333333333334E+008,-9.493584744632244E-003,1.496097352355719E-002,-5.044732093811035E-001,-8.377798795700073E-001,-9.493584744632244E-003,1.496097352355719E-002,-5.044732093811035E-001,-8.377798795700073E-001,
7.151000000000000E+008,-8.806887082755566E-003,8.045293390750885E-003,-5.410715937614441E-001,-8.285676836967468E-001,-8.806887082755566E-003,8.045293390750885E-003,-5.410715937614441E-001,-8.285676836967468E-001,
7.234666666666666E+008,-1.194283738732338E-002,2.883325796574354E-003,-5.600762367248535E-001,-8.098444938659668E-001,-1.194283738732338E-002,2.883325796574354E-003,-5.600762367248535E-001,-8.098444938659668E-001,
7.318333333333334E+008,-1.991699077188969E-002,-1.118834130465984E-003,-5.719420313835144E-001,-7.961298227310181E-001,-1.991699077188969E-002,-1.118834130465984E-003,-5.719420313835144E-001,-7.961298227310181E-001,
7.402000000000000E+008,-2.789202518761158E-002,-3.603847872000188E-004,-5.790259242057800E-001,-7.642105221748352E-001,-2.789202518761158E-002,-3.603847872000188E-004,-5.790259242057800E-001,-7.642105221748352E-001,
7.485666666666666E+008,-3.399003669619560E-002,4.145076964050531E-003,-6.076099276542664E-001,-7.619817852973938E-001,-3.399003669619560E-002,4.145076964050531E-003,-6.076099276542664E-001,-7.619817852973938E-001,
7.569333333333334E+008,-3.505349159240723E-002,9.852268733084202E-003,-6.217672228813171E-001,-7.529670596122742E-001,-3.505349159240723E-002,9.852268733084202E-003,-6.217672228813171E-001,-7.529670596122742E-001,
7.653000000000000E+008,-3.337014839053154E-002,1.792019978165627E-002,-6.419945359230042E-001,-7.318278551101685E-001,-3.337014839053154E-002,1.792019978165627E-002,-6.419945359230042E-001,-7.318278551101685E-001,
7.736666666666666E+008,-2.573961392045021E-002,2.448771335184574E-002,-6.595341563224793E-001,-7.240303754806519E-001,-2.573961392045021E-002,2.448771335184574E-002,-6.595341563224793E-001,-7.240303754806519E-001,
7.820333333333334E+008,-1.751592010259628E-002,2.729880996048451E-002,-6.930032968521118E-001,-6.981159448623657E-001,-1.751592010259628E-002,2.729880996048451E-002,-6.930032968521118E-001,-6.981159448623657E-001,
7.904000000000000E+008,-7.848978973925114E-003,2.807747945189476E-002,-6.905232071876526E-001,-6.812401413917542E-001,-7.848978973925114E-003,2.807747945189476E-002,-6.905232071876526E-001,-6.812401413917542E-001,
7.987666666666666E+008,-1.768305664882064E-003,2.352321892976761E-002,-7.193713784217835E-001,-6.727873682975769E-001,-1.768305664882064E-003,2.352321892976761E-002,-7.193713784217835E-001,-6.727873682975769E-001,
8.071333333333334E+008,-1.136639693868347E-004,1.831067726016045E-002,-7.373544573783875E-001,-6.461396813392639E-001,-1.136639693868347E-004,1.831067726016045E-002,-7.373544573783875E-001,-6.461396813392639E-001,
8.155000000000000E+008,-3.383391071110964E-003,1.291992608457804E-002,-7.400628924369812E-001,-6.243035197257996E-001,-3.383391071110964E-003,1.291992608457804E-002,-7.400628924369812E-001,-6.243035197257996E-001,
8.238666666666666E+008,-1.090120896697044E-002,9.947365149855614E-003,-7.848049998283386E-001,-6.076524853706360E-001,-1.090120896697044E-002,9.947365149855614E-003,-7.848049998283386E-001,-6.076524853706360E-001,
8.322333333333334E+008,-1.794943027198315E-002,7.914539426565170E-003,-7.754384279251099E-001,-5.993162989616394E-001,-1.794943027198315E-002,7.914539426565170E-003,-7.754384279251099E-001,-5.993162989616394E-001,
8.406000000000000E+008,-2.480155788362026E-002,1.382342074066401E-002,-7.938269972801209E-001,-5.686434507369995E-001,-2.480155788362026E-002,1.382342074066401E-002,-7.938269972801209E-001,-5.686434507369995E-001,
8.489666666666668E+008,-2.659858763217926E-002,1.925810426473618E-002,-8.173107504844666E-001,-5.356081724166870E-001,-2.659858763217926E-002,1.925810426473618E-002,-8.173107504844666E-001,-5.356081724166870E-001,
8.573333333333334E+008,-2.750983461737633E-002,2.551810815930367E-002,-8.307002782821655E-001,-5.266422033309937E-001,-2.750983461737633E-002,2.551810815930367E-002,-8.307002782821655E-001,-5.266422033309937E-001,
8.657000000000000E+008,-2.048891596496105E-002,3.125397115945816E-002,-8.402598500251770E-001,-5.165152549743652E-001,-2.048891596496105E-002,3.125397115945816E-002,-8.402598500251770E-001,-5.165152549743652E-001,
8.740666666666668E+008,-1.199409551918507E-002,3.435822576284409E-002,-8.533058166503906E-001,-4.853758811950684E-001,-1.199409551918507E-002,3.435822576284409E-002,-8.533058166503906E-001,-4.853758811950684E-001,
8.824333333333334E+008,-3.470037132501602E-003,3.457366302609444E-002,-8.677358627319336E-001,-4.549604356288910E-001,-3.470037132501602E-003,3.457366302609444E-002,-8.677358627319336E-001,-4.549604356288910E-001,
8.908000000000000E+008,6.455807480961084E-003,3.271052241325378E-002,-8.744007349014282E-001,-4.653994739055634E-001,6.455807480961084E-003,3.271052241325378E-002,-8.744007349014282E-001,-4.653994739055634E-001,
8.991666666666668E+008,9.903280995786190E-003,2.782760001718998E-002,-8.736470341682434E-001,-4.205754101276398E-001,9.903280995786190E-003,2.782760001718998E-002,-8.736470341682434E-001,-4.205754101276398E-001,
9.075333333333334E+008,1.080466154962778E-002,2.229849062860012E-002,-8.934954404830933E-001,-4.067613482475281E-001,1.080466154962778E-002,2.229849062860012E-002,-8.934954404830933E-001,-4.067613482475281E-001,
9.159000000000000E+008,6.967427674680948E-003,1.705338619649410E-002,-8.948603272438049E-001,-3.760335147380829E-001,6.967427674680948E-003,1.705338619649410E-002,-8.948603272438049E-001,-3.760335147380829E-001,
9.242666666666668E+008,3.695148552651517E-005,1.532907038927078E-002,-9.044109582901001E-001,-3.401122391223908E-001,3.695148552651517E-005,1.532907038927078E-002,-9.044109582901001E-001,-3.401122391223908E-001,
9.326333333333334E+008,-6.358826532959938E-003,1.639884337782860E-002,-9.336487054824829E-001,-3.405686914920807E-001,-6.358826532959938E-003,1.639884337782860E-002,-9.336487054824829E-001,-3.405686914920807E-001,
9.410000000000000E+008,-1.281497906893492E-002,2.008638717234135E-002,-9.200721979141235E-001,-3.146663606166840E-001,-1.281497906893492E-002,2.008638717234135E-002,-9.200721979141235E-001,-3.146663606166840E-001,
9.493666666666668E+008,-1.443396322429180E-002,2.561079151928425E-002,-9.374371170997620E-001,-2.999124825000763E-001,-1.443396322429180E-002,2.561079151928425E-002,-9.374371170997620E-001,-2.999124825000763E-001,
9.577333333333334E+008,-1.300120446830988E-002,3.248875588178635E-002,-9.329398870468140E-001,-2.604595124721527E-001,-1.300120446830988E-002,3.248875588178635E-002,-9.329398870468140E-001,-2.604595124721527E-001,
9.661000000000000E+008,-5.639805458486080E-003,3.899146616458893E-002,-9.609844684600830E-001,-2.495657652616501E-001,-5.639805458486080E-003,3.899146616458893E-002,-9.609844684600830E-001,-2.495657652616501E-001,
9.744666666666668E+008,4.719634540379047E-003,4.046819731593132E-002,-9.459972977638245E-001,-2.129608094692230E-001,4.719634540379047E-003,4.046819731593132E-002,-9.459972977638245E-001,-2.129608094692230E-001,
9.828333333333334E+008,1.666757278144360E-002,4.026733338832855E-002,-9.652113318443298E-001,-1.913011074066162E-001,1.666757278144360E-002,4.026733338832855E-002,-9.652113318443298E-001,-1.913011074066162E-001,
9.912000000000000E+008,2.438200451433659E-002,3.393513336777687E-002,-9.521723389625549E-001,-1.635688394308090E-001,2.438200451433659E-002,3.393513336777687E-002,-9.521723389625549E-001,-1.635688394308090E-001,
9.995666666666668E+008,3.035060502588749E-002,2.676077000796795E-002,-9.767094850540161E-001,-1.329505741596222E-001,3.035060502588749E-002,2.676077000796795E-002,-9.767094850540161E-001,-1.329505741596222E-001,
1.007933333333333E+009,3.005913458764553E-002,1.938358694314957E-002,-9.762947559356690E-001,-1.207064092159271E-001,3.005913458764553E-002,1.938358694314957E-002,-9.762947559356690E-001,-1.207064092159271E-001,
