 >Target_shape 1
     816 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  0.50000  0.50000 0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
       1 -3 -20 -2 1 1 1
       2 -3 -20 -1 1 1 1
       3 -3 -20 0 1 1 1
       4 -3 -20 1 1 1 1
       5 -2 -20 -3 1 1 1
       6 -2 -20 -2 1 1 1
       7 -2 -20 -1 1 1 1
       8 -2 -20 0 1 1 1
       9 -2 -20 1 1 1 1
       10 -2 -20 2 1 1 1
       11 -1 -20 -3 1 1 1
       12 -1 -20 -2 1 1 1
       13 -1 -20 -1 1 1 1
       14 -1 -20 0 1 1 1
       15 -1 -20 1 1 1 1
       16 -1 -20 2 1 1 1
       17 0 -20 -3 1 1 1
       18 0 -20 -2 1 1 1
       19 0 -20 -1 1 1 1
       20 0 -20 0 1 1 1
       21 0 -20 1 1 1 1
       22 0 -20 2 1 1 1
       23 1 -20 -3 1 1 1
       24 1 -20 -2 1 1 1
       25 1 -20 -1 1 1 1
       26 1 -20 0 1 1 1
       27 1 -20 1 1 1 1
       28 1 -20 2 1 1 1
       29 2 -20 -2 1 1 1
       30 2 -20 -1 1 1 1
       31 2 -20 0 1 1 1
       32 2 -20 1 1 1 1
       33 -4 -19 -2 1 1 1
       34 -4 -19 -1 1 1 1
       35 -4 -19 0 1 1 1
       36 -4 -19 1 1 1 1
       37 -3 -19 -3 1 1 1
       38 -3 -19 -2 1 1 1
       39 -3 -19 -1 1 1 1
       40 -3 -19 0 1 1 1
       41 -3 -19 1 1 1 1
       42 -3 -19 2 1 1 1
       43 -2 -19 -4 1 1 1
       44 -2 -19 -3 1 1 1
       45 -2 -19 -2 1 1 1
       46 -2 -19 -1 1 1 1
       47 -2 -19 0 1 1 1
       48 -2 -19 1 1 1 1
       49 -2 -19 2 1 1 1
       50 -2 -19 3 1 1 1
       51 -1 -19 -4 1 1 1
       52 -1 -19 -3 1 1 1
       53 -1 -19 -2 1 1 1
       54 -1 -19 -1 1 1 1
       55 -1 -19 0 1 1 1
       56 -1 -19 1 1 1 1
       57 -1 -19 2 1 1 1
       58 -1 -19 3 1 1 1
       59 0 -19 -4 1 1 1
       60 0 -19 -3 1 1 1
       61 0 -19 -2 1 1 1
       62 0 -19 -1 1 1 1
       63 0 -19 0 1 1 1
       64 0 -19 1 1 1 1
       65 0 -19 2 1 1 1
       66 0 -19 3 1 1 1
       67 1 -19 -4 1 1 1
       68 1 -19 -3 1 1 1
       69 1 -19 -2 1 1 1
       70 1 -19 -1 1 1 1
       71 1 -19 0 1 1 1
       72 1 -19 1 1 1 1
       73 1 -19 2 1 1 1
       74 1 -19 3 1 1 1
       75 2 -19 -3 1 1 1
       76 2 -19 -2 1 1 1
       77 2 -19 -1 1 1 1
       78 2 -19 0 1 1 1
       79 2 -19 1 1 1 1
       80 2 -19 2 1 1 1
       81 3 -19 -2 1 1 1
       82 3 -19 -1 1 1 1
       83 3 -19 0 1 1 1
       84 3 -19 1 1 1 1
       85 -4 -18 -3 1 1 1
       86 -4 -18 -2 1 1 1
       87 -4 -18 -1 1 1 1
       88 -4 -18 0 1 1 1
       89 -4 -18 1 1 1 1
       90 -4 -18 2 1 1 1
